word,answer
along (adverb),"əˈlɒŋ
moving forward."
although (conjunction),"ɔːlˈðəʊ
despite the fact that."
altogether (adverb),"ˌɔːl.təˈɡeð.ər
in total."
amazed (adjective),"əˈmeɪzd
extremely surprised."
amazing (adjective),"əˈmeɪ.zɪŋ
extremely surprising."
ambition (noun),"æmˈbɪʃ.ən
a strong wish to achieve something."
among (preposition),"əˈmʌŋ
in the middle of or surrounded by other things."
amount (noun),"əˈmaʊnt
a collection or mass, especially of something that cannot be counted."
amusing (adjective),"əˈmjuː.zɪŋ
entertaining and funny."
ancient (adjective),"ˈeɪn.ʃənt
of or from a long time ago, having lasted for a very long time."
angel (noun),"ˈeɪn.dʒəl
a spiritual being in some religions who is believed to be a messenger of God, usually represented as having a human form with wings."
angrily (adverb),"ˈæŋ.ɡrəl.i
in a way that shows that you feel angry with someone or about something."
ankle (noun),"ˈæŋ.kəl
the joint (= place where two bones are connected) between the foot and the leg, or the thin part of the leg just above the foot."
anniversary (noun),"ˌæn.ɪˈvɜː.sər.i
the day on which an important event happened in a previous year."
announce (verb),"əˈnaʊns
to make something known or tell people about something officially."
announcement (noun),"əˈnaʊns.mənt
something that someone says officially, giving information about something."
annoy (verb),"əˈnɔɪ
to make someone angry."
annoyed (adjective),"əˈnɔɪd
angry."
annoying (adjective),"əˈnɔɪ.ɪŋ
making you feel slightly angry."
annual (adjective),"ˈæn.ju.əl
happening once every year."
anxious (adjective),"ˈæŋk.ʃəs
worried and nervous."
any (adverb),"ˈen.i
at all or in the least."
apart (adverb),"əˈpɑːt
separated by a distance or by time."
apologize (verb),"əˈpɒl.ə.dʒaɪz
to tell someone that you are sorry for having done something that has caused problems or unhappiness for them."
apology (noun),"əˈpɒl.ə.dʒi
an act of saying that you are sorry for something wrong you have done."
appear (verb),"əˈpɪər
to start to be seen or to be present."
application (noun),"ˌæp.lɪˈkeɪ.ʃən
an official request for something, usually in writing."
apply (verb),"əˈplaɪ
to request something, usually officially, especially in writing or by sending in a form."
approach (verb),"əˈprəʊtʃ
to come near or nearer to something or someone in space, time, quality, or amount."
approximately (adverb),"əˈprɒk.sɪ.mət.li
close to a particular number or time although not exactly that number or time."
architect (noun),"ˈɑː.kɪ.tekt
a person whose job is to design new buildings and make certain that they are built correctly."
architecture (noun),"ˈɑː.kɪ.tek.tʃər
the art and practice of designing and making buildings."
area (noun),"ˈeə.ri.ə
a particular part of a place, piece of land, or country."
argue (verb),"ˈɑːɡ.juː
to speak angrily to someone, telling that person that you disagree with them."
argument (noun),"ˈɑːɡ.jə.mənt
a disagreement, or the process of disagreeing."
army (noun),"ˈɑː.mi
a particular country's fighting force."
arrange (verb),"əˈreɪndʒ
to plan, prepare for, or organize something."
arrangement (noun),"əˈreɪndʒ.mənt
a plan for how something will happen."
arrest (verb),"əˈrest
If the police arrest someone, they take them away to ask them about a crime that they might have committed."
arrival (noun),"əˈraɪ.vəl
the fact of arriving somewhere."
article (noun),"ˈɑː.tɪ.kəl
a piece of writing on a particular subject in a newspaper or magazine, or on the internet."
ashamed (adjective),"əˈʃeɪmd
feeling guilty or embarrassed about something you have done or about a quality in your character."
ask (verb),"ɑːsk
to put a question to someone, or to request an answer from someone."
asleep (adjective),"əˈsliːp
sleeping or not awake."
assignment (noun),"əˈsaɪn.mənt
a piece of work given to someone, typically as part of their studies or job."
assistant (noun),"əˈsɪs.tənt
someone who helps someone else to do a job."
athlete (noun),"ˈæθ.liːt
a person who is very good at sports or physical exercise, especially one who competes in organized events."
attach (verb),"əˈtætʃ
to fasten, join, or connect something."
attack (noun),"əˈtæk
a violent act intended to hurt or damage someone or something."
attack (verb),"əˈtæk
to try to hurt or defeat using violence."
attempt (verb),"əˈtempt
to try to do something, especially something difficult."
attend (verb),"əˈtend
to go to an event, place, etc.."
attention (noun),"əˈten.ʃən
notice, thought, or interest."
attitude (noun),"ˈæt.ɪ.tʃuːd
a feeling or opinion about something or someone, or a way of behaving that is caused by this."
attract (verb),"əˈtrækt
(of people, things, places, etc.) to pull or draw someone or something towards them, by the qualities they have, especially good ones."
attraction (noun),"əˈtræk.ʃən
something that makes people want to go to a place or do a particular thing."
audience (noun),"ˈɔː.di.əns
the group of people together in one place to watch or listen to a play, film, someone speaking, etc.."
author (noun),"ˈɔː.θər
the writer of a book, article, play, etc.."
average (adjective),"ˈæv.ər.ɪdʒ
An average number is the number you get by adding two or more amounts together and dividing the total by the number of amounts."
average (noun),"ˈæv.ər.ɪdʒ
the result you get by adding two or more amounts together and dividing the total by the number of amounts."
avoid (verb),"əˈvɔɪd
to stay away from someone or something."
backwards (adverb),"ˈbæk.wədz
towards the direction that is opposite to the one in which you are facing or opposite to the usual direction."
ballet (noun),"ˈbæl.eɪ
a type of dancing where carefully organized movements tell a story or express an idea, or a theatre work that uses this type of dancing."
bargain (noun),"ˈbɑː.ɡɪn
something on sale at a lower price than its true value."
basic (adjective),"ˈbeɪ.sɪk
simple and not complicated, so able to provide the base or starting point from which something can develop."
basket (noun),"ˈbɑː.skɪt
a light container, often with a handle, that is made of thin strips of wood, metal, or plastic twisted together, used for carrying or storing things."
battle (noun),"ˈbæt.əl
a fight between armed forces."
bay (noun),"beɪ
a part of the coast where the land curves in so that the sea is surrounded by land on three sides."
beat (verb),"biːt
to defeat or do better than."
beauty (noun),"ˈbjuː.ti
the quality of being pleasing and attractive, especially to look at."
bee (noun),"biː
a yellow and black flying insect that makes honey and can sting you."
beef (noun),"biːf
the flesh of cattle (= cows), eaten as food."
before (preposition),"bɪˈfɔːr
in front of."
behave (verb),"bɪˈheɪv
to act in a particular way."
behaviour (noun),"bɪˈheɪ.vjər
the way that someone behaves."
behind (adverb),"bɪˈhaɪnd
in the place where someone or something was before."
bell (noun),"bel
an electrical device that makes a ringing sound when you press a button."
benefit (noun),"ˈben.ɪ.fɪt
a helpful or good effect, or something intended to help."
besides (adverb),"bɪˈsaɪdz
in addition to; also."
best (noun),"best
the most excellent in a group of things or people."
best (adverb),"best
in the most suitable, pleasing, or satisfactory way, or to the greatest degree."
between (preposition),"bɪˈtwiːn
among two or more people or things."
beyond (preposition),"biˈjɒnd
further away in the distance (than something)."
bin (noun),"bɪn
a container for waste."
biography (noun),"baɪˈɒɡ.rə.fi
the life story of a person written by someone else."
bite (verb),"baɪt
to use your teeth to cut into something or someone."
blame (verb),"bleɪm
to say or think that someone or something did something wrong or is responsible for something bad happening."
blank (adjective),"blæŋk
empty or clear, or containing no information or mark."
bleed (verb),"bliːd
to lose blood."
blind (adjective),"blaɪnd
unable to see."
blog (verb),"blɒɡ
to write or add material to a blog."
blog (noun),"blɒɡ
a regular record of your thoughts, opinions, or experiences that you put on the internet for other people to read."
blow (verb),"bləʊ
to move and make currents of air, or to be moved or make something move on a current of air."
board (verb),"bɔːd
to get onto or allow people to get onto a boat, train, or aircraft."
bomb (noun),"bɒm
a weapon that explodes and is used to kill or hurt people or to damage buildings."
bomb (verb),"bɒm
to drop bombs on something."
bone (noun),"bəʊn
any of the hard parts inside a human or animal that make up its frame."
booking (noun),"ˈbʊk.ɪŋ
an arrangement you make to have a hotel room, tickets, etc. at a particular time in the future."
border (noun),"ˈbɔː.dər
a line that has been agreed to divide one country from another."
bounce (verb),"baʊns
to (cause to) move up or away after hitting a surface."
brave (adjective),"breɪv
showing no fear of dangerous or difficult things."
breast (noun),"brest
either of the two soft, rounded parts of a woman's chest that produce milk after she has a baby."
breath (noun),"breθ
the air that goes into and out of your lungs."
breathe (verb),"briːð
to move air into and out of the lungs."
bride (noun),"braɪd
a woman who is about to get married or has just got married."
brief (adjective),"briːf
lasting only a short time or containing few words."
briefly (adverb),"ˈbriːf.li
for a short time."
bright (adjective),"braɪt
full of light, shining."
brilliant (adjective),"ˈbrɪl.jənt
extremely intelligent or skilled."
broad (adjective),"brɔːd
very wide."
bug (noun),"bʌɡ
a very small insect."
bunch (noun),"bʌntʃ
a number of things of the same type fastened together or in a close group."
burn (verb),"bɜːn
to be hurt, damaged, or destroyed by fire or extreme heat, or to cause this to happen."
bury (verb),"ˈber.i
to put a dead body into the ground."
but (preposition),"bʌt
except."
button (noun),"ˈbʌt.ən
a small, usually circular object used to fasten something, for example a shirt or coat."
by (adverb),"baɪ
at the side of or (in distance or time) past."
cabin (noun),"ˈkæb.ɪn
a small, simple house made of wood."
call (verb),"kɔːl
to give someone or something a name, or to know or address someone by a particular name."
calm (adjective),"kɑːm
peaceful, quiet, and without worry."
camp (noun),"kæmp
a place where people stay in tents or other temporary structures."
canal (noun),"kəˈnæl
a long, thin stretch of water that is artificially made either for boats to travel along or for taking water from one area to another."
cancel (verb),"ˈkæn.səl
to decide that an organized event will not happen, or to stop an order for goods or services that you no longer want."
cancer (noun),"ˈkæn.sər
a serious disease that is caused when cells in the body grow in a way that is uncontrolled and not normal, killing normal cells and often causing death."
candle (noun),"ˈkæn.dəl
a stick-shaped piece of wax with a wick (= piece of string) in the middle of it that produces light as it slowly burns."
captain (noun),"ˈkæp.tɪn
the leader of a sports team."
card (noun),"kɑːd
a small, rectangular piece of card or plastic, often with your signature, photograph, or other information proving who you are, that allows you to do something, such as make a payment, get money from a bank, or enter a particular place."
care (verb),"keər
to think that something is important and to feel interested in it or upset about it."
career (noun),"kəˈrɪər
the job or series of jobs that you do during your working life, especially if you continue to get better jobs and earn more money."
careless (adjective),"ˈkeə.ləs
not taking or showing enough care and attention."
case (noun),"keɪs
a particular situation or example of something."
casual (adjective),"ˈkæʒ.ju.əl
Casual clothes are not formal or not suitable for special occasions."
cattle (noun),"ˈkæt.əl
a group of animals that includes cows, buffalo, and bison, that are often kept for their milk or meat."
cave (noun),"keɪv
a large hole in the side of a hill, cliff, or mountain, or one that is underground."
celebrate (verb),"ˈsel.ə.breɪt
to take part in special enjoyable activities in order to show that a particular occasion is important."
celebration (noun),"ˌsel.əˈbreɪ.ʃən
a special social event, such as a party, when you celebrate something."
celebrity (noun),"səˈleb.rə.ti
someone who is famous, especially in the entertainment business."
central (adjective),"ˈsen.trəl
in, at, from, or near the centre or most important part of something."
ceremony (noun),"ˈser.ɪ.mə.ni
(a set of) formal acts, often fixed and traditional, performed on important social or religious occasions."
certain (determiner),"ˈsɜː.tən
particular but not named or described."
certain (adjective),"ˈsɜː.tən
having no doubt or knowing exactly that something is true, or known to be true, correct, exact, or effective."
certificate (noun),"səˈtɪf.ɪ.kət
an official document that states that the information on it is true."
challenge (noun),"ˈtʃæl.ɪndʒ
(the situation of being faced with) something that needs great mental or physical effort in order to be done successfully and therefore tests a person's ability."
challenging (adjective),"ˈtʃæl.ɪn.dʒɪŋ
difficult, in a way that tests your ability or determination."
champion (noun),"ˈtʃæm.pi.ən
someone or something, especially a person or animal, that has beaten all other competitors in a competition."
championship (noun),"ˈtʃæm.pi.ən.ʃɪp
a high-level competition to decide who is the best, especially in a sport."
chance (noun),"tʃɑːns
an occasion that allows something to be done."
chapter (noun),"ˈtʃæp.tər
any of the separate parts into which a book or other piece of text is divided, usually given a number or title."
character (noun),"ˈkær.ək.tər
the particular combination of qualities in a person or place that makes them different from others."
charge (verb),"tʃɑːdʒ
to ask an amount of money for something, especially a service or activity."
charge (noun),"tʃɑːdʒ
the amount of money that you have to pay for something, especially for an activity or service."
charming (adjective),"ˈtʃɑː.mɪŋ
pleasant and attractive."
check (noun),"tʃek
an examination of something in order to make certain that it is correct or the way it should be."
cheek (noun),"tʃiːk
the soft part of your face that is below your eye and between your mouth and ear."
cheerful (adjective),"ˈtʃɪə.fəl
happy and positive."
childhood (noun),"ˈtʃaɪld.hʊd
the time when someone is a child."
choice (noun),"tʃɔɪs
an act or the possibility of choosing."
clear (verb),"klɪər
to remove or get rid of whatever is blocking or filling something, or to stop being blocked or full."
cliff (noun),"klɪf
a high area of rock with a very steep side, often on a coast."
climate (noun),"ˈklaɪ.mət
the general weather conditions usually found in a particular place."
clinic (noun),"ˈklɪn.ɪk
a building, often part of a hospital, to which people can go for medical care or advice relating to a particular condition."
close (adjective),"kləʊs
having direct family connections or shared beliefs, support, and sympathy."
coach (noun),"kəʊtʃ
someone whose job is to teach people to improve at a sport, skill, or school subject."
coast (noun),"kəʊst
the land next to or close to the sea."
coin (noun),"kɔɪn
a small, round piece of metal, usually silver or copper coloured, that is used as money."
collection (noun),"kəˈlek.ʃən
a group of objects of one type that have been collected by one person or in one place."
colourful (adjective),"ˈkʌl.ə.fəl
having bright colours or a lot of different colours."
comedy (noun),"ˈkɒm.ə.di
a (type of) film, play, or book that is intentionally funny either in its characters or its action."
comfort (noun),"ˈkʌm.fət
a pleasant feeling of being relaxed and free from pain."
comic (adjective),"ˈkɒm.ɪk
funny and making you want to laugh."
comment (noun),"ˈkɒm.ent
something that you say or write that expresses your opinion."
commercial (noun),"kəˈmɜː.ʃəl
an advertisement that is broadcast on television or radio."
common (adjective),"ˈkɒm.ən
the same in a lot of places or for a lot of people."
communicate (verb),"kəˈmjuː.nɪ.keɪt
to share information with others by speaking, writing, moving your body, or using other signals."
communication (noun),"kəˌmjuː.nɪˈkeɪ.ʃən
the act of communicating with people."
compare (verb),"kəmˈpeər
to examine or look for the difference between two or more things."
competitor (noun),"kəmˈpet.ɪ.tər
a person, team, or company that is competing against others."
complain (verb),"kəmˈpleɪn
to say that something is wrong or not satisfactory."
complaint (noun),"kəmˈpleɪnt
a statement that something is wrong or not satisfactory."
complete (adjective),"kəmˈpliːt
very great or to the largest degree possible."
completely (adverb),"kəmˈpliːt.li
in every way or as much as possible."
complicated (adjective),"ˈkɒm.plɪ.keɪ.tɪd
involving a lot of different parts, in a way that is difficult to understand."
concentrate (verb),"ˈkɒn.sən.treɪt
to direct your attention or your efforts towards a particular activity, subject, or problem."
condition (noun),"kənˈdɪʃ.ən
the particular state that something or someone is in."
conference (noun),"ˈkɒn.fər.əns
an event, sometimes lasting a few days, at which there is a group of talks on a particular subject, or a meeting in which especially business matters are discussed formally."
confident (adjective),"ˈkɒn.fɪ.dənt
being certain of your abilities or having trust in people, plans, or the future."
confirm (verb),"kənˈfɜːm
to make an arrangement or meeting certain, often by phone or writing."
confused (adjective),"kənˈfjuːzd
unable to think clearly or to understand something."
confusing (adjective),"kənˈfjuː.zɪŋ
Something that is confusing makes you feel confused because it is difficult to understand."
connect (verb),"kəˈnekt
to join or be joined with something else."
consider (verb),"kənˈsɪd.ər
to spend time thinking about a possibility or making a decision."
contact (noun),"ˈkɒn.tækt
communication with someone, especially by speaking or writing to them regularly."
contain (verb),"kənˈteɪn
to have something inside or include something as a part."
contest (noun),"ˈkɒn.test
a competition to do better than other people, usually in which prizes are given."
continent (noun),"ˈkɒn.tɪ.nənt
one of the seven large land masses on the earth's surface, surrounded, or mainly surrounded, by sea and usually consisting of various countries."
continue (verb),"kənˈtɪn.juː
to keep happening, existing, or doing something, or to cause something or someone to do this."
contract (noun),"ˈkɒn.trækt
a legal document that states and explains a formal agreement between two different people or groups, or the agreement itself."
control (verb),"kənˈtrəʊl
to order, limit, or rule something, or someone's actions or behaviour."
convenient (adjective),"kənˈviː.ni.ənt
suitable for your purposes and needs and causing the least difficulty."
convince (verb),"kənˈvɪns
to persuade someone or make someone certain."
cool (adjective),"kuːl
slightly cold."
copy (noun),"ˈkɒp.i
something that has been made to be exactly like something else."
correction (noun),"kəˈrek.ʃən
a change made to something in order to correct or improve it, or the action of making such a change."
correctly (adverb),"kəˈrekt.li
in a way that is in agreement with the true facts or with what is generally accepted."
cottage (noun),"ˈkɒt.ɪdʒ
a small house, usually in the countryside."
could (modal verb),"kʊd
used as a more polite form of ""can"" when asking for permission."
count (verb),"kaʊnt
to say numbers one after the other in order, or to calculate the number of people or things in a group."
couple (noun),"ˈkʌp.əl
two or a few things that are similar or the same, or two or a few people who are in some way connected."
cover (noun),"ˈkʌv.ər
something that is put on or over something else, usually to protect it, to keep something in, etc.."
crash (verb),"kræʃ
If a vehicle crashes or someone crashes it, it is involved in an accident, usually a serious one in which the vehicle is damaged and someone is hurt."
crash (noun),"kræʃ
an accident involving a vehicle, usually a serious one in which the vehicle is damaged or someone is hurt."
create (verb),"kriˈeɪt
to make something new, or invent something."
creative (adjective),"kriˈeɪ.tɪv
producing or using original and unusual ideas."
creature (noun),"ˈkriː.tʃər
any large or small living thing that can move independently."
crew (noun),"kruː
a group of people who work together, especially all those who work on and operate a ship, aircraft, etc.."
crime (noun),"kraɪm
illegal activities."
criminal (noun),"ˈkrɪm.ɪ.nəl
someone who commits a crime."
crop (noun),"krɒp
(the total amount collected of) a plant such as a grain, fruit, or vegetable grown in large amounts."
cruel (adjective),"ˈkruː.əl
extremely unkind and unpleasant and causing pain to people or animals intentionally."
cruise (noun),"kruːz
a journey on a large ship for pleasure, during which you visit several places."
cry (noun),"kraɪ
a loud, high sound that expresses an emotion."
cultural (adjective),"ˈkʌl.tʃər.əl
relating to the habits, traditions, and beliefs of a society."
culture (noun),"ˈkʌl.tʃər
the way of life, especially the general customs and beliefs, of a particular group of people at a particular time."
curious (adjective),"ˈkjʊə.ri.əs
interested in learning about people or things around you."
curly (adjective),"ˈkɜː.li
having curls or a curved shape."
currency (noun),"ˈkʌr.ən.si
the money that is used in a particular country at a particular time."
curriculum (noun),"kəˈrɪk.jə.ləm
the subjects studied in a school, college, etc. and what each subject includes."
custom (noun),"ˈkʌs.təm
a way of behaving or a belief that has been established for a long time."
cut (noun),"kʌt
an injury made when the skin is cut with something sharp."
cycle (verb),"ˈsaɪ.kəl
to ride a bicycle."
damage (noun),"ˈdæm.ɪdʒ
harm or injury."
damage (verb),"ˈdæm.ɪdʒ
to harm or spoil something."
dance (noun),"dɑːns
a particular series of movements that you perform to music or the type of music that is connected with it."
dark (noun),"dɑːk
the fact of there being no light somewhere."
date (verb),"deɪt
to write the day's date on something you have written or made."
death (noun),"deθ
the end of life."
decision (noun),"dɪˈsɪʒ.ən
a choice that you make about something after thinking about several possibilities."
decorate (verb),"ˈdek.ə.reɪt
to add something to an object or place, especially in order to make it more attractive."
decrease (verb),"dɪˈkriːs
to become less, or to make something become less."
decrease (noun),"ˈdiː.kriːs
a reduction."
defeat (noun),"dɪˈfiːt
the fact of losing against someone in a fight or competition, or when someone or something is made to fail."
defeat (verb),"dɪˈfiːt
to win against someone in a fight, war, or competition."
defend (verb),"dɪˈfend
to protect someone or something against attack or criticism."
definitely (adverb),"ˈdef.ɪ.nət.li
without any doubt."
delete (verb),"dɪˈliːt
to remove or draw a line through something, especially a written word or words."
delicious (adjective),"dɪˈlɪʃ.əs
having a very pleasant taste or smell."
delighted (adjective),"dɪˈlaɪ.tɪd
very pleased."
deliver (verb),"dɪˈlɪv.ər
to take goods, letters, parcels, etc. to people's houses or places of work."
delivery (noun),"dɪˈlɪv.ər.i
the act of taking goods, letters, parcels, etc. to people's houses or places of work."
demand (noun),"dɪˈmɑːnd
a strong request."
demand (verb),"dɪˈmɑːnd
to ask for something forcefully, in a way that shows that you do not expect to be refused."
depart (verb),"dɪˈpɑːt
to go away or leave, especially on a journey."
departure (noun),"dɪˈpɑː.tʃər
the fact of a person or vehicle, etc. leaving somewhere."
depend (verb),"dɪˈpend
to be decided by or to change according to the stated thing."
depressed (adjective),"dɪˈprest
unhappy and without hope."
depth (noun),"depθ
the distance down either from the top of something to the bottom, or to a distance below the top surface of something."
description (noun),"dɪˈskrɪp.ʃən
something that tells you what something or someone is like."
deserve (verb),"dɪˈzɜːv
to have earned or to be given something because of the way you have behaved or the qualities you have."
design (verb),"dɪˈzaɪn
to make or draw plans for something, for example clothes or buildings."
designer (noun),"dɪˈzaɪ.nər
a person who imagines how something could be made and draws plans for it."
despite (preposition),"dɪˈspaɪt
without taking any notice of or being influenced by; not prevented by."
destination (noun),"ˌdes.tɪˈneɪ.ʃən
the place where someone is going or where something is being sent or taken."
destroy (verb),"dɪˈstrɔɪ
to damage something so badly that it cannot be used."
detail (noun),"ˈdiː.teɪl
a single piece of information or fact about something."
detective (noun),"dɪˈtek.tɪv
someone whose job is to discover information about crimes and find out who is responsible for them."
develop (verb),"dɪˈvel.əp
to (cause something to) grow or change into a more advanced, larger, or stronger form."
development (noun),"dɪˈvel.əp.mənt
the process in which someone or something grows or changes and becomes more advanced."
diagram (noun),"ˈdaɪ.ə.ɡræm
a simple plan that represents a machine, system, or idea, etc., often drawn to explain how it works."
diet (noun),"ˈdaɪ.ət
the food and drink usually eaten or drunk by a person or group."
differently (adverb),"ˈdɪf.ər.ənt.li
in a way that is not the same."
difficulty (noun),"ˈdɪf.ɪ.kəl.ti
the fact of not being easy to do or understand."
dig (verb),"dɪɡ
to break up and move soil using a tool, a machine, or your hands."
direct (adjective),"daɪˈrekt
going in a straight line towards somewhere or someone without stopping or changing direction."
direct (adverb),"daɪˈrekt
in a straight line towards somewhere without stopping or changing direction."
direction (noun),"daɪˈrek.ʃən
the position towards which someone or something moves or faces."
directly (adverb),"daɪˈrekt.li
without anything else being involved or in between."
director (noun),"daɪˈrek.tər
a manager of an organization, company, college, etc.."
dirt (noun),"dɜːt
dust, soil, or any substance that makes a surface not clean."
disabled (adjective),"dɪˈseɪ.bəld
having an illness, injury, or condition that makes it difficult to do some things that other people do."
disadvantage (noun),"ˌdɪs.ədˈvɑːn.tɪdʒ
a condition or situation that causes problems, especially one that causes something or someone to be less successful than other things or people."
disagree (verb),"ˌdɪs.əˈɡriː
to not have the same opinion, idea, etc.."
disappear (verb),"ˌdɪs.əˈpɪər
If people or things disappear, they go somewhere where they cannot be seen or found."
disappoint (verb),"ˌdɪs.əˈpɔɪnt
to fail to satisfy someone or their hopes, wishes, etc., or to make someone feel unhappy."
disappointed (adjective),"ˌdɪs.əˈpɔɪn.tɪd
unhappy because someone or something was not as good as you hoped or expected, or because something did not happen."
disappointing (adjective),"ˌdɪs.əˈpɔɪn.tɪŋ
making you feel disappointed."
disappointment (noun),"ˌdɪs.əˈpɔɪnt.mənt
the feeling of being disappointed."
discover (verb),"dɪˈskʌv.ər
to find information, a place, or an object, especially for the first time."
discussion (noun),"dɪˈskʌʃ.ən
the activity in which people talk about something and tell each other their ideas or opinions."
disease (noun),"dɪˈziːz
(an) illness of people, animals, plants, etc., caused by infection or a failure of health rather than by an accident."
dislike (verb),"dɪˈslaɪk
to not like someone or something."
display (noun),"dɪˈspleɪ
a collection of objects or pictures arranged for people to look at, or a performance or show for people to watch."
display (verb),"dɪˈspleɪ
to arrange something or a collection of things so that it can be seen by the public."
distance (noun),"ˈdɪs.təns
the amount of space between two places."
district (noun),"ˈdɪs.trɪkt
an area of a country or town that has fixed borders that are used for official purposes, or that has a particular feature that makes it different from surrounding areas."
dive (verb),"daɪv
to jump into water, especially with your head and arms going in first, or to move down under the water."
divide (verb),"dɪˈvaɪd
to (cause to) separate into parts or groups."
divorce (noun),"dɪˈvɔːs
an official or legal process to end a marriage."
divorced (adjective),"dɪˈvɔːst
married in the past but not now married."
documentary (noun),"ˌdɒk.jəˈmen.tər.i
a film or television or radio programme that gives facts and information about a subject."
double (noun),"ˈdʌb.əl
something that is twice the amount, size, strength, etc. of something else."
doubt (noun),"daʊt
(a feeling of) not being certain about something, especially about how good or true it is."
download (noun),"ˈdaʊn.ləʊd
a computer program or information that has been or can be copied into a computer's memory."
dozen (noun),"ˈdʌz.ən
twelve."
drama (noun),"ˈdrɑː.mə
a play in a theatre or on television or radio, or plays and acting generally."
drop (noun),"drɒp
a small round-shaped amount of liquid."
drop (verb),"drɒp
to fall or to allow something to fall."
due (adjective),"dʒuː
expected to happen, arrive, etc. at a particular time."
dull (adjective),"dʌl
not interesting or exciting in any way."
dust (noun),"dʌst
dry dirt in the form of powder that covers surfaces inside a building, or very small dry pieces of soil, sand, or other substances."
duty (noun),"ˈdʒuː.ti
something that you have to do because it is part of your job, or something that you feel is the right thing to do."
earth (noun),"ɜːθ
the planet third in order of distance from the sun, between Venus and Mars; the world on which we live."
eastern (adjective),"ˈiː.stən
in or from the east part of an area."
economics (noun),"ˌiː.kəˈnɒm.ɪks
the way in which trade, industry, or money is organized, or the study of this."
edge (noun),"edʒ
the outer or furthest point of something."
education (noun),"ˌedʒ.ʊˈkeɪ.ʃən
the process of teaching or learning, especially in a school or college, or the knowledge that you get from this."
effect (noun),"ɪˈfekt
the result of a particular influence."
efficient (adjective),"ɪˈfɪʃ.ənt
working or operating quickly and effectively in an organized way."
effort (noun),"ˈef.ət
physical or mental activity needed to achieve something."
either (determiner),"ˈaɪ.ðər
used when referring to a choice between two possibilities."
either (adverb),"ˈaɪ.ðər
used in negative sentences instead of ""also"" or ""too""."
elbow (noun),"ˈel.bəʊ
the part in the middle of the arm where it bends, or the part of a piece of clothing that covers this area."
elderly (adjective),"ˈel.dəl.i
polite word for old."
election (noun),"iˈlek.ʃən
a time when people vote in order to choose someone for a political or official job."
electrical (adjective),"iˈlek.trɪ.kəl
relating to electricity."
electronic (adjective),"ˌel.ekˈtrɒn.ɪk
(especially of equipment), using, based on, or used in a system of operation that involves the control of electric current by various devices."
embarrassed (adjective),"ɪmˈbær.əst
feeling ashamed or shy."
embarrassing (adjective),"ɪmˈbær.ə.sɪŋ
making you feel embarrassed."
embassy (noun),"ˈem.bə.si
the group of people who represent their country in a foreign country."
