word,answer
consciousness (noun),"ˈkɒn.ʃəs.nəs
the state of understanding and realizing something."
consent (noun),"kənˈsent
permission or agreement."
conservative (adjective),"kənˈsɜː.və.tɪv
not usually liking or trusting change, especially sudden change."
constitute (verb),"ˈkɒn.stɪ.tʃuːt
to be or be considered as something."
constitution (noun),"ˌkɒn.stɪˈtʃuː.ʃən
the set of political principles by which a state or organization is governed, especially in relation to the rights of the people it governs."
consult (verb),"kənˈsʌlt
to get information or advice from a person, book, etc. with special knowledge on a particular subject."
consume (verb),"kənˈsjuːm
to use fuel, energy, time, or a product, especially in large amounts."
consumption (noun),"kənˈsʌmp.ʃən
the amount used or eaten."
continually (adverb),"kənˈtɪn.ju.ə.li
in a way that happens repeatedly."
contrary (adjective),"ˈkɒn.trə.ri
opposite."
controversy (noun),"ˈkɒn.trə.vɜː.si
a lot of disagreement or argument about something, usually because it affects or is important to many people."
convention (noun),"kənˈven.ʃən
a large formal meeting of people who do a particular job or have a similar interest, or a large meeting for a political party."
convey (verb),"kənˈveɪ
to express a thought, feeling, or idea so that it is understood by other people."
convincing (adjective),"kənˈvɪn.sɪŋ
able to make you believe that something is true or right."
corporate (adjective),"ˈkɔː.pər.ət
relating to a large company."
corrupt (verb),"kəˈrʌpt
to make someone or something become dishonest or immoral."
corrupt (adjective),"kəˈrʌpt
dishonestly using your position or power to get an advantage, especially for money."
corruption (noun),"kəˈrʌp.ʃən
illegal, bad, or dishonest behaviour, especially by people in positions of power."
counterpart (noun),"ˈkaʊn.tə.pɑːt
a person or thing that has the same purpose as another one in a different place or organization."
countless (adjective),"ˈkaʊnt.ləs
very many, or too many to be counted."
coverage (noun),"ˈkʌv.ər.ɪdʒ
the reporting of a particular important event or subject."
crawl (noun),"krɔːl
a style of swimming in which you move your arms over your head and kick with straight legs."
criterion (noun),"kraɪˈtɪə.ri.ən
a standard by which you judge, decide about, or deal with something."
critic (noun),"ˈkrɪt.ɪk
someone who says that they do not approve of someone or something."
cultivate (verb),"ˈkʌl.tɪ.veɪt
to prepare land and grow crops on it, or to grow a particular crop."
dead (adjective),"ded
complete(ly)."
deadly (adverb),"ˈded.li
completely or extremely."
debut (noun),"ˈdeɪ.bju
the occasion when someone performs or presents something to the public for the first time."
declaration (noun),"ˌdek.ləˈreɪ.ʃən
an announcement, often one that is written and official."
dedicated (adjective),"ˈded.ɪ.keɪ.tɪd
believing that something is very important and giving a lot of time and energy to it."
dedication (noun),"ˌded.ɪˈkeɪ.ʃən
the willingness to give a lot of time and energy to something because it is important."
defect (noun),"ˈdiː.fekt
a fault or problem in something or someone that spoils that thing or person or causes it, him, or her not to work correctly."
deficiency (noun),"dɪˈfɪʃ.ən.si
a state of not having, or not having enough, of something that is needed."
deficit (noun),"ˈdef.ɪ.sɪt
the total amount by which money spent is more than money received."
delegate (noun),"ˈdel.ɪ.ɡət
a person chosen or elected by a group to speak, vote, etc. for them, especially at a meeting."
demonstration (noun),"ˌdem.ənˈstreɪ.ʃən
the act of showing someone how to do something, or how something works."
density (noun),"ˈden.sɪ.ti
the number of people or things in a place when compared with the size of the place."
deputy (noun),"ˈdep.jə.ti
a person who is given the power to do something instead of another person, or the person whose rank is immediately below that of the leader of an organization."
derive (verb),"dɪˈraɪv
to get something from something else."
design (noun),"dɪˈzaɪn
a drawing or set of drawings showing how a building or product is to be made and how it will work and look."
desire (verb),"dɪˈzaɪər
to want something, especially strongly."
detect (verb),"dɪˈtekt
to notice something that is partly hidden or not clear, or to discover something, especially using a special method."
deteriorate (verb),"dɪˈtɪə.ri.ə.reɪt
to become worse."
determine (verb),"dɪˈtɜː.mɪn
to control or influence something directly, or to decide what will happen."
dictate (verb),"dɪkˈteɪt
to give orders, or tell someone exactly what they must do, with total authority."
differentiate (verb),"ˌdɪf.əˈren.ʃi.eɪt
to show or find the difference between things that are compared."
diminish (verb),"dɪˈmɪn.ɪʃ
to reduce or be reduced in size or importance."
diplomatic (adjective),"ˌdɪp.ləˈmæt.ɪk
involving diplomats or the management of the relationships between countries."
direct (verb),"daɪˈrekt
to control or be in charge of an activity, organization, etc.."
directory (noun),"dɪˈrek.tər.i
a book that gives a list of names, addresses, or other facts."
disastrous (adjective),"dɪˈzɑː.strəs
extremely bad or unsuccessful."
discrimination (noun),"dɪˌskrɪm.ɪˈneɪ.ʃən
treating a person or particular group of people differently, especially in a worse way from the way in which you treat other people, because of their race, gender, sexuality, etc.."
dismiss (verb),"dɪˈsmɪs
to decide that something or someone is not important and not worth considering."
dismissal (noun),"dɪˈsmɪs.əl
the situation in which an employer officially makes someone leave their job."
displace (verb),"dɪˈspleɪs
to force something out of its usual or original position."
disruption (noun),"dɪsˈrʌp.ʃən
the action of preventing something, especially a system, process, or event, from continuing as usual or as expected."
distinct (adjective),"dɪˈstɪŋkt
clearly noticeable; that certainly exists."
distinctive (adjective),"dɪˈstɪŋk.tɪv
Something that is distinctive is easy to recognize because it is different from other things."
distress (noun),"dɪˈstres
a feeling of extreme worry, sadness, or pain."
distribution (noun),"ˌdɪs.trɪˈbjuː.ʃən
the process of giving things out to several people, or spreading or supplying something."
diversity (noun),"daɪˈvɜː.sə.ti
the fact of many different types of things or people being included in something; a range of different things or people."
divide (noun),"dɪˈvaɪd
a difference or separation."
domain (noun),"dəˈmeɪn
an area of interest or an area over which a person has control."
dominant (adjective),"ˈdɒm.ɪ.nənt
more important, strong, or noticeable than anything else of the same type."
downwards (adverb),"ˈdaʊn.wədz
towards a lower position."
draft (verb),"drɑːft
to write the first version of a document such as a letter, essay, or law, which may have details added, changed, or corrected later."
dual (adjective),"ˈdʒuː.əl
with two parts, or combining two things."
dumb (adjective),"dʌm
unable to speak."
dump (noun),"dʌmp
a place where people are allowed to leave their rubbish."
duration (noun),"dʒʊəˈreɪ.ʃən
the length of time that something lasts."
effectiveness (noun),"ɪˈfek.tɪv.nəs
the degree to which something is effective."
elderly (noun),"ˈel.dəl.i
old people considered as a group."
eligible (adjective),"ˈel.ɪ.dʒə.bəl
having the necessary qualities or satisfying the necessary conditions."
eliminate (verb),"iˈlɪm.ɪ.neɪt
to remove or take away someone or something."
elite (noun),"iˈliːt
the richest, most powerful, best-educated, or best-trained group in a society."
embrace (verb),"ɪmˈbreɪs
to accept something enthusiastically."
emission (noun),"iˈmɪʃ.ən
the act of sending out gas, heat, light, etc.."
empire (noun),"ˈem.paɪər
a group of countries ruled by a single person, government, or country."
endeavour (noun),"enˈdev.ər
an attempt to do something."
endeavour (verb),"enˈdev.ər
to try to do something."
enforce (verb),"ɪnˈfɔːs
to make people obey a law, or to make a particular situation happen or be accepted."
enhance (verb),"ɪnˈhɑːns
to improve the quality, amount, or strength of something."
enrich (verb),"ɪnˈrɪtʃ
to improve the quality of something by adding something else."
enterprise (noun),"ˈen.tə.praɪz
an organization, especially a business, or a difficult and important plan, especially one that will earn money."
equation (noun),"ɪˈkweɪ.ʒən
a mathematical statement in which you show that two amounts are equal using mathematical symbols."
equivalent (adjective),"ɪˈkwɪv.əl.ənt
having the same amount, value, purpose, qualities, etc.."
equivalent (noun),"ɪˈkwɪv.əl.ənt
something that has the same amount, value, purpose, qualities, etc. as something else."
escape (noun),"ɪˈskeɪp
the act of successfully getting out of a place or a dangerous or bad situation."
establishment (noun),"ɪˈstæb.lɪʃ.mənt
a business or other organization, or the place where an organization operates."
ethnic (adjective),"ˈeθ.nɪk
relating or belonging to a group of people who can be seen as distinct (= different) because they have a shared culture, tradition, language, history, etc. ."
evaluate (verb),"ɪˈvæl.ju.eɪt
to judge or calculate the quality, importance, amount, or value of something."
evaluation (noun),"ɪˌvæl.juˈeɪ.ʃən
the process of judging or calculating the quality, importance, amount, or value of something."
evolve (verb),"ɪˈvɒlv
to develop gradually, or to cause something or someone to develop gradually."
exaggerate (verb),"ɪɡˈzædʒ.ə.reɪt
to make something seem larger, more important, better, or worse than it really is."
exceed (verb),"ɪkˈsiːd
to be greater than a number or amount, or to go past an allowed limit."
excess (adjective),"ˈek.ses
extra."
excess (noun),"ɪkˈses
an amount that is more than acceptable, expected, or reasonable."
excessive (adjective),"ekˈses.ɪv
too much."
exclude (verb),"ɪkˈskluːd
to prevent someone or something from entering a place or taking part in an activity."
exclusive (adjective),"ɪkˈskluː.sɪv
limited to only one person or group of people."
exclusively (adverb),"ɪkˈskluː.sɪv.li
only."
executive (noun),"ɪɡˈzek.jə.tɪv
someone in a high position, especially in business, who makes decisions and puts them into action."
executive (adjective),"ɪɡˈzek.jə.tɪv
relating to making decisions and managing businesses, or suitable for people with important jobs in business."
exhibit (noun),"ɪɡˈzɪb.ɪt
an object that is shown to the public in a museum, etc.."
exhibit (verb),"ɪɡˈzɪb.ɪt
to show something publicly."
exposure (noun),"ɪkˈspəʊ.ʒər
the fact of experiencing something or being affected by it because of being in a particular situation or place."
fabric (noun),"ˈfæb.rɪk
cloth or material for making clothes, covering furniture, etc.."
facilitate (verb),"fəˈsɪl.ɪ.teɪt
to make something possible or easier."
faculty (noun),"ˈfæk.əl.ti
a natural ability to hear, see, think, move, etc.."
fairness (noun),"ˈfeə.nəs
the quality of treating people equally or in a way that is right or reasonable."
fake (adjective),"feɪk
not real, but made to look or seem real."
federal (adjective),"ˈfed.ər.əl
relating to the central government, and not to the government of a region, of some countries such as the US."
flaw (noun),"flɔː
a fault, mistake, or weakness, especially one that happens while something is being planned or made, or that causes something not to be perfect."
flee (verb),"fliː
to escape by running away, especially because of danger or fear."
fleet (noun),"fliːt
a group of ships, or all of the ships in a country's navy."
focus (noun),"ˈfəʊ.kəs
the main or central point of something, especially of attention or interest."
formal (adjective),"ˈfɔː.məl
public or official."
format (noun),"ˈfɔː.mæt
a pattern, plan, or arrangement."
formula (noun),"ˈfɔː.mjə.lə
a standard or accepted way of doing or making something ."
foundation (noun),"faʊnˈdeɪ.ʃən
an occasion when an organization, state, etc. is established."
frustrated (adjective),"frʌsˈtreɪ.tɪd
feeling annoyed or less confident because you cannot achieve what you want."
frustrating (adjective),"frʌsˈtreɪ.tɪŋ
making you feel annoyed or less confident because you cannot achieve what you want."
fulfil (verb),"fʊlˈfɪl
to do something that is expected, hoped for, or promised, or to cause it to happen."
fund (noun),"fʌnd
an amount of money saved, collected, or provided for a particular purpose."
fund (verb),"fʌnd
to provide the money to pay for an event, activity, or organization."
funding (noun),"ˈfʌn.dɪŋ
money given by a government or organization for an event or activity."
gain (noun),"ɡeɪn
an occasion when you get something useful or positive."
gathering (noun),"ˈɡæð.ər.ɪŋ
a party or a meeting when many people come together as a group."
gene (noun),"dʒiːn
a part of the DNA in a cell that controls the physical development, behaviour, etc. of an individual plant or animal and is passed on from its parents."
genetic (adjective),"dʒəˈnet.ɪk
belonging or relating to genes (= parts of the DNA in cells) received by each animal or plant from its parents."
genius (noun),"ˈdʒiː.ni.əs
very great and rare natural ability or skill, especially in a particular area such as science or art, or a person who has this."
gesture (noun),"ˈdʒes.tʃər
a movement of the hands, arms, or head, etc. to express an idea or feeling."
glimpse (noun),"ɡlɪmps
an occasion when you see something or someone for a very short time."
globalization (noun),"ˌɡləʊ.bəl.aɪˈzeɪ.ʃən
the increase of trade around the world, especially by large companies producing and trading goods in many different countries."
grace (noun),"ɡreɪs
a quality of moving in a smooth, relaxed, and attractive way."
grade (verb),"ɡreɪd
to separate people or things into different levels of quality, size, importance, etc.."
grasp (verb),"ɡrɑːsp
to quickly take something in your hand(s) and hold it firmly."
group (verb),"ɡruːp
to form a group or put people or things into a group."
guideline (noun),"ˈɡaɪd.laɪn
information intended to advise people on how something should be done or what something should be."
habitat (noun),"ˈhæb.ɪ.tæt
the natural environment in which an animal or plant usually lives."
harassment (noun),"ˈhær.əs.mənt
behaviour that annoys or upsets someone."
harsh (adjective),"hɑːʃ
unpleasant, unkind, cruel, or more severe than is necessary."
hate (noun),"heɪt
an extremely strong dislike."
hatred (noun),"ˈheɪ.trɪd
an extremely strong feeling of dislike."
hazard (noun),"ˈhæz.əd
something that is dangerous and likely to cause damage."
hence (adverb),"hens
that is the reason or explanation for."
hilarious (adjective),"hɪˈleə.ri.əs
extremely funny and causing a lot of laughter."
historian (noun),"hɪˈstɔː.ri.ən
someone who writes about or studies history."
holy (adjective),"ˈhəʊ.li
related to a religion or a god."
homeless (adjective),"ˈhəʊm.ləs
without a home."
homeless (noun),"ˈhəʊm.ləs
people who do not have a home, usually because they are poor."
honour (verb),"ˈɒn.ər
to show great respect for someone or something, especially in public."
horn (noun),"hɔːn
a hard, pointed, often curved part that grows from the top of the head of some animals, or the hard substance of which a horn is made."
host (verb),"həʊst
to provide the space and other things necessary for a special event."
hostile (adjective),"ˈhɒs.taɪl
unfriendly and not liking something."
housing (noun),"ˈhaʊ.zɪŋ
buildings for people to live in."
humanity (noun),"hjuːˈmæn.ə.ti
people in general."
humorous (adjective),"ˈhjuː.mə.rəs
funny, or making you laugh."
hunt (noun),"hʌnt
a search for something or someone."
illustration (noun),"ˌɪl.əˈstreɪ.ʃən
a picture in a book, magazine, etc. or the process of illustrating something."
imaginary (adjective),"ɪˈmædʒ.ɪ.nər.i
Something that is imaginary is created by and exists only in the mind."
immense (adjective),"ɪˈmens
extremely large in size or degree."
impact (verb),"ɪmˈpækt
to have an influence on something."
import (noun),"ˈɪm.pɔːt
goods bought by one country from another."
impose (verb),"ɪmˈpəʊz
to officially force a rule, tax, punishment, etc. to be obeyed or received."
imprison (verb),"ɪmˈprɪz.ən
to put someone in prison."
inability (noun),"ˌɪn.əˈbɪl.ə.ti
lack of ability to do something."
inadequate (adjective),"ɪˈnæd.ɪ.kwət
not good enough or too low in quality."
inappropriate (adjective),"ˌɪn.əˈprəʊ.pri.ət
unsuitable."
inclusion (noun),"ɪnˈkluː.ʒən
the act of including someone or something as part of a group, list, etc., or a person or thing that is included."
incredibly (adverb),"ɪnˈkred.ə.bli
used for saying that something is very difficult to believe."
index (noun),"ˈɪn.deks
an alphabetical list, such as one printed at the back of a book showing which page a subject, name, etc. is on."
indication (noun),"ˌɪn.dɪˈkeɪ.ʃən
a sign that something exists, is true, or is likely to happen."
inevitable (adjective),"ɪˈnev.ɪ.tə.bəl
certain to happen and unable to be avoided or prevented."
infect (verb),"ɪnˈfekt
to pass a disease to a person, animal, or plant."
influential (adjective),"ˌɪn.fluˈen.ʃəl
having a lot of influence on someone or something."
infrastructure (noun),"ˈɪn.frəˌstrʌk.tʃər
the basic systems and services, such as transport and power supplies, that a country or organization uses in order to work effectively."
initiative (noun),"ɪˈnɪʃ.ə.tɪv
a new plan or process to achieve something or solve a problem."
injustice (noun),"ɪnˈdʒʌs.tɪs
(an example of) a situation in which there is no fairness and justice."
innovation (noun),"ˌɪn.əˈveɪ.ʃən
(the use of) a new idea or method."
innovative (adjective),"ˈɪn.ə.və.tɪv
using new methods or ideas."
insert (verb),"ɪnˈsɜːt
to put something inside something else."
insight (noun),"ˈɪn.saɪt
(the ability to have) a clear, deep, and sometimes sudden understanding of a complicated problem or situation."
inspect (verb),"ɪnˈspekt
to look at something or someone carefully in order to discover information, especially about their quality or condition."
inspection (noun),"ɪnˈspek.ʃən
the act of looking at something carefully, or an official visit to a building or organization to check that everything is correct and legal."
installation (noun),"ˌɪn.stəˈleɪ.ʃən
the act of putting furniture, a machine, or a piece of equipment into position and making it ready to use ."
instance (noun),"ˈɪn.stəns
a particular situation, event, or fact, especially an example of something that happens generally."
instruct (verb),"ɪnˈstrʌkt
to order or tell someone to do something, especially in a formal way."
insufficient (adjective),"ˌɪn.səˈfɪʃ.ənt
not enough."
integral (adjective),"ˈɪn.tɪ.ɡrəl
necessary and important as a part of a whole."
integrate (verb),"ˈɪn.tɪ.ɡreɪt
to mix with and join society or a group of people, often changing to suit their way of life, habits, and customs."
integration (noun),"ˌɪn.tɪˈɡreɪ.ʃən
the action or process of successfully joining or mixing with a different group of people."
intense (adjective),"ɪnˈtens
extreme and forceful or (of a feeling) very strong."
interaction (noun),"ˌɪn.təˈræk.ʃən
an occasion when two or more people or things communicate with or react to each other."
interference (noun),"ˌɪn.təˈfɪə.rəns
an occasion when someone tries to interfere in a situation."
interpret (verb),"ɪnˈtɜː.prɪt
to decide what the intended meaning of something is."
isolated (adjective),"ˈaɪ.sə.leɪ.tɪd
not near to other places."
isolation (noun),"ˌaɪ.səlˈeɪ.ʃən
the condition of being alone, especially when this makes you feel unhappy."
jam (verb),"dʒæm
to be, or make something, unable to move."
journal (noun),"ˈdʒɜː.nəl
a serious magazine or newspaper that is published regularly about a particular subject."
label (verb),"ˈleɪ.bəl
to fasten a label to."
labour (noun),"ˈleɪ.bər
practical work, especially when it involves hard physical effort."
landmark (noun),"ˈlænd.mɑːk
a building or place that is easily recognized, especially one that you can use to judge where you are."
launch (noun),"lɔːntʃ
an event to celebrate or introduce something new."
lawn (noun),"lɔːn
an area of grass, especially near to a house or in a park, that is cut regularly to keep it short."
lay (verb),"leɪ
to put something in especially a flat or horizontal position, usually carefully or for a particular purpose."
layout (noun),"ˈleɪ.aʊt
the way that something is arranged."
leadership (noun),"ˈliː.də.ʃɪp
the set of characteristics that make a good leader."
legendary (adjective),"ˈledʒ.ən.dri
very famous and admired or spoken about."
lengthy (adjective),"ˈleŋ.θi
continuing for a long time."
let (adverb),"let
used after a negative statement to emphasize how unlikely a situation is because something much more likely has never happened."
liable (adjective),"ˈlaɪ.ə.bəl
having (legal) responsibility for something or someone."
liberal (adjective),"ˈlɪb.ər.əl
respecting and allowing many different types of beliefs or behaviour."
liberation (noun),"ˌlɪb.ərˈeɪ.ʃən
an occasion when something or someone is released or made free."
limitation (noun),"ˌlɪm.ɪˈteɪ.ʃən
the act of controlling and especially reducing something."
listener (noun),"ˈlɪs.ən.ər
someone who listens."
literacy (noun),"ˈlɪt.ər.ə.si
the ability to read and write."
log (noun),"lɒɡ
a thick piece of tree trunk or branch, especially one cut for burning on a fire."
logic (noun),"ˈlɒdʒ.ɪk
a particular way of thinking, especially one that is reasonable and based on good judgment."
long-time (adjective),"ˈlɒŋ.taɪm
used to say that someone has been in a particular position for a long period."
machinery (noun),"məˈʃiː.nər.i
a group of large machines or the parts of a machine that make it work."
magistrate (noun),"ˈmædʒ.ɪ.streɪt
a person who acts as a judge in a law court that deals with crimes that are less serious."
magnetic (adjective),"mæɡˈnet.ɪk
(of a metal object or material) able to attract objects or materials containing iron or steel."
march (noun),"mɑːtʃ
an event in which a large number of people walk through a public place to express their support for something, or their disagreement with or disapproval of something."
market (noun),"ˈmɑː.kɪt
the people who might want to buy something, or a part of the world where something is sold."
mass (adjective),"mæs
having an effect on or involving a large number of people or forming a large amount."
match (verb),"mætʃ
to be as good as someone or something else."
mechanism (noun),"ˈmek.ə.nɪ.zəm
a part of a machine, or a set of parts that work together."
memo (noun),"ˈmem.əʊ
a message or other information in writing sent by one person or department to another in the same business organization."
merit (noun),"ˈmer.ɪt
the quality of being good and deserving praise."
mild (adjective),"maɪld
not violent, severe, or extreme."
military (noun),"ˈmɪl.ɪ.tər.i
the armed forces."
miner (noun),"ˈmaɪ.nər
a person who works in a mine."
minimal (adjective),"ˈmɪn.ɪ.məl
very small in amount."
minimize (verb),"ˈmɪn.ɪ.maɪz
to reduce something to the least possible level or amount."
mining (noun),"ˈmaɪ.nɪŋ
the industry or activity of removing substances such as coal or metal from the ground by digging."
ministry (noun),"ˈmɪn.ɪ.stri
in Britain and some other countries, a department of the government led by a minister."
mode (noun),"məʊd
a way of operating, living, or behaving."
moderate (adjective),"ˈmɒd.ər.ət
neither small nor large in size, amount, degree, or strength."
modification (noun),"ˌmɒd.ɪ.fɪˈkeɪ.ʃən
a change to something, usually to improve it."
modify (verb),"ˈmɒd.ɪ.faɪ
to change something such as a plan, opinion, law, or way of behaviour slightly, usually to improve it or make it more acceptable."
monitor (verb),"ˈmɒn.ɪ.tər
to watch and check a situation carefully for a period of time in order to discover something about it."
motivate (verb),"ˈməʊ.tɪ.veɪt
to cause someone to behave in a particular way."
much (pronoun),"mʌtʃ
(something) of good quality."
multiple (adjective),"ˈmʌl.tɪ.pəl
very many of the same type, or of different types."
municipal (adjective),"mjuːˈnɪs.ɪ.pəl
of or belonging to a town or city."
mutual (adjective),"ˈmjuː.tʃu.əl
(of two or more people or groups) feeling the same emotion, or doing the same thing to or for each other."
namely (adverb),"ˈneɪm.li
used when you want to give more detail or be more exact about something you have just said."
narrow (verb),"ˈnær.əʊ
to become less wide or to make something less wide."
naturally (adverb),"ˈnætʃ.ər.əl.i
happening or existing as part of nature and not made or done by people."
necessity (noun),"nəˈses.ə.ti
the need for something."
neglect (noun),"nɪˈɡlekt
a situation in which you do not give enough care or attention to someone or something, or the state of not receiving enough care or attention."
neglect (verb),"nɪˈɡlekt
to not give enough care or attention to people or things that are your responsibility."
negotiate (verb),"nəˈɡəʊ.ʃi.eɪt
to have formal discussions with someone in order to reach an agreement with them."
negotiation (noun),"nəˌɡəʊ.ʃiˈeɪ.ʃən
the process of discussing something with someone in order to reach an agreement with them, or the discussions themselves."
