word,answer
bank (noun),"bæŋk
an organization where people and businesses can invest or borrow money, change it to foreign money, etc., or a building where these services are offered."
bar (noun),"bɑːr
a place where drinks, especially alcoholic drinks, are sold and drunk, or the area in such a place where the person serving the drinks stands."
baseball (noun),"ˈbeɪs.bɔːl
a game played especially in North America by two teams of nine players, in which a player hits a ball with a bat (= stick) and tries to run around four bases on a large field before the other team returns the ball."
basketball (noun),"ˈbɑː.skɪt.bɔːl
a game played by two teams of five players who score points by throwing a large ball through an open net hanging from a metal ring."
bat (noun),"bæt
a specially shaped piece of wood used for hitting the ball in some games."
bath (noun),"bɑːθ
a long plastic, metal, or ceramic container that is filled with water so that you can sit or lie in it to wash your whole body."
bathroom (noun),"ˈbɑːθ.ruːm
a room with a bath and/or shower and often a toilet."
be (verb),"biː
used to say something about a person, thing, or state, to show a permanent or temporary quality, state, job, etc.."
beach (noun),"biːtʃ
an area of sand or small stones near the sea or another area of water such as a lake."
bean (noun),"biːn
a seed, or the pod containing seeds, of various climbing plants, eaten as a vegetable."
beautiful (adjective),"ˈbjuː.tɪ.fəl
very attractive."
because (conjunction),"bɪˈkəz
for the reason that."
bed (noun),"bed
a large, rectangular piece of furniture, often with four legs, used for sleeping on."
bedroom (noun),"ˈbed.ruːm
a room used for sleeping in."
beer (noun),"bɪər
an alcoholic drink made from grain and hops (= a type of plant)."
before (preposition),"bɪˈfɔːr
at or during a time earlier than (the thing mentioned)."
begin (verb),"bɪˈɡɪn
to start to happen or exist."
behind (preposition),"bɪˈhaɪnd
at the back (of)."
below (adverb),"bɪˈləʊ
in a lower position (than), under."
best (adjective),"best
of the highest quality, or being the most suitable, pleasing, or effective type of thing or person."
better (adjective),"ˈbet.ər
comparative of 
good of a higher standard, or more suitable, pleasing, or effective than other things or people."
between (preposition),"bɪˈtwiːn
in or into the space that separates two places, people, or objects."
big (adjective),"bɪɡ
large in size or amount."
bike (noun),"baɪk
a bicycle."
bird (noun),"bɜːd
a creature with feathers and wings, usually able to fly."
birthday (noun),"ˈbɜːθ.deɪ
the day that is exactly a year or number of years after a person was born."
biscuit (noun),"ˈbɪs.kɪt
a small, flat cake that is dry and usually sweet."
black (adjective),"blæk
having the darkest colour there is, like the colour of coal or of a very dark night."
blue (adjective),"bluː
of the colour of the sky without clouds on a bright day, or a darker or lighter type of this."
boat (noun),"bəʊt
a small vehicle for travelling on water."
body (noun),"ˈbɒd.i
the whole physical structure that forms a person or animal."
book (noun),"bʊk
a written text that can be published in printed or electronic form."
boot (noun),"buːt
a type of shoe that covers the whole foot and the lower part of the leg."
bored (adjective),"bɔːd
feeling unhappy because something is not interesting or because you have nothing to do."
boring (adjective),"ˈbɔː.rɪŋ
not interesting or exciting."
both (predeterminer),"bəʊθ
(referring to) two people or things together."
bottom (noun),"ˈbɒt.əm
the lowest part of something."
box (noun),"bɒks
a square or rectangular container with stiff sides and sometimes a lid."
boy (noun),"bɔɪ
a male child or, more generally, a male of any age."
bread (noun),"bred
a food made from flour, water, and usually yeast, mixed together and baked."
breakfast (noun),"ˈbrek.fəst
a meal eaten in the morning as the first meal of the day."
brother (noun),"ˈbrʌð.ər
a man or boy with the same parents as another person."
brown (noun),"braʊn
the colour of chocolate or soil."
brown (adjective),"braʊn
having the colour of chocolate or soil."
bus (noun),"bʌs
a large vehicle in which people are driven from one place to another."
business (noun),"ˈbɪz.nɪs
the activity of buying and selling goods and services."
but (conjunction),"bʌt
used to introduce an added statement, usually something that is different from what you have said before."
butter (noun),"ˈbʌt.ər
a pale yellow solid food containing a lot of fat that is made from cream and is spread on bread or used in cooking."
buy (verb),"baɪ
to get something by paying money for it."
bye (exclamation),"baɪ
goodbye."
cafe (noun),"ˈkæf.eɪ
a restaurant where simple and usually quite cheap meals are served."
cake (noun),"keɪk
a sweet food made with a mixture of flour, eggs, fat, and sugar."
camera (noun),"ˈkæm.rə
a device for taking photographs or making films or television programmes."
can (modal verb),"kæn
to be able to."
cannot (modal verb),"ˈkæn.ɒt
the negative form of the verb ""can""."
car (noun),"kɑːr
a road vehicle with an engine, four wheels, and seats for a small number of people."
carry (verb),"ˈkær.i
to hold something or someone with your hands, arms, or on your back and transport it, him, or her from one place to another."
cat (noun),"kæt
a small animal with fur, four legs, a tail, and claws, usually kept as a pet or for catching mice ."
catch (verb),"kætʃ
to take hold of something, especially something that is moving through the air."
cd (noun),"ˌsiːˈdiː
abbreviation for
compact disc a small plastic disk with a shiny surface on which information, especially high-quality sound, is recorded."
chair (noun),"tʃeər
a seat for one person that has a back, usually four legs, and sometimes two arms."
change (verb),"tʃeɪndʒ
to exchange one thing for another thing, especially of a similar type."
cheap (adjective),"tʃiːp
costing little money or less than is usual or expected."
cheese (noun),"tʃiːz
a food made from milk, or from a milk-like substance taken from plants, that can be either firm or soft and is usually yellow or white in colour."
child (noun),"tʃaɪld
a boy or girl from the time of birth until he or she is an adult, or a son or daughter of any age."
chip (noun),"tʃɪp
a long, thin piece of potato that is fried and usually eaten hot."
chocolate (noun),"ˈtʃɒk.lət
a sweet, usually brown, food made from cacao seeds, that is usually sold in a block and is often used as a flavour for desserts, drinks, etc.."
choose (verb),"tʃuːz
to decide what you want from two or more things or possibilities."
city (noun),"ˈsɪt.i
a large town."
class (noun),"klɑːs
a group of students who are taught together at school, college, or university."
classroom (noun),"ˈklɑːs.ruːm
a room in a school or college where groups of students are taught."
clean (adjective),"kliːn
free from any dirty marks, pollution, bacteria, etc.."
clean (verb),"kliːn
to remove dirt from something."
clever (adjective),"ˈklev.ər
having or showing the ability to learn and understand things quickly and easily."
clock (noun),"klɒk
a device for measuring and showing time, usually found in or on a building and not worn by a person."
close (verb),"kləʊz
to change from being open to not being open, or to cause something to do this."
close (adjective),"kləʊs
not far in position or time."
closed (adjective),"kləʊzd
not open."
clothes (noun),"kləʊðz
things such as dresses and trousers that you wear to cover, protect, or decorate your body."
coat (noun),"kəʊt
an outer piece of clothing with sleeves that is worn over other clothes, usually for warmth."
coffee (noun),"ˈkɒf.i
a dark brown powder with a strong flavour and smell that is made by crushing dark beans from a tropical bush and used to make a drink."
cold (adjective),"kəʊld
at a low temperature, especially when compared to the temperature of the human body, and not hot, or warm."
colour (verb),"ˈkʌl.ər
to become a particular colour, or to make something a particular colour."
colour (noun),"ˈkʌl.ər
red, blue, green, yellow, etc.."
come (verb),"kʌm
to move or travel towards the speaker or with the speaker."
computer (noun),"kəmˈpjuː.tər
an electronic machine that is used for storing, organizing, and finding words, numbers, and pictures, for doing calculations, and for controlling other machines."
conversation (noun),"ˌkɒn.vəˈseɪ.ʃən
(a) talk between two or more people in which thoughts, feelings, and ideas are expressed, questions are asked and answered, or news and information is exchanged."
cook (verb),"kʊk
When you cook food, you prepare it to be eaten by heating it in a particular way, such as baking or boiling, and when food cooks, it is heated until it is ready to eat."
country (noun),"ˈkʌn.tri
an area of land that has its own government, army, etc.."
course (noun),"kɔːs
a set of classes or a plan of study on a particular subject, usually leading to an exam or qualification."
cow (noun),"kaʊ
a large female farm animal kept to produce meat and milk."
cross (noun),"krɒs
a written mark (x or +) formed by two lines going across each other. The mark x is usually used to show where something is, or that something has not been written correctly.."
cup (noun),"kʌp
a small, round container, often with a handle, used for drinking tea, coffee, etc.."
dad (noun),"dæd
a father."
dance (verb),"dɑːns
to move the body and feet to music."
date (noun),"deɪt
a numbered day in a month, often given with a combination of the name of the day, the month, and the year."
daughter (noun),"ˈdɔː.tər
your female child."
day (noun),"deɪ
a period of 24 hours, especially from twelve o'clock one night to twelve o'clock the next night."
december (noun),"dɪˈsem.bər
the twelfth and last month of the year, after November and before January."
desk (noun),"desk
a type of table that you can work at, often one with drawers."
dictionary (noun),"ˈdɪk.ʃən.ər.i
a book that contains a list of words in alphabetical order and explains their meanings, or gives a word for them in another language; an electronic product giving similar information on a computer, smartphone, etc.."
die (verb),"daɪ
to stop being alive, either suddenly or slowly."
different (adjective),"ˈdɪf.ər.ənt
not the same."
difficult (adjective),"ˈdɪf.ɪ.kəlt
needing skill or effort."
dinner (noun),"ˈdɪn.ər
the main meal of the day, usually the meal you eat in the evening but sometimes, in Britain, the meal eaten in the middle of the day."
do (auxiliary verb),"də
used with another verb to form questions and negative sentences, including negative orders, and sometimes in affirmative sentences for reasons of style."
do (verb),"də
to perform, take part in, or achieve something."
doctor (noun),"ˈdɒk.tər
a person with a medical degree whose job is to treat people who are ill or hurt."
dog (noun),"dɒɡ
a common animal with four legs, especially kept by people as a pet or to hunt or guard things."
dollar (noun),"ˈdɒl.ər
the standard unit of money used in the US, Canada, Australia, New Zealand, and other countries."
door (noun),"dɔːr
a flat object that is used to close the entrance of something such as a room or building, or the entrance itself."
draw (verb),"drɔː
to make a picture of something or someone with a pencil or pen."
dress (noun),"dres
a piece of clothing that covers the top half of the body and hangs down over the legs, usually worn by women and girls ."
drink (noun),"drɪŋk
(an amount of) liquid that is taken into the body through the mouth."
drink (verb),"drɪŋk
to take liquid into the body through the mouth."
drive (verb),"draɪv
to move or travel on land in a motor vehicle, especially as the person controlling the vehicle's movement."
driver (noun),"ˈdraɪ.vər
someone who drives a vehicle."
dvd (noun),"ˌdiː.viːˈdiː
abbreviation for digital versatile disc or digital video disca disc used for storing and playing music, films, or information."
each (pronoun),"iːtʃ
every thing, person, etc. in a group of two or more, considered separately."
ear (noun),"ɪər
either of the two organs, one on each side of the head, by which people or animals hear sounds, or the piece of skin and tissue outside the head connected to this organ."
early (adjective),"ˈɜː.li
near the beginning of a period of time, or before the usual, expected, or planned time."
easy (adjective),"ˈiː.zi
needing little effort."
eat (verb),"iːt
to put or take food into the mouth, chew it (= crush it with the teeth), and swallow it."
egg (noun),"eɡ
the oval object with a hard shell that is produced by female birds, especially chickens, eaten as food."
eight (number),"eɪt
the number 8."
eighteen (number),"ˌeɪˈtiːn
the number 18."
eleven (number),"ɪˈlev.ən
the number 11."
email (noun),"ˈiː.meɪl
the system for using computers to send messages over the internet."
enjoy (verb),"ɪnˈdʒɔɪ
to get pleasure from something."
evening (noun),"ˈiːv.nɪŋ
the part of the day between the end of the afternoon and night."
every (determiner),"ˈev.ri
used when referring to all the members of a group of three or more."
example (noun),"ɪɡˈzɑːm.pəl
something that is typical of the group of things that it is a member of."
excited (adjective),"ɪkˈsaɪ.tɪd
feeling very happy and enthusiastic."
exciting (adjective),"ɪkˈsaɪ.tɪŋ
making you feel excited."
expensive (adjective),"ɪkˈspen.sɪv
costing a lot of money."
eye (noun),"aɪ
one of the two organs in your face that are used for seeing."
face (noun),"feɪs
the front of the head, where the eyes, nose, and mouth are."
factory (noun),"ˈfæk.tər.i
a building or set of buildings where large amounts of goods are made using machines."
family (noun),"ˈfæm.əl.i
a group of people who are related to each other, such as a mother, a father, and their children."
famous (adjective),"ˈfeɪ.məs
known and recognized by many people."
farm (noun),"fɑːm
an area of land, together with a house and buildings, used for growing crops and/or keeping animals as a business."
fast (adjective),"fɑːst
moving or happening quickly, or able to move or happen quickly."
fat (adjective),"fæt
having a lot of flesh on the body."
father (noun),"ˈfɑː.ðər
a male parent."
favourite (adjective),"ˈfeɪ.vər.ɪt
best liked or most enjoyed."
february (noun),"ˈfeb.ru.ər.i
the second month of the year, after January and before March."
feel (verb),"fiːl
to experience something physical or emotional."
fifteen (number),"ˌfɪfˈtiːn
the number 15."
film (noun),"fɪlm
a series of moving pictures, usually shown in a cinema or on television and often telling a story."
find (verb),"faɪnd
to discover, especially where a thing or person is, either unexpectedly or by searching, or to discover where to get or how to achieve something."
fine (adjective),"faɪn
good or good enough; healthy and well."
finish (verb),"ˈfɪn.ɪʃ
to complete something or come to the end of an activity."
first (ordinal number),"ˈfɜːst
(a person or thing) coming before all others in order, time, amount, quality, or importance."
first (adverb),"ˈfɜːst
before all others in order, time, amount, quality, or importance."
fish (noun),"fɪʃ
an animal that lives in water, is covered with scales, and breathes by taking water in through its mouth, or the flesh of these animals eaten as food."
five (number),"faɪv
the number 5."
flat (noun),"flæt
a set of rooms for living in that are part of a larger building and are usually all on one floor."
floor (noun),"flɔːr
the flat surface of a room on which you walk."
flower (noun),"flaʊər
the part of a plant that is often brightly coloured and has a pleasant smell, or the type of plant that produces these."
food (noun),"fuːd
something that people and animals eat, or plants absorb, to keep them alive."
foot (noun),"fʊt
the part of the body at the bottom of the leg on which a person or animal stands."
football (noun),"ˈfʊt.bɔːl
a game played between two teams of eleven people, where each team tries to win by kicking a ball into the other team's goal."
for (preposition),"fɔːr
intended to be given to."
four (number),"fɔːr
the number 4."
fourteen (number),"ˌfɔːˈtiːn
the number 14."
friday (noun),"ˈfraɪ.deɪ
the day of the week after Thursday and before Saturday."
friend (noun),"frend
a person who you know well and who you like a lot, but who is usually not a member of your family."
from (preposition),"frɒm
used to show the place where someone or something starts."
fruit (noun),"fruːt
the soft part containing seeds that is produced by a plant. Many types of fruit are sweet and can be eaten."
fun (noun),"fʌn
pleasure, enjoyment, or entertainment."
funny (adjective),"ˈfʌn.i
humorous; causing laughter."
game (noun),"ɡeɪm
an entertaining activity or sport, especially one played by children, or the equipment needed for such an activity."
garden (noun),"ˈɡɑː.dən
a piece of land next to and belonging to a house, where flowers and other plants are grown, and often containing an area of grass."
get (verb),"ɡet
to obtain, buy, or earn something."
girl (noun),"ɡɜːl
a female child or young woman, especially one still at school."
give (verb),"ɡɪv
to offer something to someone, or to provide someone with something."
glass (noun),"ɡlɑːs
a hard, transparent material, used to make windows, bottles, and other objects."
go (verb),"ɡəʊ
to travel or move to another place."
good (adjective),"ɡʊd
very satisfactory, enjoyable, pleasant, or interesting."
goodbye (exclamation),"ɡʊdˈbaɪ
used when someone leaves."
grass (noun),"ɡrɑːs
a low, green plant that grows naturally over a lot of the earth's surface, having groups of very thin leaves that grow close together in large numbers."
green (adjective),"ɡriːn
of a colour between blue and yellow; of the colour of grass."
grey (adjective),"ɡreɪ
of the colour that is a mixture of black and white, the colour of rain clouds."
group (noun),"ɡruːp
a number of people or things that are put together or considered as a unit."
guitar (noun),"ɡɪˈtɑːr
a musical instrument, usually made of wood, with six strings and a long neck, played with the fingers or a plectrum."
hair (noun),"heər
the mass of thin thread-like structures on the head of a person, or any of these structures that grow out of the skin of a person or animal."
hand (noun),"hænd
the part of the body at the end of the arm that is used for holding, moving, touching, and feeling things."
happy (adjective),"ˈhæp.i
feeling, showing, or causing pleasure or satisfaction."
hard (adverb),"hɑːd
with a lot of physical or mental effort."
hat (noun),"hæt
a covering for the head that is not part of a piece of clothing."
have (verb),"hæv
to own."
have to (verb),"hæv
to own."
he (pronoun),"hiː
used as the subject of a verb to refer to a man, boy, or male animal that has already been mentioned."
head (noun),"hed
the part of the body above the neck where the eyes, nose, mouth, ears, and brain are."
hear (verb),"hɪər
to receive or become conscious of a sound using your ears."
hello (exclamation),"heˈləʊ
used when meeting or greeting someone."
help (verb),"help
to make it possible or easier for someone to do something, by doing part of the work yourself or by providing advice, money, support, etc.."
her (pronoun),"hɜːr
used, usually as the object of a verb or preposition, to refer to a woman, girl, or female animal that has just been mentioned or is just about to be mentioned."
here (adverb),"hɪər
in, at, or to this place."
hi (exclamation),"haɪ
used as an informal greeting, usually to people who you know."
him (pronoun),"hɪm
used, usually as the object of a verb or preposition, to refer to a man, boy, or male animal that has just been mentioned or is just about to be mentioned."
his (pronoun),"hɪz
the one(s) belonging to or connected with a man, boy, or male animal that has just been mentioned or is known about."
his (determiner),"hɪz
belonging to or connected with a man, boy, or male animal that has just been mentioned or is known about."
holiday (noun),"ˈhɒl.ə.deɪ
a time when someone does not go to work or school but is free to do what they want, such as travel or relax."
home (noun),"həʊm
the house, apartment, etc. where you live, especially with your family."
homework (noun),"ˈhəʊm.wɜːk
work that teachers give their students to do at home."
horse (noun),"hɔːs
a large animal with four legs that people ride on or use for carrying things or pulling vehicles."
hospital (noun),"ˈhɒs.pɪ.təl
a place where people who are ill or injured are treated and taken care of by doctors and nurses."
hot (adjective),"hɒt
having a high temperature."
hotel (noun),"həʊˈtel
a building where you pay to have a room to sleep in, and where you can sometimes eat meals."
hour (noun),"aʊər
a period of 60 minutes."
house (noun),"haʊs
a building that people, usually one family, live in."
hungry (adjective),"ˈhʌŋ.ɡri
wanting or needing food."
husband (noun),"ˈhʌz.bənd
the man that you are married to."
important (adjective),"ɪmˈpɔː.tənt
necessary or of great value."
in (preposition),"ɪn
inside a container, place, or area, or surrounded or closed off by something."
inside (adverb),"ɪnˈsaɪd
in or into a room, building, container, or something similar."
interesting (adjective),"ˈɪn.tre.stɪŋ
Someone or something that is interesting keeps your attention because he, she, or it is unusual, exciting, or has a lot of ideas."
internet (noun),"ˈɪn.tə.net
the large system of connected computers around the world that allows people to share information and communicate with each other."
into (preposition),"ˈɪn.tuː
to the inside or middle of a place, container, area, etc.."
invite (verb),"ɪnˈvaɪt
to ask or request someone to go to an event."
it (pronoun),"ɪt
used as the subject of a verb, or the object of a verb or preposition, to refer to a thing, animal, situation, or idea that has already been mentioned."
its (determiner),"ɪts
belonging to or relating to something that has already been mentioned."
jacket (noun),"ˈdʒæk.ɪt
a short coat."
january (noun),"ˈdʒæn.ju.ə.ri
the first month of the year, after December and before February."
jeans (noun),"dʒiːnz
trousers made of denim (= strong blue cotton cloth) that are worn informally."
job (noun),"dʒɒb
the regular work that a person does to earn money."
juice (noun),"dʒuːs
the liquid that comes from fruit or vegetables."
july (noun),"dʒuˈlaɪ
the seventh month of the year, after June and before August."
june (noun),"dʒuːn
the sixth month of the year, after May and before July."
key (noun),"kiː
a piece of metal that has been cut into a special shape and is used for opening or closing a lock, starting a car engine, etc.."
kick (verb),"kɪk
to hit someone or something with the foot, or to move the feet and legs suddenly and violently."
kind (noun),"kaɪnd
a group with similar characteristics, or a particular type."
kitchen (noun),"ˈkɪtʃ.ən
a room where food is kept, prepared, and cooked and where the dishes are washed."
knife (noun),"naɪf
a tool, usually with a metal blade and a handle, used for cutting and spreading food or other substances, or as a weapon."
know (verb),"nəʊ
to have information in your mind."
language (noun),"ˈlæŋ.ɡwɪdʒ
a system of communication consisting of sounds, words, and grammar."
last (adjective),"lɑːst
(being) the most recent or the one before the present one."
late (adjective),"leɪt
(happening or being) near the end of a period of time."
learn (verb),"lɜːn
to get knowledge or skill in a new subject or activity."
leave (verb),"liːv
to go away from someone or something, for a short time or permanently."
leg (noun),"leɡ
one of the parts of the body of a human or animal that is used for standing or walking."
lesson (noun),"ˈles.ən
a period of time in which a person is taught about a subject or how to do something."
letter (noun),"ˈlet.ər
a written message from one person to another, usually put in an envelope and sent by post."
life (noun),"laɪf
the period between birth and death, or the experience or state of being alive."
like (verb),"laɪk
to enjoy or approve of something or someone."
listen (noun),"ˈlɪs.ən
the act of listening to something."
listen (verb),"ˈlɪs.ən
to give attention to someone or something in order to hear him, her, or it."
little (adjective),"ˈlɪt.əl
small in size or amount."
long (adjective),"lɒŋ
continuing for a large amount of time."
look (verb),"lʊk
to direct your eyes in order to see."
lot (noun),"lɒt
lots (of) a large amount or number of people or things."
love (verb),"lʌv
to like another adult very much and be romantically and sexually attracted to them, or to have strong feelings of liking a friend or person in your family."
lunch (noun),"lʌntʃ
a meal that is eaten in the middle of the day."
make (verb),"meɪk
to produce something, often using a particular substance or material."
man (noun),"mæn
an adult male human being."
many (determiner),"ˈmen.i
used mainly in negative sentences and questions and with ""too"", ""so"", and ""as"" to mean ""a large number of""."
me (pronoun),"miː
used, usually as the object of a verb or preposition, to refer to the person speaking or writing."
meal (noun),"mɪəl
an occasion when food is eaten, or the food that is eaten on such an occasion."
meat (noun),"miːt
the flesh of an animal when it is used for food."
meet (verb),"miːt
to see and talk to someone for the first time."
message (noun),"ˈmes.ɪdʒ
a short piece of information that you give to a person when you cannot speak to them directly."
milk (noun),"mɪlk
the white liquid produced by cows, goats, and sheep and used by humans as a drink or for making butter, cheese, etc.."
minute (noun),"ˈmɪn.ɪt
one of the 60 parts that an hour is divided into, consisting of 60 seconds."
mobile (noun),"ˈməʊ.baɪl
a 
mobile phone ."
monday (noun),"ˈmʌn.deɪ
the day of the week after Sunday and before Tuesday."
money (noun),"ˈmʌn.i
coins or notes (= special pieces of paper) that are used to buy things, or an amount of these that a person has."
month (noun),"mʌnθ
a period of about four weeks, especially one of the twelve periods into which a year is divided."
more (determiner),"mɔːr
a larger or extra number or amount."
morning (noun),"ˈmɔː.nɪŋ
the part of the day from the time when the sun rises or you wake up until the middle of the day or lunch time."
mother (noun),"ˈmʌð.ər
a female parent."
mouth (noun),"maʊθ
the opening in the face of a person or animal, consisting of the lips and the space between them, or the space behind containing the teeth and the tongue."
movie (noun),"ˈmuː.vi
a film shown in a cinema or on television and often telling a story."
much (determiner),"mʌtʃ
a large amount or to a large degree."
mum (noun),"mʌm
a mother."
museum (noun),"mjuːˈziː.əm
a building where objects of historical, scientific, or artistic interest are kept."
music (noun),"ˈmjuː.zɪk
a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it."
my (determiner),"maɪ
of or belonging to me (= the speaker or writer)."
name (noun),"neɪm
the word or words that a person, thing, or place is known by."
near (adverb),"nɪər
not far away in distance."
need (verb),"niːd
to have to have something, or to want something very much."
never (adverb),"ˈnev.ər
not at any time or not on any occasion."
new (adjective),"njuː
recently created or having started to exist recently."
newspaper (noun),"ˈnjuːzˌpeɪ.pər
a regularly printed document consisting of large sheets of paper that are folded together, or a website, containing news reports, articles, photographs, and advertisements."
next (adjective),"nekst
being the first one after the present one or after the one just mentioned."
nice (adjective),"naɪs
pleasant, enjoyable, or satisfactory."
night (noun),"naɪt
the part of every 24-hour period when it is dark because there is very little light from the sun."
nine (number),"naɪn
the number 9."
nineteen (number),"ˌnaɪnˈtiːn
the number 19."
no (adverb),"nəʊ
used to give negative answers."
no (determiner),"nəʊ
not any; not one; not a."
noise (noun),"nɔɪz
a sound or sounds, especially when it is unwanted, unpleasant, or loud."
nose (noun),"nəʊz
the part of the face that sticks out above the mouth, through which you breathe and smell."
not (adverb),"nɒt
used to form a negative phrase after verbs like ""be"", ""can"", ""have"", ""will"", ""must"", etc., usually used in the short form ""n't"" in speech."
note (noun),"nəʊt
a short piece of writing."
november (noun),"nəʊˈvem.bər
the eleventh month of the year, after October and before December."
now (adverb),"naʊ
at the present time, not in the past or future."
number (noun),"ˈnʌm.bər
(a sign or symbol representing) a unit that forms part of the system of counting and calculating."
o'clock (adverb),"əˈklɒk
used after a number from one to twelve to say the time when it is exactly that hour."
october (noun),"ɒkˈtəʊ.bər
the tenth month of the year, after September and before November."
of (preposition),"əv
used to show possession, belonging, or origin."
often (adverb),"ˈɒf.ən
many times."
oh (exclamation),"əʊ
used to express different emotions, such as surprise, disappointment, and pleasure, often as a reaction to something someone has said."
ok (exclamation),"ˌəʊˈkeɪ
used to show that you agree with something or agree to do something."
old (adjective),"əʊld
having lived or existed for many years."
on (preposition),"ɒn
used to show that something is in a position above something else and touching it, or that something is moving into such a position."
one (number),"wʌn
the number 1."
only (adjective),"ˈəʊn.li
used to show that there is a single one or very few of something, or that there are no others."
only (adverb),"ˈəʊn.li
used to show that something is limited to not more than, or is not anything other than, the people, things, amount, or activity stated."
or (conjunction),"ɔːr
used to connect different possibilities."
orange (adjective),"ˈɒr.ɪndʒ
of a colour between red and yellow."
orange (noun),"ˈɒr.ɪndʒ
a round sweet fruit that has a thick orange skin and an orange centre divided into many parts."
other (determiner),"ˈʌð.ər
as well as the thing or person already mentioned."
our (determiner),"aʊər
of or belonging to us."
outside (adjective),"ˌaʊtˈsaɪd
not inside a building."
page (noun),"peɪdʒ
a side of one of the pieces of paper in a book, newspaper, or magazine, usually with a number printed on it."
paint (noun),"peɪnt
a coloured liquid that is put on a surface such as a wall to decorate it."
paper (noun),"ˈpeɪ.pər
thin, flat material made from crushed wood or cloth, used for writing, printing, or drawing on."
parent (noun),"ˈpeə.rənt
a mother or father of a person or an animal, or someone who looks after a person in the same way that a parent does."
park (noun),"pɑːk
a large area of land with grass and trees, usually surrounded by fences or walls, and specially arranged so that people can walk in it for pleasure or children can play in it."
party (noun),"ˈpɑː.ti
a social event at which a group of people meet to talk, eat, drink, dance, etc., often in order to celebrate a special occasion."
pay (verb),"peɪ
to give money to someone for something you want to buy or for services provided."
pen (noun),"pen
a long, thin object used for writing or drawing with ink."
pencil (noun),"ˈpen.səl
a long, thin object, usually made of wood, for writing or drawing, with a sharp black or coloured point at one end."
people (noun),"ˈpiː.pəl
men, women, and children."
person (noun),"ˈpɜː.sən
a man, woman, or child."
pet (noun),"pet
an animal that is kept in the home as a companion and treated kindly."
phone (verb),"fəʊn
to communicate with someone by phone."
phone (noun),"fəʊn
a device that uses either a system of wires along which electrical signals are sent or a system of radio signals to make it possible for you to speak to someone in another place who has a similar device."
photo (noun),"ˈfəʊ.təʊ
a photograph."
picture (noun),"ˈpɪk.tʃər
a drawing, painting, photograph, etc.."
pig (noun),"pɪɡ
a large pink, brown, or black farm animal with short legs and a curved tail, kept for its meat."
place (noun),"pleɪs
an area, town, building, etc.."
plane (noun),"pleɪn
a vehicle designed for air travel, with wings and one or more engines."
plant (noun),"plɑːnt
a living thing that grows in earth, in water, or on other plants, usually has a stem, leaves, roots, and flowers, and produces seeds."
plate (noun),"pleɪt
a flat, usually round dish with a slightly raised edge that you eat from or serve food from."
play (verb),"pleɪ
When you play, especially as a child, you spend time doing an enjoyable and/or entertaining activity."
player (noun),"ˈpleɪ.ər
someone who takes part in a game or sport."
please (exclamation),"pliːz
used to make a request more polite."
poor (adjective),"pɔːr
having little money and/or few possessions."
