word,answer
artwork (noun),"ˈɑːt.wɜːk
the pieces of art, such as drawings and photographs, that are used in books, newspapers, and magazines."
ash (noun),"æʃ
the soft grey or black powder that is left after a substance, especially tobacco, coal, or wood, has burned."
aside (noun),"əˈsaɪd
a remark that someone makes in a quiet voice because they do not want everyone to hear it."
aspire (verb),"əˈspaɪər
to want something very much or hope to achieve something or be successful."
assassination (noun),"əˌsæs.ɪˈneɪ.ʃən
the murder of someone famous or important."
assertion (noun),"əˈsɜː.ʃən
a statement that you strongly believe is true."
assist (noun),"əˈsɪst
in ball sports, an occasion when a player touches the ball and this leads to another player on the same team scoring a goal or point."
associate (adjective),"əˈsəʊ.si.ət
used in the title of a person whose rank is slightly lower or less complete than the full official position described."
associate (noun),"əˈsəʊ.ʃi.ət
someone who is closely connected to another person as a companion, friend, or business partner."
associated (adjective),"əˈsəʊ.si.eɪ.tɪd
connected."
asylum (noun),"əˈsaɪ.ləm
protection or safety, especially that given by a government to people who have been forced to leave their own countries for their safety or because of war."
atmosphere (noun),"ˈæt.mə.sfɪər
the mixture of gases around the earth."
atrocity (noun),"əˈtrɒs.ə.ti
an extremely cruel, violent, or shocking act."
attention (exclamation),"əˈten.ʃən
in the armed forces, an instruction to stand to attention (= not moving, with your feet together, arms by your sides, head up, and shoulders back)."
auction (verb),"ˈɔːk.ʃən
to sell something in a public auction."
audio (noun),"ˈɔː.di.əʊ
a sound recording, or recorded sound."
audio (adjective),"ˈɔː.di.əʊ
connected with sound and the recording and broadcasting of sound."
audit (verb),"ˈɔː.dɪt
to make an official examination of the accounts of a business and produce a report."
audit (noun),"ˈɔː.dɪt
an official examination of the accounts of a business."
author (verb),"ˈɔː.θər
to write a book, article, etc.."
auto (noun),"ˈɔː.təʊ
a car."
automatic (noun),"ˌɔː.təˈmæt.ɪk
a vehicle in which you do not have to change the gears."
autonomy (noun),"ɔːˈtɒn.ə.mi
the right of an organization, country, or region to be independent and govern itself."
average (verb),"ˈæv.ər.ɪdʒ
to reach a particular amount as an average."
await (verb),"əˈweɪt
to wait for or be waiting for something."
baby (verb),"ˈbeɪ.bi
to treat an older child as if he or she were a much younger child."
back (adjective),"bæk
at or near the back of something."
backdrop (noun),"ˈbæk.drɒp
a large piece of cloth with buildings, countryside, etc. painted on it, hung at the back of a stage during a performance."
background (adjective),"ˈbæk.ɡraʊnd
used to refer to something that is done before, and in preparation for, something else."
backup (adjective),"ˈbæk.ʌp
supporting the main singer, performer, etc. ."
bacteria (noun),"bækˈtɪə.ri.ə
plural of
bacterium ."
bad (noun),"bæd
things or events that are not good or that are morally wrong."
bad (adverb),"bæd
informal for badly (= very much)."
badge (verb),"bædʒ
to put a badge or other mark on something."
bag (verb),"bæɡ
to put something in a bag."
bail (verb),"beɪl
to remove water from a boat using a container."
bail (noun),"beɪl
an amount of money that a person who has been accused of a crime pays to a law court so that they can be released until their trial. The payment is a way of making certain that the person will return to court for trial."
bake (noun),"beɪk
a savoury (= not sweet) dish made from a mixture of foods that is baked in the oven."
ball (verb),"bɔːl
to make something form a closed round shape."
balloon (verb),"bəˈluːn
to quickly increase in size, weight, or importance."
ballot (verb),"ˈbæl.ət
to organize a secret vote by a group of people in order to find out their views."
ballot (noun),"ˈbæl.ət
a system or occasion of secret voting."
band (verb),"bænd
to put a band on something, especially an animal."
bank (verb),"bæŋk
to keep your money in a particular bank, or to put money into a bank."
banner (noun),"ˈbæn.ər
a long piece of cloth with words written on it, sometimes stretched between two poles and carried by people taking part in a march."
bar (verb),"bɑːr
to prevent something or someone from doing something or going somewhere, or to not allow something."
bar (preposition),"bɑːr
except."
bare (verb),"beər
to take away the thing that is covering something so that it can be seen."
bare (adverb),"beər
very."
bargain (verb),"ˈbɑː.ɡɪn
to try to make someone agree to give you something that is better for you, such as a better price or better working conditions."
barrel (verb),"ˈbær.əl
to travel somewhere very quickly."
barrel (noun),"ˈbær.əl
a large container, made of wood, metal, or plastic, with a flat top and bottom and curved sides that make it fatter in the middle."
barrier (adjective),"ˈbær.i.ər
used to describe methods of preventing pregnancy that work by physically blocking sperm from coming into contact with an egg."
base (adjective),"beɪs
not showing any honour and having no morals."
based (suffix)," -beɪst
used to form adjectives showing the main place or area in which something or someone works, lives, or does business."
bass (adjective),"beɪs
playing, singing, or producing the lowest range of musical notes."
bass (noun),"beɪs
the lowest range of musical notes, or a man with a singing voice in this range."
bat (verb),"bæt
to hit or try to hit a ball or other object with a bat."
bath (verb),"bɑːθ
to wash in a bath or to wash someone in a bath."
battery (adjective),"ˈbæt.ər.i
using a system of producing a large number of eggs cheaply by keeping a lot of chickens in rows of small cages (= boxes made of wire)."
battle (verb),"ˈbæt.əl
to fight."
battlefield (noun),"ˈbæt.əl.fiːld
a place where a battle is being fought or has been fought in the past."
bay (verb),"beɪ
(of dogs and wolves) to make a long, deep cry repeatedly."
beach (verb),"biːtʃ
to pull or force a boat, etc. out of the water onto the land."
beam (verb),"biːm
to smile with obvious pleasure."
bean (verb),"biːn
to hit a person in the head with an object."
beast (noun),"biːst
an animal, especially a large or wild one."
beat (adjective),"biːt
extremely tired."
because (preposition),"bɪˈkəz
used before giving a short reason or explanation, especially when you think the reason or explanation is obvious or you do not want to explain more."
bed (verb),"bed
to put something firmly into a substance or into the ground."
bedroom (adjective),"ˈbed.ruːm
relating to sexual activity."
beef (verb),"biːf
to complain."
behind (noun),"bɪˈhaɪnd
the part of the body on which a person sits."
bell (verb),"bel
to put a bell or bells on something."
beloved (noun),"bɪˈlʌv.ɪd
someone that you love and who you have a romantic relationship with."
beloved (adjective),"bɪˈlʌv.ɪd
loved very much."
belt (verb),"belt
(especially of a vehicle) to travel with great speed."
bench (verb),"bentʃ
to not allow someone to take part in a sports game or playground activity, as a punishment or because they are injured."
benchmark (verb),"ˈbentʃ.mɑːk
to measure the quality of something by comparing it with something else of an accepted standard."
benchmark (noun),"ˈbentʃ.mɑːk
a level of quality that can be used as a standard when comparing other things."
benchmark (adjective),"ˈbentʃ.mɑːk
used as a standard when comparing other things."
beneath (adverb),"bɪˈniːθ
below."
beneficiary (noun),"ˌben.əˈfɪʃ.ər.i
a person or group who receives money, advantages, etc. as a result of something else."
bent (noun),"bent
a natural skill."
bent (adjective),"bent
curved and not straight or flat."
bent (verb),"bent
past simple and past participle of 
bend ."
best (verb),"best
to defeat someone in a fight or competition."
better (verb),"ˈbet.ər
to improve a situation."
better (noun),"ˈbet.ər
something that is of a higher standard than something else."
bias (verb),"ˈbaɪ.əs
to cause someone or something to have a bias."
bicycle (verb),"ˈbaɪ.sɪ.kəl
to ride a bicycle."
bike (verb),"baɪk
to go somewhere by bicycle."
bill (verb),"bɪl
to give or send someone a bill asking for money that they owe for a product or service."
bin (verb),"bɪn
to throw something away."
bind (noun),"baɪnd
a difficult or annoying situation in which you are prevented from acting as you might like."
birth (verb),"bɜːθ
to produce a baby or young animal from your body."
bishop (noun),"ˈbɪʃ.əp
a priest of high rank who is in charge of the priests of lower rank in a particular area."
bit (verb),"bɪt
past simple of bite."
bitter (noun),"ˈbɪt.ər
a type of dark brown beer with a bitter taste."
black (verb),"blæk
to put a black substance on something or to make something black."
blank (noun),"blæŋk
a space in a piece of writing or on a form, left empty for information to be added."
blank (verb),"blæŋk
to ignore someone or pretend that you have not seen them or do not know them."
blanket (verb),"ˈblæŋ.kɪt
to cover something completely with a thick layer."
blanket (adjective),"ˈblæŋ.kɪt
including or affecting everything, everyone, or all cases, in a large group or area."
blast (exclamation),"blɑːst
an expression of anger."
blast (noun),"blɑːst
an explosion."
blast (verb),"blɑːst
to explode or destroy something or someone with explosives, or to break through or hit something with a similar, very strong force."
blend (verb),"blend
to mix or combine things together, or to mix or combine with something else, to make one substance."
bless (verb),"bles
to ask for God's help and protection for someone or something, or to call or make someone or something holy."
blessing (noun),"ˈbles.ɪŋ
a request by a priest for God to take care of a particular person or a group of people, or God's act of doing this."
blind (verb),"blaɪnd
to make someone unable to see, permanently or for a short time."
blind (adverb),"blaɪnd
If something or someone is tested blind, either the people being tested or the person testing them, or both, do not know what is being tested.."
blind (noun),"blaɪnd
a cover for a window made of a single piece or strips of cloth, paper, or plastic that is pulled up or down by a string."
blonde (noun),"blɒnd
a woman with pale yellow or gold hair."
blood (verb),"blʌd
to give someone their first experience of something."
boast (noun),"bəʊst
something you are proud of and like to tell people about."
boil (noun),"bɔɪl
a painful swelling on the skin that is filled with pus (= thick, yellow liquid)."
bond (verb),"bɒnd
to stick materials together, especially using glue, or to be stuck together like this."
bone (verb),"bəʊn
to have sex with someone."
boom (verb),"buːm
to make a very deep and loud hollow sound."
boom (noun),"buːm
a deep and loud hollow sound."
boot (verb),"buːt
to kick someone or something hard with the foot."
border (verb),"ˈbɔː.dər
to form a line around the edge of something."
born (adjective),"bɔːn
having a natural ability or liking."
boss (verb),"bɒs
to tell someone what to do a lot."
boss (adjective),"bɒs
very good or excellent."
bother (noun),"ˈbɒð.ər
trouble or problems."
bother (exclamation),"ˈbɒð.ər
used to express anger."
bottle (verb),"ˈbɒt.əl
to put something into bottles or jars."
bounce (noun),"baʊns
the act of bouncing, or the quality that makes something able to bounce."
bound (noun),"baʊnd
a quick, long jump."
bound (verb),"baʊnd
to move quickly with large jumping movements."
bow (noun),"baʊ
the movement of bending your head or body forward, especially as a way of showing someone respect or expressing thanks to people who have watched you perform."
bow (verb),"baʊ
to bend your head or body forward, especially as a way of showing someone respect or expressing thanks to people who have watched you perform."
bowl (verb),"bəʊl
to roll a ball along a smooth surface during a game of bowls or bowling."
box (verb),"bɒks
to fight someone in the sport of boxing."
boy (exclamation),"bɔɪ
used to express excitement, worry, disappointment, etc. or to emphasize something."
boyfriend (adjective),"ˈbɔɪ.frend
used to refer to a loose, comfortable style of clothing for women that is based on men's clothes."
brain (verb),"breɪn
to hit someone on the head."
branch (verb),"brɑːntʃ
to produce branches."
brand (verb),"brænd
to say that someone or something is a particular bad thing, usually when this is unfair."
brave (verb),"breɪv
to deal with an unpleasant or difficult situation."
brave (noun),"breɪv
a young Native American warrior (= fighting man). This word is usually considered offensive.."
breach (noun),"briːtʃ
an act of breaking a law, promise, agreement, or relationship."
breach (verb),"briːtʃ
to break a law, promise, agreement, or relationship."
break (noun),"breɪk
an interruption."
breakfast (verb),"ˈbrek.fəst
to eat breakfast."
breakthrough (adjective),"ˈbreɪk.θruː
very important in the progress or development of something or someone, because of solving a big problem or making a big improvement."
breathing (noun),"ˈbriː.ðɪŋ
the act or process of taking air into your lungs and releasing it."
brick (verb),"brɪk
to cause a problem in an electronic device so that it cannot be used at all; to develop a problem like this."
bridge (verb),"brɪdʒ
to make the difference or division between two things smaller or less severe."
brief (verb),"briːf
to give someone detailed instructions or information."
bright (noun),"braɪt
A car's brights are its headlights (= the powerful lights at the front) when they are brightest and aimed straight ahead."
broad (noun),"brɔːd
an offensive word for a woman."
broadcast (noun),"ˈbrɔːd.kɑːst
a television or radio programme."
broadcast (adjective),"ˈbrɔːd.kɑːst
A broadcast station is a television station sent out from the ground rather than using satellites.."
broadcaster (noun),"ˈbrɔːdˌkɑː.stər
someone whose job is to speak on radio or television programmes."
broken (verb),"ˈbrəʊ.kən
past participle of break."
brown (verb),"braʊn
to make food brown by cooking it."
buck (noun),"bʌk
a dollar."
buck (verb),"bʌk
(of a horse) to jump into the air and kick out with the back legs."
buddy (noun),"ˈbʌd.i
a friend."
budget (verb),"ˈbʌdʒ.ɪt
to plan how much money you will spend on something."
buffer (noun),"ˈbʌf.ər
something or someone that helps protect from harm."
buffer (verb),"ˈbʌf.ər
to provide protection against harm."
bug (verb),"bʌɡ
to annoy or worry someone."
build (noun),"bɪld
the size and shape of a person's body."
bulk (noun),"bʌlk
something or someone that is very large."
burden (verb),"ˈbɜː.dən
to trouble someone with something difficult or unpleasant."
burden (noun),"ˈbɜː.dən
a heavy load that you carry."
burn (noun),"bɜːn
a place where fire or heat has hurt or damaged something."
burst (noun),"bɜːst
the act of breaking open so that what is inside comes out."
bus (verb),"bʌs
to take people somewhere by bus."
busy (verb),"ˈbɪz.i
to make the time pass by doing something."
but (adverb),"bʌt
used to give force to a statement."
but (noun),"bʌt
used to emphasize that something will happen even if the person you are talking to does not want it to."
butter (verb),"ˈbʌt.ər
to spread butter on something."
button (verb),"ˈbʌt.ən
to fasten something, usually a piece of clothing, using buttons."
buy (noun),"baɪ
to be worth/not be worth the price."
bye (noun),"baɪ
If someone is given a bye, they are allowed to miss out part of a competition and continue to the next stage without having to win anything."
cabinet (noun),"ˈkæb.ɪ.nət
a small group of the most important people in government, who advise the President or Prime Minister and make important decisions."
cable (verb),"ˈkeɪ.bəl
to put cables under the ground in an area so that television or phone signals can be sent along them."
cake (verb),"keɪk
to cover something or someone thickly with a substance that then dries out."
calm (noun),"kɑːm
a quiet or peaceful period or situation."
calm (verb),"kɑːm
to stop someone feeling upset, angry, or excited."
camp (adjective),"kæmp
(of a man) behaving and dressing in a way that some people think is typical of a gay man."
canvas (noun),"ˈkæn.vəs
strong, rough cloth used for making tents, sails, bags, strong clothes, etc.."
capital (adjective),"ˈkæp.ɪ.təl
(of a letter of the alphabet) in the form and larger size that is used at the beginning of sentences and names."
capitalist (noun),"ˈkæp.ɪ.təl.ɪst
someone who supports capitalism (= an economic and political system in which property, business, and industry are controlled by private owners rather than by the state, with the purpose of making a profit)."
captain (verb),"ˈkæp.tɪn
to lead and be the captain of a team, military group, ship, or aircraft."
capture (noun),"ˈkæp.tʃər
that act of taking someone as a prisoner, or taking something into your possession, especially by force."
card (verb),"kɑːd
to ask someone to show you a document, especially an identity card, in order to prove how old they are."
career (verb),"kəˈrɪər
(especially of a vehicle) to move fast and in a way that is out of control."
career (adjective),"kəˈrɪər
having a job or position as part of the career that you are trained for and are normally paid to do, rather than being chosen for it as a member or supporter of a government or political party."
carpet (verb),"ˈkɑː.pɪt
to cover something with carpet."
carry (noun),"ˈkær.i
the act of carrying a gun."
carry (adjective),"ˈkær.i
relating to the carrying of a gun."
case (verb),"keɪs
to look at a place with the intention of stealing from it later."
cash (verb),"kæʃ
to exchange a cheque, etc. for cash."
casino (noun),"kəˈsiː.nəʊ
a building where games, especially roulette and card games are played for money."
castle (verb),"ˈkɑː.səl
in chess, to make a special move that puts your king in a more protected place at the side of the board."
catalogue (verb),"ˈkæt.əl.ɒɡ
to record something, especially in a list."
catch (noun),"kætʃ
an act of catching a ball or other object that is moving through the air."
caution (verb),"ˈkɔː.ʃən
If the police caution someone, they give them an official warning.."
cave (verb),"keɪv
to agree to something that you would not agree to before, after someone has persuaded you or threatened you."
cease (noun),"siːs
without stopping."
centre (verb),"ˈsen.tər
to put something in the middle of an area."
certain (pronoun),"ˈsɜː.tən
some."
certainty (noun),"ˈsɜː.tən.ti
something that cannot be doubted."
certificate (verb),"səˈtɪf.ɪ.keɪt
to provide an official document as proof that something has happened or been done."
chain (noun),"tʃeɪn
a series of things of the same type connected in a line, or a series of people standing in a line."
chain (verb),"tʃeɪn
to fasten someone or something using a chain."
chair (verb),"tʃeər
to be the person in charge of a meeting, etc.."
chairman (noun),"ˈtʃeə.mən
a person in charge of a meeting or organization."
challenge (verb),"ˈtʃæl.ɪndʒ
to invite someone to compete or take part, especially in a game or argument."
chamber (noun),"ˈtʃeɪm.bər
a room used for a special or official purpose, or a group of people who form (part of) a parliament."
champion (adjective),"ˈtʃæm.pi.ən
excellent."
champion (verb),"ˈtʃæm.pi.ən
to support, defend, or fight for a person, belief, right, or principle enthusiastically."
chance (verb),"tʃɑːns
to risk something."
chance (adjective),"tʃɑːns
happening in a way that is not planned or does not have any known cause or reason."
characterize (verb),"ˈkær.ək.tə.raɪz
Something that characterizes another thing is typical of it."
charity (noun),"ˈtʃær.ə.ti
an organization whose purpose is to give money, food, or help to those who need it, or to carry out activities such as medical research that will help people in need, and not to make a profit."
chart (verb),"tʃɑːt
to show something on a chart."
charter (noun),"ˈtʃɑː.tər
a formal statement of the rights of a country's people, or of an organization or a particular social group, that is agreed by or demanded from a ruler or government."
charter (verb),"ˈtʃɑː.tər
to rent a vehicle, especially an aircraft, for a special use and not as part of a regular service."
chase (noun),"tʃeɪs
the act of going after someone or something very quickly in order to catch him, her, or it."
cheap (adverb),"tʃiːp
for little money or for less than is usual."
cheat (noun),"tʃiːt
a person who behaves in a dishonest way."
check (exclamation),"tʃek
used to say yes to someone who is making certain that all the things on a list have been dealt with or included."
cheek (verb),"tʃiːk
to be rude to someone."
chemistry (noun),"ˈkem.ɪ.stri
the scientific study of the basic characteristics of substances and the ways in which they react or combine."
chicken (adjective),"ˈtʃɪk.ɪn
not brave."
chip (verb),"tʃɪp
to break a small piece off something by accident."
chocolate (adjective),"ˈtʃɒk.lət
made of or relating to chocolate."
choice (adjective),"tʃɔɪs
of high quality."
chop (noun),"tʃɒp
a small piece of meat with a bone still in it."
chunk (noun),"tʃʌŋk
a roughly cut piece."
circuit (verb),"ˈsɜː.kɪt
to travel around something in a route shaped approximately like a circle."
circulate (verb),"ˈsɜː.kjə.leɪt
to go around or through something, or to make something go around or through something."
circulation (noun),"ˌsɜː.kjəˈleɪ.ʃən
the process in which something such as information, money, or goods passes from one person to another."
cite (verb),"saɪt
to mention something as proof for a theory or as a reason why something has happened."
citizenship (noun),"ˈsɪt.ɪ.zən.ʃɪp
the state of being a member of a particular country and having rights because of it."
civic (adjective),"ˈsɪv.ɪk
of a town or city or the people who live in it."
class (adjective),"klɑːs
very good."
clause (noun),"klɔːz
a particular part of a written legal document, for example a law passed by Parliament or a contract (= an agreement)."
clean (adverb),"kliːn
completely."
clean (noun),"kliːn
when something is cleaned."
cleaning (noun),"ˈkliː.nɪŋ
the activity of removing the dirt from things and places, especially in a house."
clear (adverb),"klɪər
not touching, or away from."
clerk (noun),"klɑːk
a person who works in an office, dealing with records or performing general office duties."
clerk (verb),"klɑːk
to work as a clerk."
click (noun),"klɪk
a short, sharp sound."
climate (adjective),"ˈklaɪ.mət
relating to climate change."
climb (noun),"klaɪm
an act or process of climbing."
clip (noun),"klɪp
a small object usually made of metal or plastic, used for fastening things together or holding them in position."
clip (verb),"klɪp
to cut something with scissors or a similar sharp tool, especially to make it tidier."
clock (verb),"klɒk
to take a particular time exactly to do or complete something."
close (noun),"kləʊz
the end of something, or the time when you end it."
cloud (verb),"klaʊd
If something transparent clouds, or if something clouds it, it becomes difficult to see through.."
club (verb),"klʌb
to beat a person or an animal, usually repeatedly, with a heavy stick or object."
clue (verb),"kluː
to write or create clues for something such as a crossword (= a game in which you have to write words in a pattern of black and white squares) or other game."
cluster (noun),"ˈklʌs.tər
a group of similar things that are close together, sometimes surrounding something."
cluster (verb),"ˈklʌs.tər
(of a group of similar things or people) to form a group, sometimes by surrounding something, or to make something do this."
coach (noun),"kəʊtʃ
the cheapest type of seats on a plane or train."
coalition (noun),"kəʊ.əˈlɪʃ.ən
the joining together of different political parties or groups for a particular purpose, usually for a limited time, or a government that is formed in this way."
coast (verb),"kəʊst
to move forward in a vehicle without using the engine, usually down a hill."
coat (verb),"kəʊt
to cover something with a layer of a particular substance."
cocktail (noun),"ˈkɒk.teɪl
a drink, usually an alcoholic one, made by mixing two or more drinks together."
code (verb),"kəʊd
to represent a message in code so that it can only be understood by the person who is meant to receive it."
cognitive (adjective),"ˈkɒɡ.nə.tɪv
connected with thinking or conscious mental processes."
collect (adjective),"kəˈlekt
When you call collect or make a collect phone call, the person you call pays for the call."
collect (noun),"kəˈlekt
a short prayer that is said during some Christian religious ceremonies."
collective (noun),"kəˈlek.tɪv
an organization or business that is owned and controlled by the people who work in it."
collective (adjective),"kəˈlek.tɪv
of or shared by every member of a group of people."
college (noun),"ˈkɒl.ɪdʒ
a university where you can study for an undergraduate (= first) degree."
collision (noun),"kəˈlɪʒ.ən
an accident that happens when two vehicles hit each other with force."
colonial (adjective),"kəˈləʊ.ni.əl
relating to a colony or colonialism."
colonial (noun),"kəˈləʊ.ni.əl
a person from another country who lives in a colony, especially as part of its system of government."
colony (noun),"ˈkɒl.ə.ni
a country or area controlled politically by a more powerful country that is often far away."
colour (adjective),"ˈkʌl.ər
Colour television, photography, or printing shows things in all their colours, not just in black and white.."
coloured (noun),"ˈkʌl.əd
a word for a person who has black or brown skin, which was used officially in some countries in the past, but is now extremely offensive."
coloured (adjective),"ˈkʌl.əd
having or producing a colour or colours."
columnist (noun),"ˈkɒl.əm.nɪst
someone who writes a regular article for a newspaper or magazine."
combine (noun),"ˈkɒm.baɪn
a group of people or organizations acting together in business."
come (noun),"kʌm

semen  (= the liquid containing sperm)."
command (verb),"kəˈmɑːnd
to give someone an order."
commentary (noun),"ˈkɒm.ən.tər.i
a spoken description of an event on the radio or television that is broadcast as the event happens."
commentator (noun),"ˈkɒm.ən.teɪ.tər
a reporter for radio or television who provides a spoken description of and remarks on an event, especially a sports competition, as it happens."
commission (verb),"kəˈmɪʃ.ən
to formally choose someone to do a special piece of work, or to formally ask for a special piece of work from someone."
commission (noun),"kəˈmɪʃ.ən
a group of people who have been formally chosen to discover information about a problem or examine the reasons why the problem exists."
commissioner (noun),"kəˈmɪʃ.ən.ər
an important official who has responsibility in a government department or another organization."
commitment (noun),"kəˈmɪt.mənt
a promise or firm decision to do something."
common (noun),"ˈkɒm.ən
an area of grass that everyone is allowed to use, usually in or near a village."
