word,answer
feat (noun),"fiːt
something difficult needing a lot of skill, strength, courage, etc. to achieve it."
filter (verb),"ˈfɪl.tər
to appear or happen gradually or to a limited degree."
filter (noun),"ˈfɪl.tər
any of several types of equipment or devices for removing solids from liquids or gases, or for removing particular types of light."
flawed (adjective),"flɔːd
not perfect, or containing mistakes."
flesh (noun),"fleʃ
the soft part of the body of a person or animal that is between the skin and the bones, or the soft inside part of a fruit or vegetable."
flourish (verb),"ˈflʌr.ɪʃ
to grow or develop successfully."
fluid (noun),"ˈfluː.ɪd
a substance that flows and is not solid."
fluid (adjective),"ˈfluː.ɪd
smooth and continuous."
formation (noun),"fɔːˈmeɪ.ʃən
the way something is naturally made or the way it has been arranged."
formulate (verb),"ˈfɔː.mjə.leɪt
to develop all the details of a plan for doing something."
founder (noun),"ˈfaʊn.dər
someone who establishes an organization."
fraction (noun),"ˈfræk.ʃən
a number that results from dividing one whole number by another."
fragile (adjective),"ˈfrædʒ.aɪl
A fragile object is easily damaged or broken."
fraud (noun),"frɔːd
the crime of getting money by deceiving people."
fundamental (adjective),"ˌfʌn.dəˈmen.təl
forming the base, from which everything else develops."
fundamentally (adverb),"ˌfʌn.dəˈmen.təl.i
in a basic and important way."
further (verb),"ˈfɜː.ðər
to develop or make progress in something."
gaze (noun),"ɡeɪz
a long look, usually of a particular kind."
gesture (verb),"ˈdʒes.tʃər
to use a gesture to express or emphasize something."
grace (verb),"ɡreɪs
to be in a place, on a thing etc. and make it look more attractive."
grain (noun),"ɡreɪn
a seed or seeds from a plant, especially a plant like a grass such as rice or wheat."
grasp (noun),"ɡrɑːsp
the act of holding onto someone or something."
grin (noun),"ɡrɪn
a wide smile."
grin (verb),"ɡrɪn
to smile a wide smile."
hail (noun),"heɪl
small, hard balls of ice that fall from the sky like rain."
hail (verb),"heɪl
to call someone in order to attract their attention."
handy (adjective),"ˈhæn.di
useful or convenient."
harmony (noun),"ˈhɑː.mə.ni
a pleasant musical sound made by different notes being played or sung at the same time."
heritage (noun),"ˈher.ɪ.tɪdʒ
features belonging to the culture of a particular society, such as traditions, languages, or buildings, that were created in the past and still have historical importance."
hierarchy (noun),"ˈhaɪə.rɑː.ki
a system in which people or things are arranged according to their importance."
high-profile (adjective),"ˌhaɪˈprəʊ.faɪl
attracting a lot of attention and interest from the public and newspapers, television, etc.."
hollow (adjective),"ˈhɒl.əʊ
having a hole or empty space inside."
horizon (noun),"həˈraɪ.zən
the line at the farthest place that you can see, where the sky seems to touch the land or sea."
hostage (noun),"ˈhɒs.tɪdʒ
someone who is taken as a prisoner by an enemy in order to force the other people involved to do what the enemy wants."
hostility (noun),"hɒsˈtɪl.ə.ti
an occasion when someone is unfriendly or shows that they do not like something."
house (verb),"haʊz
to give a person or animal a place to live, or to provide space for something."
humanitarian (adjective),"hjuːˌmæn.ɪˈteə.ri.ən
(a person who is) involved in or connected with improving people's lives and reducing suffering."
humble (adjective),"ˈhʌm.bəl
not proud or not believing that you are important."
hypothesis (noun),"haɪˈpɒθ.ə.sɪs
an idea or explanation for something that is based on known facts but has not yet been proved."
ignorance (noun),"ˈɪɡ.nər.əns
lack of knowledge, understanding, or information about something."
illusion (noun),"ɪˈluː.ʒən
an idea or belief that is not true."
image (noun),"ˈɪm.ɪdʒ
a picture in your mind or an idea of how someone or something is."
imminent (adjective),"ˈɪm.ɪ.nənt
coming or likely to happen very soon."
impact (noun),"ˈɪm.pækt
the force or action of one object hitting another."
implementation (noun),"ˌɪm.plɪ.menˈteɪ.ʃən
the act of starting to use a plan or system."
implication (noun),"ˌɪm.plɪˈkeɪ.ʃən
an occasion when you seem to suggest something without saying it directly."
imply (verb),"ɪmˈplaɪ
to communicate an idea or feeling without saying it directly."
imprisonment (noun),"ɪmˈprɪz.ən.mənt
the act of putting someone in prison or the condition of being kept in prison."
incentive (noun),"ɪnˈsen.tɪv
something that encourages a person to do something."
inclined (adjective),"ɪnˈklaɪnd
likely or wanting to do something."
incorporate (verb),"ɪnˈkɔː.pər.eɪt
to include something as part of something larger."
incur (verb),"ɪnˈkɜːr
to experience something, usually something unpleasant, as a result of actions you have taken."
indicator (noun),"ˈɪn.dɪ.keɪ.tər
something that shows what a situation is like."
indirect (adjective),"ˌɪn.daɪˈrekt
happening in addition to an intended result, often in a way that is complicated or not obvious."
indulge (verb),"ɪnˈdʌldʒ
to allow yourself or another person to have something enjoyable, especially more than is good for you."
inequality (noun),"ˌɪn.ɪˈkwɒl.ə.ti
the unfair situation in society when some people have more opportunities, money, etc. than other people."
infant (noun),"ˈɪn.fənt
a baby or a very young child."
infer (verb),"ɪnˈfɜːr
to form an opinion or guess that something is true because of the information that you have."
inherent (adjective),"ɪnˈher.ənt
existing as a natural or basic part of something."
inherit (verb),"ɪnˈher.ɪt
to receive money, a house, etc. from someone after they have died."
initiate (verb),"ɪˈnɪʃ.i.eɪt
to cause something to begin."
injection (noun),"ɪnˈdʒek.ʃən
the act of putting a liquid, especially a drug, into a person's body using a needle and a syringe (= small tube)."
instinct (noun),"ˈɪn.stɪŋkt
the way people or animals naturally react or behave, without having to think or learn about it."
instruction (noun),"ɪnˈstrʌk.ʃən
something that someone tells you to do."
intact (adjective),"ɪnˈtækt
complete and in the original state."
integrity (noun),"ɪnˈteɡ.rə.ti
the quality of being honest and having strong moral principles that you refuse to change."
intellectual (noun),"ˌɪn.təlˈek.tʃu.əl
a very educated person who is interested in complicated ideas and enjoys studying and careful thinking."
intensify (verb),"ɪnˈten.sɪ.faɪ
to become greater, more serious, or more extreme, or to make something do this."
intensity (noun),"ɪnˈten.sə.ti
the quality of being felt strongly or having a very strong effect."
intent (noun),"ɪnˈtent
the fact that you want and plan to do something."
interim (adjective),"ˈɪn.tər.ɪm
temporary and intended to be used or accepted until something permanent exists."
interpretation (noun),"ɪnˌtɜː.prəˈteɪ.ʃən
an explanation or opinion of what something means."
interval (noun),"ˈɪn.tə.vəl
a period between two events or times."
intervene (verb),"ˌɪn.təˈviːn
to intentionally become involved in a difficult situation in order to improve it or prevent it from getting worse."
intervention (noun),"ˌɪn.təˈven.ʃən
the action of becoming intentionally involved in a difficult situation, in order to improve it or prevent it from getting worse."
intimate (adjective),"ˈɪn.tɪ.mət
having, or being likely to cause, a very close friendship or personal or sexual relationship."
intriguing (adjective),"ɪnˈtriː.ɡɪŋ
very interesting because of being unusual or mysterious."
ironic (adjective),"aɪˈrɒn.ɪk
interesting, strange, or funny because of being very different from what you would usually expect."
ironically (adverb),"aɪˈrɒn.ɪ.kəl.i
in a way that is interesting, strange, or funny because of being very different from what you would expect."
irony (noun),"ˈaɪ.rə.ni
a situation in which something which was intended to have a particular result has the opposite or a very different result."
issue (verb),"ˈɪʃ.uː
to produce or provide something official."
joint (noun),"dʒɔɪnt
a place in your body where two bones are connected."
just (adjective),"dʒʌst
fair; morally correct."
justification (noun),"ˌdʒʌs.tɪ.fɪˈkeɪ.ʃən
a good reason or explanation for something."
kidney (noun),"ˈkɪd.ni
either of a pair of small organs in the body that take away waste matter from the blood to produce urine."
late (adjective),"leɪt
used to refer to someone who has died."
lawsuit (noun),"ˈlɔː.suːt
a problem taken to a law court by an ordinary person or an organization rather than the police in order to obtain a legal decision."
leap (noun),"liːp
a big change, increase, or improvement."
leap (verb),"liːp
to make a large jump or sudden movement, usually from one place to another."
leave (noun),"liːv
time allowed away from work for a holiday or illness."
lecture (verb),"ˈlek.tʃər
to give a formal talk to a group of people, often at a college or university."
legacy (noun),"ˈleɡ.ə.si
money or property that you receive from someone after they die."
legislation (noun),"ˌledʒ.ɪˈsleɪ.ʃən
a law or set of laws suggested by a government and made official by a parliament."
legitimate (adjective),"ləˈdʒɪt.ə.mət
allowed by law."
lethal (adjective),"ˈliː.θəl
able to cause or causing death; extremely dangerous."
lifelong (adjective),"ˈlaɪf.lɒŋ
lasting for the whole of a person's life."
likelihood (noun),"ˈlaɪ.kli.hʊd
the chance that something will happen."
likewise (adverb),"ˈlaɪk.waɪz
in the same way."
line (verb),"laɪn
to form a row along the side of something."
linger (verb),"ˈlɪŋ.ɡər
to take a long time to leave or disappear."
lobby (verb),"ˈlɒb.i
to try to persuade a politician, the government, or an official group that a particular thing should or should not happen, or that a law should be changed."
local (noun),"ˈləʊ.kəl
a person who lives in the particular small area that you are talking about."
long (verb),"lɒŋ
to want something very much."
loom (verb),"luːm
to appear as a large, often frightening or unclear shape or object."
mainstream (adjective),"ˈmeɪn.striːm
considered normal, and having or using ideas, beliefs, etc. that are accepted by most people."
march (verb),"mɑːtʃ
to walk somewhere quickly and in a determined way, often because you are angry."
margin (noun),"ˈmɑː.dʒɪn
the amount by which one thing is different from another."
marginal (adjective),"ˈmɑː.dʒɪ.nəl
very small in amount or effect."
massacre (noun),"ˈmæs.ə.kər
an act of killing a lot of people."
maximize (verb),"ˈmæk.sɪ.maɪz
to make something as great in amount, size, or importance as possible."
measurement (noun),"ˈmeʒ.ə.mənt
the act or process of measuring."
medication (noun),"ˌmed.ɪˈkeɪ.ʃən
a medicine, or a set of medicines or drugs, used to improve a particular condition or illness."
medium (noun),"ˈmiː.di.əm
a method or way of expressing something."
melody (noun),"ˈmel.ə.di
a tune, often forming part of a larger piece of music."
memorial (noun),"məˈmɔː.ri.əl
an object, often large and made of stone, that has been built to honour a famous person or event."
mercy (noun),"ˈmɜː.si
kindness that makes you forgive someone, usually someone that you have authority over."
merge (verb),"mɜːdʒ
to combine or join together, or to cause things to do this."
merger (noun),"ˈmɜː.dʒər
an occasion when two or more companies or organizations join together to make one larger company."
merit (verb),"ˈmer.ɪt
If something merits a particular treatment, it deserves or is considered important enough to be treated in that way."
metaphor (noun),"ˈmet.ə.fɔːr
an expression, often found in literature, that describes a person or object by referring to something that is considered to have similar characteristics to that person or object."
missile (noun),"ˈmɪs.aɪl
a flying weapon that has its own engine so that it can travel a long distance before exploding at the place that it has been aimed at."
mission (noun),"ˈmɪʃ.ən
an important job, especially a military one, that someone is sent somewhere to do."
model (noun),"ˈmɒd.əl
something that a copy can be based on because it is an extremely good example of its type."
moderate (verb),"ˈmɒd.ər.eɪt
to (cause to) become less in size, strength, or force; to reduce something."
momentum (noun),"məˈmen.təm
the force that keeps an object moving."
monopoly (noun),"məˈnɒp.əl.i
(an organization or group that has) complete control of something, especially an area of business, so that others have no share."
motion (noun),"ˈməʊ.ʃən
the act or process of moving, or a particular action or movement."
mount (verb),"maʊnt
to gradually increase, rise, or get bigger."
move (noun),"muːv
an act of moving."
narrative (noun),"ˈnær.ə.tɪv
a story or a description of a series of events."
naval (adjective),"ˈneɪ.vəl
belonging to a country's navy, or relating to military ships."
nerve (noun),"nɜːv
a group of long, thin fibres (= structures like threads) that carry information or instructions between the brain and other parts of the body."
nest (verb),"nest
to build a nest, or live in a nest."
nest (noun),"nest
a structure built by birds or insects to leave their eggs in to develop, and by some other animals to give birth or live in."
nurse (verb),"nɜːs
to care for a person or an animal while they are ill."
observer (noun),"əbˈzɜː.vər
a person who watches what happens but has no active part in it."
off (adjective),"ɒf
(of an arranged event) stopped or given up."
official (adjective),"əˈfɪʃ.əl
relating to a position of responsibility."
official (noun),"əˈfɪʃ.əl
a person who has a position of responsibility in an organization."
offspring (noun),"ˈɒf.sprɪŋ
the young of an animal."
ongoing (adjective),"ˈɒŋˌɡəʊ.ɪŋ
continuing to exist or develop, or happening at the present moment."
only (conjunction),"ˈəʊn.li
used to show what is the single or main reason why something mentioned in the first part of the sentence cannot be performed or is not completely true."
opening (noun),"ˈəʊ.pən.ɪŋ
a hole or space that something or someone can pass through."
optimism (noun),"ˈɒp.tɪ.mɪ.zəm
the quality of being full of hope and emphasizing the good parts of a situation, or a belief that something good will happen."
orientation (noun),"ˌɔː.ri.enˈteɪ.ʃən
the particular things that a person prefers, believes, thinks, or usually does."
originate (verb),"əˈrɪdʒ.ən.eɪt
to come from a particular place, time, situation, etc.."
outbreak (noun),"ˈaʊt.breɪk
a time when something suddenly begins, especially a disease or something else dangerous or unpleasant."
outline (noun),"ˈaʊt.laɪn
the main shape or edge of something, without any details."
output (noun),"ˈaʊt.pʊt
an amount of something produced by a person, machine, factory, country, etc.."
palm (noun),"pɑːm
the inside part of your hand from your wrist to the base of your fingers."
parallel (noun),"ˈpær.ə.lel
something very similar to something else, or a similarity between two things."
part (verb),"pɑːt
to separate or cause something or someone to separate."
patch (noun),"pætʃ
a small area that is different in some way from the area that surrounds it."
peer (verb),"pɪər
to look carefully or with difficulty."
perception (noun),"pəˈsep.ʃən
a belief or opinion, often held by many people and based on how things seem."
perfect (verb),"pəˈfekt
to make something free from faults."
persist (verb),"pəˈsɪst
If an unpleasant feeling or situation persists, it continues to exist."
philosophical (adjective),"ˌfɪl.əˈsɒf.ɪ.kəl
relating to the study or writing of philosophy."
pioneer (noun),"ˌpaɪəˈnɪər
a person who is one of the first people to do something."
pit (noun),"pɪt
a large hole in the ground, or a slightly low area in any surface."
pity (verb),"ˈpɪt.i
to feel sadness or sympathy for someone's unhappiness or bad situation."
plea (noun),"pliː
an urgent and emotional request."
plead (verb),"pliːd
to make an urgent, emotional statement or request for something."
plunge (verb),"plʌndʒ
to (cause someone or something to) move or fall suddenly and often a long way forward, down, or into something."
pole (noun),"pəʊl
a long, thin stick of wood or metal, often used standing straight up in the ground to support things."
portray (verb),"pɔːˈtreɪ
to represent or describe someone or something in a painting, film, book, or other artistic work."
possession (noun),"pəˈzeʃ.ən
the fact that you have or own something."
practitioner (noun),"prækˈtɪʃ.ən.ər
someone involved in a skilled job or activity."
