word,answer
around (preposition),"əˈraʊnd
in a position or direction surrounding, or in a direction going along the edge of or from one part to another (of)."
arrive (verb),"əˈraɪv
to reach a place, especially at the end of a journey."
art (noun),"ɑːt
the making of objects, images, music, etc. that are beautiful or that express feelings."
artist (noun),"ˈɑː.tɪst
someone who paints, draws, or makes sculptures."
as (adverb),"æz
used in comparisons to refer to the degree of something."
as (conjunction),"æz
because."
attractive (adjective),"əˈtræk.tɪv
very pleasing in appearance or sound."
aunt (noun),"ɑːnt
the sister of someone's father or mother, or the wife of someone's uncle or aunt."
autumn (noun),"ˈɔː.təm
the season of the year between summer and winter, lasting from September to November north of the equator and from March to May south of the equator, when fruits and crops become ready to eat and are picked, and leaves fall."
available (adjective),"əˈveɪ.lə.bəl
able to be bought or used."
away (adverb),"əˈweɪ
somewhere else, or to or in a different place, position, or situation."
awful (adjective),"ˈɔː.fəl
extremely bad or unpleasant."
back (noun),"bæk
the inside or outside part of an object, vehicle, building, etc. that is furthest from the front."
badly (adverb),"ˈbæd.li
in a severe and harmful way."
bake (verb),"beɪk
to cook inside an oven, without using added liquid or fat."
balloon (noun),"bəˈluːn
a small, thin rubber bag that you blow air into or fill with a light gas until it is round in shape, used for decoration, as a children's toy, or for other purposes such as medical treatment or scientific research ."
battery (noun),"ˈbæt.ər.i
a device that produces electricity to provide power for radios, cars, etc.."
be (auxiliary verb),"biː
used with the present participle of other verbs to describe actions that are or were still continuing."
bear (noun),"beər
a large, strong wild mammal with a thick fur coat that lives especially in colder parts of Europe, Asia, and North America."
become (verb),"bɪˈkʌm
to start to be."
beginning (noun),"bɪˈɡɪn.ɪŋ
the first part of something or the start of something."
believe (verb),"bɪˈliːv
to think that something is true, correct, or real."
belt (noun),"belt
a strip of leather or material worn around the waist to support clothes or for decoration."
beside (preposition),"bɪˈsaɪd
at the side of, next to."
better (adverb),"ˈbet.ər
in a more suitable, pleasing, or satisfactory way, or to a greater degree."
bicycle (noun),"ˈbaɪ.sɪ.kəl
a two-wheeled vehicle that you sit on and move by turning the two pedals (= flat parts you press with your feet)."
bill (noun),"bɪl
a request for payment of money owed, or the piece of paper on which it is written."
biology (noun),"baɪˈɒl.ə.dʒi
the scientific study of the natural processes of living things."
birth (noun),"bɜːθ
the time when a baby or young animal comes out of its mother's body."
bit (noun),"bɪt
a small piece or amount of something."
black (noun),"blæk
the colour of coal or of the sky on a very dark night."
blanket (noun),"ˈblæŋ.kɪt
a flat cover made of wool or similar warm material, usually used on a bed."
block (noun),"blɒk
the distance along a street from where one road crosses it to the place where the next road crosses it, or one part of a street like this, especially in a town or city."
blonde (adjective),"blɒnd
with pale yellow or gold hair."
blood (noun),"blʌd
the red liquid that is sent around the body by the heart, and carries oxygen and important substances to organs and tissue, and removes waste products."
blue (noun),"bluː
the colour of the sky without clouds on a bright day, or a darker or lighter type of this."
boil (verb),"bɔɪl
to reach, or cause something to reach, the temperature at which a liquid starts to turn into a gas."
book (verb),"bʊk
to arrange to have a seat, room, performer, etc. at a particular time in the future."
born (verb),"bɔːn
to come out of a mother's body, and start to exist."
borrow (verb),"ˈbɒr.əʊ
to get or receive something from someone with the intention of giving it back after a period of time."
boss (noun),"bɒs
the person who is in charge of an organization and who tells others what to do."
bottle (noun),"ˈbɒt.əl
a container for liquids, usually made of glass or plastic, with a narrow neck."
bowl (noun),"bəʊl
a round container that is open at the top and is deep enough to hold fruit, sugar, etc.."
boyfriend (noun),"ˈbɔɪ.frend
a man or boy that a person is having a romantic or sexual relationship with."
brain (noun),"breɪn
the organ inside the head that controls thought, memory, feelings, and activity."
break (verb),"breɪk
to (cause something to) separate suddenly or violently into two or more pieces, or to (cause something to) stop working by being damaged."
bridge (noun),"brɪdʒ
a structure that is built over a river, road, or railway to allow people and vehicles to cross from one side to the other."
bring (verb),"brɪŋ
to take or carry someone or something to a place or a person, or in the direction of the person speaking."
broken (adjective),"ˈbrəʊ.kən
damaged, no longer able to work."
brush (noun),"brʌʃ
an object with short pieces of stiff hair, plastic, or wire attached to a base or handle, used for cleaning, arranging your hair, or painting."
build (verb),"bɪld
to make something by putting bricks or other materials together."
building (noun),"ˈbɪl.dɪŋ
a structure with walls and a roof, such as a house or factory."
businessman (noun),"ˈbɪz.nɪs.mən
a man who works in business, especially one who has a high position in a company."
busy (adjective),"ˈbɪz.i
If you are busy, you are working hard, or giving your attention to a particular thing."
by (preposition),"baɪ
used to show the person or thing that does something."
call (noun),"kɔːl
the act of using the phone."
camp (verb),"kæmp
to put up a tent and stay in it for a short while, for example while on holiday."
camping (noun),"ˈkæm.pɪŋ
the activity of staying in a tent on holiday."
cap (noun),"kæp
a soft flat hat that has a curved part sticking out at the front, often worn as part of a uniform."
capital (noun),"ˈkæp.ɪ.təl
a city that is the centre of government of a country or smaller political area."
careful (adjective),"ˈkeə.fəl
giving a lot of attention to what you are doing so that you do not have an accident, make a mistake, or damage something."
carefully (adverb),"ˈkeə.fəl.i
with great attention."
carpet (noun),"ˈkɑː.pɪt
(a shaped piece of) thick material used for covering floors."
carrot (noun),"ˈkær.ət
a long pointed orange root eaten as a vegetable."
cartoon (noun),"kɑːˈtuːn
a drawing, especially in a newspaper or magazine, that tells a joke or makes a humorous political criticism."
cash (noun),"kæʃ
money in the form of notes and coins, rather than cheques or credit cards."
castle (noun),"ˈkɑː.səl
a large strong building, built in the past by a ruler or important person to protect the people inside from attack."
ceiling (noun),"ˈsiː.lɪŋ
the inside surface of a room that you can see when you look above you."
cent (noun),"sent
a unit of money worth 0.01 of a dollar, or a coin with this value."
centre (noun),"ˈsen.tər
the middle point or part."
century (noun),"ˈsen.tʃər.i
a period of 100 years."
certainly (adverb),"ˈsɜː.tən.li
used to reply completely or to emphasize something and show that there is no doubt about it."
change (noun),"tʃeɪndʒ
the act of becoming different, or the result of something becoming different."
channel (noun),"ˈtʃæn.əl
a television or radio station (= an organization that broadcasts television or radio programmes)."
chat (verb),"tʃæt
to talk to someone in a friendly informal way."
chat (noun),"tʃæt
a friendly, informal conversation."
check (verb),"tʃek
to make certain that something or someone is correct, safe, or suitable by examining it, him, or her quickly."
chef (noun),"ʃef
a skilled and trained cook who works in a hotel or restaurant, especially the most important cook."
chicken (noun),"ˈtʃɪk.ɪn
a type of bird kept on a farm for its eggs or its meat, or the meat of this bird that is cooked and eaten."
church (noun),"tʃɜːtʃ
a building for Christian religious activities."
cigarette (noun),"ˌsɪɡ.ərˈet
a small paper tube filled with cut pieces of tobacco that people smoke."
cinema (noun),"ˈsɪn.ə.mɑː
a theatre where people pay to watch films."
circle (noun),"ˈsɜː.kəl
a continuous curved line, the points of which are always the same distance away from a fixed central point, or the area inside such a line."
clear (adjective),"klɪər
easy to understand, hear, read, or see."
clearly (adverb),"ˈklɪə.li
in a way that is easy to see, hear, read, or understand."
click (verb),"klɪk
to carry out a computer operation by pressing a button on the mouse or keyboard."
cloud (noun),"klaʊd
a grey or white mass in the sky, made up of very small floating drops of water."
club (noun),"klʌb
an organization of people with a common purpose or interest, who meet regularly and take part in shared activities."
cold (noun),"kəʊld
a common infection, especially in the nose and throat, that causes you to cough and sneeze and your nose to run (= drip liquid) or feel blocked."
colleague (noun),"ˈkɒl.iːɡ
one of a group of people who work together."
collect (verb),"kəˈlekt
to get and keep things of one type such as stamps or coins as a hobby."
comfortable (adjective),"ˈkʌm.fə.tə.bəl
Comfortable furniture and clothes provide a pleasant feeling and do not give you any physical problems."
comic (noun),"ˈkɒm.ɪk
a magazine or book that contains a set of stories told in pictures with a small amount of writing."
company (noun),"ˈkʌm.pə.ni
an organization that sells goods or services in order to make money."
comparative (noun),"kəmˈpær.ə.tɪv
the form of an adjective or adverb that expresses a difference in amount, number, degree, or quality."
complete (verb),"kəmˈpliːt
to make whole or perfect."
concert (noun),"ˈkɒn.sət
a performance of music by one or more musicians or singers."
contact (verb),"ˈkɒn.tækt
to communicate with someone by calling or sending them a letter, email, etc.."
cook (noun),"kʊk
someone who prepares and cooks food."
cooker (noun),"ˈkʊk.ər
a large box-shaped device that is used to cook and heat food, either by putting the food inside or by putting it on the top."
cooking (noun),"ˈkʊk.ɪŋ
the activity of preparing or cooking food."
cool (exclamation),"kuːl
used for saying that you think something is good or acceptable, or that you have understood what you have been told."
copy (verb),"ˈkɒp.i
to produce something so that it is the same as an original piece of work."
corner (noun),"ˈkɔː.nər
the point, area, or line that is formed by the meeting of two lines, surfaces, roads, etc.."
correct (adjective),"kəˈrekt
in agreement with the true facts or with what is generally accepted."
cost (noun),"kɒst
the amount of money needed to buy, do, or make something."
cost (verb),"kɒst
If something costs an amount of money, you must pay that amount to buy or do it."
could (verb),"kʊd
past simple of ""can"", used to talk about what someone or something was able or allowed to do."
countryside (noun),"ˈkʌn.tri.saɪd
land not in towns, cities, or industrial areas, that is either used for farming or left in its natural condition."
cousin (noun),"ˈkʌz.ən
a child of a person's aunt or uncle, or, more generally, a distant (= not close) relation."
cover (verb),"ˈkʌv.ər
to put or spread something over something, or to lie on the surface of something."
crazy (adjective),"ˈkreɪ.zi
stupid or not reasonable."
cream (noun),"kriːm
the thick, yellowish-white liquid that forms on the top of milk."
cream (adjective),"kriːm
having a yellowish-white colour."
cross (verb),"krɒs
to go across from one side of something to the other."
crowd (noun),"kraʊd
a large group of people who have come together."
crowded (adjective),"ˈkraʊ.dɪd
If a place is crowded, it is full of people."
cry (verb),"kraɪ
to produce tears as the result of a strong emotion, such as unhappiness or pain."
cupboard (noun),"ˈkʌb.əd
a piece of furniture or a space for storing things, with a door or doors and usually with shelves."
curtain (noun),"ˈkɜː.tən
a piece of material, especially cloth, that hangs across a window or opening to make a room or part of a room dark or private."
customer (noun),"ˈkʌs.tə.mər
a person who buys goods or a service."
cut (verb),"kʌt
to break the surface of something, or to divide or make something smaller, using a sharp tool, especially a knife."
daily (adverb),"ˈdeɪ.li
happening on or relating to every day."
dancer (noun),"ˈdɑːn.sər
someone who dances either as a job or for pleasure."
danger (noun),"ˈdeɪn.dʒər
the possibility of harm or death to someone."
dangerous (adjective),"ˈdeɪn.dʒər.əs
A dangerous person, animal, thing, or activity could harm you."
dark (adjective),"dɑːk
with little or no light."
dead (adjective),"ded
not now living."
dear (exclamation),"dɪər
used in expressions of anger, disappointment, sadness, or surprise."
decide (verb),"dɪˈsaɪd
to choose something, especially after thinking carefully about several possibilities."
deep (adverb),"diːp
a long way from the top or surface ."
deep (adjective),"diːp
going or being a long way down from the top or surface, or being of a particular distance from the top to the bottom."
defence (noun),"dɪˈfens
the act of protecting someone or something against attack or criticism ."
delay (verb),"dɪˈleɪ
to make something happen at a later time than originally planned or expected."
delay (noun),"dɪˈleɪ
the situation in which you have to wait longer than expected for something to happen, or the time that you have to wait."
dentist (noun),"ˈden.tɪst
a person whose job is treating people's teeth."
department (noun),"dɪˈpɑːt.mənt
a part of an organization such as a school, business, or government that deals with a particular area of study or work."
describe (verb),"dɪˈskraɪb
to say or write what someone or something is like."
desert (noun),"ˈdez.ət
an area, often covered with sand or rocks, where there is very little rain and not many plants."
difference (noun),"ˈdɪf.ər.əns
the way in which two or more things which you are comparing are not the same."
digital (adjective),"ˈdɪdʒ.ɪ.təl
recording or storing information as a series of the numbers 1 and 0, to show that a signal is present or absent."
dirty (adjective),"ˈdɜː.ti
marked with dirt, mud, etc., or containing something such as pollution or bacteria."
discount (noun),"ˈdɪs.kaʊnt
a reduction in the usual price."
discuss (verb),"dɪˈskʌs
to talk about a subject with someone and tell each other your ideas or opinions."
dish (noun),"dɪʃ
a container, flatter than a bowl and sometimes with a lid, from which food can be served or which can be used for cooking."
document (noun),"ˈdɒk.jə.mənt
a paper or set of papers with written or printed information, especially of an official type."
double (adjective),"ˈdʌb.əl
twice the size, amount, price, etc., or consisting of two similar things together."
down (adverb),"daʊn
in or towards a low or lower position, from a higher one."
down (preposition),"daʊn
in or towards a low or lower position, from a higher one."
download (verb),"ˌdaʊnˈləʊd
to copy or move programs or information into a computer's memory, especially from the internet or a larger computer."
downstairs (adverb),"ˌdaʊnˈsteəz
to or on a lower floor of a building, especially the ground floor."
downtown (adjective),"ˌdaʊnˈtaʊn
in or to the central part of a city."
drawing (noun),"ˈdrɔː.ɪŋ
the act of making a picture with a pencil or pen, or a picture made in this way."
dream (noun),"driːm
a series of events or images that happen in your mind when you are sleeping."
dream (verb),"driːm
to experience events and images in your mind while you are sleeping."
dress (verb),"dres
to put clothes on yourself or someone else, especially a child."
dressed (adjective),"drest
wearing clothes and not naked."
drum (noun),"drʌm
a musical instrument, especially one made from a skin stretched over the end of a hollow tube or bowl, played by hitting with the hand or a stick."
dry (verb),"draɪ
to become dry, or to make something become dry."
dry (adjective),"draɪ
used to describe something that has no water or other liquid in, on, or around it."
during (preposition),"ˈdʒʊə.rɪŋ
from the beginning to the end of a particular period."
earn (verb),"ɜːn
to receive money as payment for work that you do."
easily (adverb),"ˈiː.zəl.i
with no difficulty or effort."
east (noun),"iːst
the direction from which the sun rises in the morning, opposite to the west, or the part of an area or country that is in this direction."
east (adverb),"iːst
towards the east."
east (adjective),"iːst
in or forming the east part of something."
eighty (number),"ˈeɪ.ti
the number 80."
electric (adjective),"iˈlek.trɪk
using electricity for power."
electricity (noun),"ˌel.ɪkˈtrɪs.ə.ti
a form of energy that can be produced in several ways and that provides power to devices that create light, heat, etc.."
elephant (noun),"ˈel.ɪ.fənt
a very large grey mammal that has a trunk (= long nose) with which it can pick things up."
else (adverb),"els
used after words beginning with any-, every-, no-, and some-, or after how, what, where, who, why, but not which, to mean 'other', 'another', 'different', 'extra'."
email (verb),"ˈiː.meɪl
to send an email to someone."
empty (adjective),"ˈemp.ti
not containing any things or people."
end (verb),"end
to finish or stop, or to make something finish or stop."
end (noun),"end
the part of a place or thing that is furthest away from the centre."
engine (noun),"ˈen.dʒɪn
a machine that uses the energy from liquid fuel or steam to produce movement."
engineer (noun),"ˌen.dʒɪˈnɪər
a person whose job is to design or build machines, engines, or electrical equipment, or things such as roads, railways, or bridges, using scientific principles."
enough (determiner),"ɪˈnʌf
as much as is necessary; in the amount or to the degree needed."
enough (adverb),"ɪˈnʌf
used after an adjective, adverb, or verb to mean to the necessary degree."
enter (verb),"ˈen.tər
to come or go into a particular place."
entrance (noun),"ˈen.trəns
a door, gate, etc. by which you can enter a building or place."
envelope (noun),"ˈen.və.ləʊp
a flat, usually square or rectangular, paper container for a letter."
especially (adverb),"ɪˈspeʃ.əl.i
very much; more than usual or more than other people or things."
euro (noun),"ˈjʊə.rəʊ
the unit of money used in most European Union countries."
even (adverb),"ˈiː.vən
used to show that something is surprising, unusual, unexpected, or extreme."
ever (adverb),"ˈev.ər
at any time."
everybody (pronoun),"ˈev.riˌbɒd.i
→ 
everyone ."
everyone (pronoun),"ˈev.ri.wʌn
every person."
everything (pronoun),"ˈev.ri.θɪŋ
all things."
everywhere (adverb),"ˈev.ri.weər
to, at, or in all places or the whole of a place."
exactly (adverb),"ɪɡˈzækt.li
used when you are giving or asking for information that is completely correct."
exam (noun),"ɪɡˈzæm
a test of a student's knowledge or skill in a particular subject ."
excellent (adjective),"ˈek.səl.ənt
extremely good."
except (preposition),"ɪkˈsept
not including; but not."
exercise (noun),"ˈek.sə.saɪz
physical activity that you do to make your body strong and healthy."
exit (noun),"ˈek.sɪt
the door through which you might leave a building or large vehicle."
explain (verb),"ɪkˈspleɪn
to make something clear or easy to understand by describing or giving information about it."
extra (adjective),"ˈek.strə
added to what is normal."
fact (noun),"fækt
something that is known to have happened or to exist, especially something for which proof exists, or about which there is information."
fall (verb),"fɔːl
to suddenly go down onto the ground or towards the ground without intending to or by accident."
fan (noun),"fæn
someone who admires and supports a person, sport, sports team, etc.."
fantastic (adjective),"fænˈtæs.tɪk
extremely good."
far (adverb),"fɑːr
at, to, or from a great distance in space or time."
farmer (noun),"ˈfɑː.mər
someone who owns or takes care of a farm."
fashion (noun),"ˈfæʃ.ən
a style that is popular at a particular time, especially in clothes, hair, make-up, etc.."
fast (adverb),"fɑːst
quickly."
few (determiner),"fjuː
some, or a small number of something."
field (noun),"fiːld
an area of land, used for growing crops or keeping animals, usually surrounded by a fence."
fifth (ordinal number),"fɪfθ
5th written as a word."
fifty (number),"ˈfɪf.ti
the number 50."
file (noun),"faɪl
any of several different types of container used to store papers, letters, and other documents in an ordered way, especially in an office."
fill (verb),"fɪl
to make or become full; to use empty space."
final (adjective),"ˈfaɪ.nəl
last."
finally (adverb),"ˈfaɪ.nəl.i
after a long time or some difficulty."
finger (noun),"ˈfɪŋ.ɡər
any of the long, thin, separate parts of the hand, especially those that are not thumbs."
fire (noun),"faɪər
(material that is in) the state of burning that produces flames that send out heat and light, and might produce smoke."
fishing (noun),"ˈfɪʃ.ɪŋ
the sport or job of catching fish."
fit (adjective),"fɪt
healthy and strong, especially as a result of exercise."
flight (noun),"flaɪt
a journey in an aircraft."
fly (verb),"flaɪ
When a bird, insect, or aircraft flies, it moves through the air."
follow (verb),"ˈfɒl.əʊ
to move behind someone or something and go where he, she, or it goes."
foreign (adjective),"ˈfɒr.ən
belonging or connected to a country that is not your own."
forest (noun),"ˈfɒr.ɪst
a large area of land covered with trees and plants, usually larger than a wood, or the trees and plants themselves."
fork (noun),"fɔːk
a small object with three or four points and a handle, that you use to pick up food and eat with."
form (noun),"fɔːm
a paper or set of papers printed with spaces in which answers to questions can be written or information can be recorded in an organized way."
forty (number),"ˈfɔː.ti
the number 40."
fourth (ordinal number),"fɔːθ
4th written as a word."
free (adjective),"friː
not doing anything planned or important, or available to be used."
fridge (noun),"frɪdʒ
a piece of kitchen equipment that uses electricity to preserve food at a cold temperature."
friendly (adjective),"ˈfrend.li
behaving in a pleasant, kind way towards someone."
front (noun),"frʌnt
the part of a building, object, or person's body that faces forward or is most often seen or used."
full (adjective),"fʊl
(of a container or a space) holding or containing as much as possible or a lot."
fun (adjective),"fʌn
giving pleasure, especially because of being not at all serious."
furniture (noun),"ˈfɜː.nɪ.tʃər
things such as chairs, tables, beds, cupboards, etc. that are put into a house or other building to make it suitable and comfortable for living or working in."
further (adjective),"ˈfɜː.ðər
more or extra."
garage (noun),"ˈɡær.ɑːʒ
a building where a car is kept, built next to or as part of a house."
gate (noun),"ɡeɪt
a part of a fence or outside wall that is fixed at one side and opens and closes like a door, usually made of metal or wooden strips."
geography (noun),"dʒiˈɒɡ.rə.fi
the study of the systems and processes involved in the world's weather, mountains, seas, lakes, etc. and of the ways in which countries and people organize life within an area."
gift (noun),"ɡɪft
a present or something that is given."
girlfriend (noun),"ˈɡɜːl.frend
a woman or girl who a person is having a romantic or sexual relationship with."
glad (adjective),"ɡlæd
pleased and happy."
glove (noun),"ɡlʌv
a piece of clothing that is worn on the hand and wrist for warmth or protection, with separate parts for each finger."
goal (noun),"ɡəʊl
an area on a playing field, that usually has two posts with a net fixed behind them, where players try to send the ball in order to score in sports such as football and hockey."
gold (noun),"ɡəʊld
a chemical element that is a valuable, shiny, yellow metal used to make coins and jewellery."
gold (adjective),"ɡəʊld
made of gold, or the colour of gold."
golden (adjective),"ˈɡəʊl.dən
made of gold."
golf (noun),"ɡɒlf
a game played outside on grass in which each player tries to hit a small ball into a series of nine or 18 small holes, using a long, thin stick."
grandfather (noun),"ˈɡræn.fɑː.ðər
the father of a person's mother or father."
grandmother (noun),"ˈɡræn.mʌð.ər
the mother of a person's father or mother."
grandparent (noun),"ˈɡræn.peə.rənt
the father or mother of a person's father or mother."
great (adjective),"ɡreɪt
large in amount, size, or degree."
green (noun),"ɡriːn
the colour of grass; a colour between blue and yellow."
grey (noun),"ɡreɪ
the colour that is a mixture of black and white, the colour of rain clouds."
grow (verb),"ɡrəʊ
to increase in size or amount, or to become more advanced or developed."
guess (verb),"ɡes
to give an answer to a particular question when you do not have all the facts and so cannot be certain if you are correct."
guest (noun),"ɡest
a person who is staying with you, or a person you have invited to a social occasion, such as a party or a meal."
guy (noun),"ɡaɪ
a man."
half (noun),"hɑːf
either of the two equal or nearly equal parts that together make up a whole."
hall (noun),"hɔːl
the area just inside the main entrance of a house, apartment, or other building that leads to other rooms and usually to the stairs."
happen (verb),"ˈhæp.ən
(of a situation or an event) to have existence or come into existence."
hard (adjective),"hɑːd
not easy to bend, cut, or break."
hate (verb),"heɪt
to dislike someone or something very much."
have (auxiliary verb),"hæv
used with the past participle of other verbs to form the present perfect and past perfect."
have (modal verb),"hæv
to need to or be forced."
have to (auxiliary verb),"hæv
used with the past participle of other verbs to form the present perfect and past perfect."
have to (modal verb),"hæv
to need to or be forced."
headache (noun),"ˈhed.eɪk
a pain you feel inside your head."
health (noun),"helθ
the condition of the body and the degree to which it is free from illness, or the state of being well."
healthy (adjective),"ˈhel.θi
strong and well."
heart (noun),"hɑːt
the organ in your chest that sends the blood around your body."
heating (noun),"ˈhiː.tɪŋ
the system that keeps a building warm."
heavy (adjective),"ˈhev.i
weighing a lot, and needing effort to move or lift."
helicopter (noun),"ˈhel.ɪˌkɒp.tər
a type of aircraft without wings, that has one or two sets of large blades that go round very fast on top. It can land and take off vertically and can stay in one place in the air."
help (noun),"help
the act of helping another person."
help (exclamation),"help
shouted by a person who is asking for someone to come and save them from a dangerous situation."
hers (pronoun),"hɜːz
the one(s) belonging to or connected with a woman, girl, or female animal that has been mentioned or is known about."
herself (pronoun),"hɜːˈself
used to refer to a female object of a verb, that is the same person or animal as the subject of the verb."
hey (exclamation),"heɪ
used as a way of attracting someone's attention, sometimes in a way that is not very polite."
high (adjective),"haɪ
(especially of things that are not living) being a large distance from top to bottom or a long way above the ground, or having the stated distance from top to bottom."
highway (noun),"ˈhaɪ.weɪ
a public road, especially an important road that joins cities or towns together."
hill (noun),"hɪl
an area of land that is higher than the surrounding land."
himself (pronoun),"hɪmˈself
used to refer to a male object of a verb that is the same person or animal as the subject of the verb."
history (noun),"ˈhɪs.tər.i
(the study of or a record of) past events considered together, especially events of a particular period, country, or subject."
hit (verb),"hɪt
to move your hand or an object onto the surface of something so that it touches it, usually with force."
hobby (noun),"ˈhɒb.i
an activity that someone does for pleasure when they are not working."
hockey (noun),"ˈhɒk.i
a game played on a sports field between two teams of eleven players who each have a curved stick with which they try to put a small, hard ball into the other team's goal."
hold (verb),"həʊld
to take and keep something in your hand or arms."
hope (verb),"həʊp
to want something to happen or to be true, and usually have a good reason to think that it might."
horrible (adjective),"ˈhɒr.ə.bəl
very unpleasant or bad."
how (adverb),"haʊ
in what way, or by what methods."
hundred (number),"ˈhʌn.drəd
the number 100."
hurry (verb),"ˈhʌr.i
to move or do things more quickly than normal or to make someone do this."
hurt (verb),"hɜːt
to feel pain in a part of your body, or to injure someone or cause them pain."
ice (noun),"aɪs
water that has frozen and become solid, or pieces of this."
idea (noun),"aɪˈdɪə
a suggestion or plan for doing something."
if (conjunction),"ɪf
used to say that a particular thing can or will happen only after something else happens or becomes true."
ill (adjective),"ɪl
not feeling well, or suffering from a disease."
immediately (adverb),"ɪˈmiː.di.ət.li
now or without waiting or thinking."
improve (verb),"ɪmˈpruːv
to (cause something to) get better."
in (adverb),"ɪn
from outside, or towards the centre."
include (verb),"ɪnˈkluːd
to contain something as a part of something else, or to make something part of something else."
including (preposition),"ɪnˈkluː.dɪŋ
used for saying that a person or thing is part of a particular group or amount."
indoor (adjective),"ˌɪnˈdɔːr
happening, used, or existing inside a building."
information (noun),"ˌɪn.fəˈmeɪ.ʃən
facts about a situation, person, event, etc.."
insect (noun),"ˈɪn.sekt
a type of very small animal with six legs, a body divided into three parts and usually two pairs of wings, or, more generally, any similar very small animal."
instead (adverb),"ɪnˈsted
in place of someone or something else."
instrument (noun),"ˈɪn.strə.mənt
an object, such as a piano, guitar, or drum, that is played to produce musical sounds."
interested (adjective),"ˈɪn.tre.stɪd
wanting to give your attention to something and discover more about it."
international (adjective),"ˌɪn.təˈnæʃ.ən.əl
involving more than one country."
invitation (noun),"ˌɪn.vɪˈteɪ.ʃən
the act of inviting someone to go to an event."
island (noun),"ˈaɪ.lənd
a piece of land completely surrounded by water."
itself (pronoun),"ɪtˈself
used when the subject of the verb is ""it"" and the object is the same thing, animal, situation, or idea."
jam (noun),"dʒæm
a sweet, soft food made by cooking fruit with sugar to preserve it. It is eaten on bread."
jazz (noun),"dʒæz
a type of modern music originally developed by African-Americans, with a rhythm in which the strong notes often come before the beat. Jazz is usually improvised (= invented as it is played).."
jewellery (noun),"ˈdʒuː.əl.ri
decorative objects worn on your clothes or body that are usually made from valuable metals, such as gold and silver, and precious stones."
journey (noun),"ˈdʒɜː.ni
the act of travelling from one place to another, especially in a vehicle."
jump (verb),"dʒʌmp
to push yourself suddenly off the ground and into the air using your legs."
just (adverb),"dʒʌst
now, very soon, or very recently."
keep (verb),"kiːp
to have or continue to have in your possession."
keyboard (noun),"ˈkiː.bɔːd
the set of keys on a computer or typewriter that you press in order to make it work ."
kick (noun),"kɪk
the action of kicking something."
kill (verb),"kɪl
to cause someone or something to die."
kilometre (noun),"ˈkɪl.əˌmiː.tər
a unit of measurement equal to 1,000 metres."
kind (adjective),"kaɪnd
generous, helpful, and thinking about other people's feelings."
