word,answer
accomplishment (noun),"əˈkʌm.plɪʃ.mənt
something that is successful, or that is achieved after a lot of work or effort."
accordance (noun),"əˈkɔː.dəns
following or obeying a rule, law, wish, etc.."
according to (preposition),"əˈkɔː.dɪŋ ˌtuː
as stated by."
accordingly (adverb),"əˈkɔː.dɪŋ.li
in a way that is suitable or right for the situation."
account (verb),"əˈkaʊnt
to think of someone or something in the stated way."
account (noun),"əˈkaʊnt
an arrangement with a bank to keep your money there and to allow you to take it out when you need to."
accountability (noun),"əˌkaʊn.təˈbɪl.ə.ti
the fact of being responsible for what you do and able to give a satisfactory reason for it, or the degree to which this happens."
accountable (adjective),"əˈkaʊn.tə.bəl
Someone who is accountable is completely responsible for what they do and must be able to give a satisfactory reason for it."
accountant (noun),"əˈkaʊn.tənt
someone who keeps or examines the records of money received, paid, and owed by a company or person."
accounting (noun),"əˈkaʊn.tɪŋ
the skill or activity of keeping records of the money a person or organization earns and spends."
accumulate (verb),"əˈkjuː.mjə.leɪt
to collect a large number of things over a long period of time."
accumulation (noun),"əˌkjuː.mjəˈleɪ.ʃən
an amount of something that has been collected."
accuracy (noun),"ˈæk.jə.rə.si
the fact of being exact or correct."
accurate (adjective),"ˈæk.jə.rət
correct, exact, and without any mistakes."
accurately (adverb),"ˈæk.jə.rət.li
in a way that is correct, exact, and without any mistakes."
accusation (noun),"ˌæk.jəˈzeɪ.ʃən
a statement saying that someone has done something morally wrong, illegal, or unkind, or the fact of accusing someone."
accuse (verb),"əˈkjuːz
to say that someone has done something morally wrong, illegal, or unkind."
accused (noun),"əˈkjuːzd
the person who is on trial in a law court."
achieve (verb),"əˈtʃiːv
to succeed in finishing something or reaching an aim, especially after a lot of work or effort."
achievement (noun),"əˈtʃiːv.mənt
something very good and difficult that you have succeeded in doing."
acid (adjective),"ˈæs.ɪd
containing acid, or having similar qualities to an acid."
acid (noun),"ˈæs.ɪd
any of various usually liquid substances that can react with and sometimes dissolve other materials."
acknowledge (verb),"əkˈnɒl.ɪdʒ
to accept, admit, or recognize something, or the truth or existence of something."
acquire (verb),"əˈkwaɪər
to get or obtain something."
acquisition (noun),"ˌæk.wɪˈzɪʃ.ən
the process of getting something."
acre (noun),"ˈeɪ.kər
a unit for measuring area, equal to 4,047 square metres or 4,840 square yards."
across (adverb),"əˈkrɒs
from one side to the other of something with clear limits, such as an area of land, a road, or a river."
across (preposition),"əˈkrɒs
on the opposite side of."
act (verb),"ækt
to behave in the stated way."
act (noun),"ækt
something that you do."
action (noun),"ˈæk.ʃən
the process of doing something, especially when dealing with a problem or difficulty."
action (verb),"ˈæk.ʃən
to do something to deal with a particular problem or matter."
activate (verb),"ˈæk.tɪ.veɪt
to cause something to start."
activation (noun),"ˌæk.tɪˈveɪ.ʃən
the act of making something start or making it start working."
active (adjective),"ˈæk.tɪv
busy with a particular activity."
active (noun),"ˈæk.tɪv
→ 
the active voice ."
activist (noun),"ˈæk.tɪ.vɪst
a person who believes strongly in political or social change and takes part in activities such as public protests to try to make this happen."
activity (noun),"ækˈtɪv.ə.ti
the situation in which a lot of things are happening or people are moving around."
actor (noun),"ˈæk.tər
someone who pretends to be someone else while performing in a film, play, or television or radio programme."
actress (noun),"ˈæk.trəs
a woman who pretends to be someone else while performing in a film, play, or television programme."
actual (adjective),"ˈæk.tʃu.əl
existing in fact."
actually (adverb),"ˈæk.tʃu.ə.li
in fact or really."
acute (adjective),"əˈkjuːt
If a bad situation is acute, it causes severe problems or damage."
acute (noun),"əˈkjuːt
a sign that is written above a letter in some languages, showing you how to pronounce the letter."
ad (noun),"æd
informal for an advertisement."
adapt (verb),"əˈdæpt
to change, or to change something, to suit different conditions or uses."
adaptation (noun),"ˌæd.əpˈteɪ.ʃən
the process of changing to suit different conditions."
add (verb),"æd
to put two or more numbers or amounts together to get a total."
addition (noun),"əˈdɪʃ.ən
the process of adding numbers or amounts together."
additional (adjective),"əˈdɪʃ.ən.əl
extra."
additionally (adverb),"əˈdɪʃ.ən.əl.i
also or in addition."
address (noun),"əˈdres
the number of the house, name of the road, and name of the town where a person lives or works, and where letters can be sent."
address (verb),"əˈdres
to speak or write to someone."
adequate (adjective),"ˈæd.ə.kwət
enough or satisfactory for a particular purpose."
adequately (adverb),"ˈæd.ə.kwət.li
in a way that is enough or satisfactory for a particular purpose."
adhere (verb),"ədˈhɪər
to stick firmly."
adjacent (adjective),"əˈdʒeɪ.sənt
very near, next to, or touching."
adjust (verb),"əˈdʒʌst
to change something slightly, especially to make it more correct, effective, or suitable."
adjustment (noun),"əˈdʒʌst.mənt
a small change."
administer (verb),"ədˈmɪn.ɪ.stər
to control the operation or arrangement of something."
administration (noun),"ədˌmɪn.ɪˈstreɪ.ʃən
the arrangements and tasks needed to control the operation of a plan or organization."
administrative (adjective),"ədˈmɪn.ɪ.strə.tɪv
relating to the arrangements and work that is needed to control the operation of a plan or organization."
administrator (noun),"ədˈmɪn.ɪ.streɪ.tər
someone whose job is to control the operation of a business, organization, or plan."
admire (verb),"ədˈmaɪər
to find someone or something attractive and pleasant to look at."
admission (noun),"ədˈmɪʃ.ən
the act of agreeing that something is true, especially unwillingly."
admit (verb),"ədˈmɪt
to agree that something is true, especially unwillingly."
adolescent (noun),"ˌæd.əˈles.ənt
a young person who is developing into an adult."
adolescent (adjective),"ˌæd.əˈles.ənt
being or relating to an adolescent."
adopt (verb),"əˈdɒpt
to legally take another person's child into your own family and take care of him or her as your own child."
adoption (noun),"əˈdɒp.ʃən
the act of legally taking a child to be taken care of as your own."
adult (noun),"ˈæd.ʌlt
a person or animal that has grown to full size and strength."
adult (adjective),"ˈæd.ʌlt
grown to full size and strength."
advance (adjective),"ədˈvɑːns
happening, done, or ready before an event."
advance (verb),"ədˈvɑːns
to go or move something forward, or to develop or improve something."
advance (noun),"ədˈvɑːns
the forward movement of something, or an improvement or development in something."
advanced (adjective),"ədˈvɑːnst
modern and well developed."
advantage (verb),"ədˈvɑːn.tɪdʒ
to make someone or something more likely to be successful by creating a situation that helps them."
advantage (noun),"ədˈvɑːn.tɪdʒ
a condition giving a greater chance of success."
adventure (noun),"ədˈven.tʃər
an unusual, exciting, and possibly dangerous activity, such as a trip or experience, or the excitement produced by such an activity."
adverse (adjective),"ˈæd.vɜːs
having a negative or harmful effect on something."
advertise (verb),"ˈæd.və.taɪz
to make something known generally or in public, especially in order to sell it."
advertisement (noun),"ədˈvɜː.tɪs.mənt
a picture, short film, song, etc. that tries to persuade people to buy a product or service."
advertising (noun),"ˈæd.və.taɪ.zɪŋ
the business of trying to persuade people to buy products or services."
advice (noun),"ədˈvaɪs
an opinion that someone offers you about what you should do or how you should act in a particular situation."
advise (verb),"ədˈvaɪz
to give someone advice."
advocate (verb),"ˈæd.və.keɪt
to publicly support or suggest an idea, development, or way of doing something."
advocate (noun),"ˈæd.və.kət
a lawyer who speaks for or defends someone in a court of law."
aesthetic (noun),"esˈθet.ɪk
a set of principles used in a particular artistic movement (= a group of artists with the same ideas or style)."
aesthetic (adjective),"esˈθet.ɪk
relating to the enjoyment or study of beauty."
affair (noun),"əˈfeər
a situation or subject that is being dealt with or considered."
affect (verb),"əˈfekt
to have an influence on someone or something, or to cause a change in someone or something."
affection (noun),"əˈfek.ʃən
a feeling of liking for a person or place."
afford (verb),"əˈfɔːd
to be able to buy or do something because you have enough money or time."
affordable (adjective),"əˈfɔː.də.bəl
not expensive."
afraid (adjective),"əˈfreɪd
feeling fear, or feeling worry about the possible results of a particular situation."
after (preposition),"ˈɑːf.tər
following in time, place, or order."
after (adverb),"ˈɑːf.tər
later than someone or something else."
after (conjunction),"ˈɑːf.tər
at a time that is later than another event."
aftermath (noun),"ˈɑːf.tə.mæθ
the period that follows an unpleasant event or accident, and the effects that it causes."
afternoon (noun),"ˌɑːf.təˈnuːn
the period that starts at about twelve o'clock or after the meal in the middle of the day and ends at about six o'clock or when the sun goes down."
afternoon (exclamation),"ˌɑːf.təˈnuːn
a friendly way of greeting someone when you meet them in the afternoon."
afterwards (adverb),"ˈɑːf.tə.wədz
after the time mentioned."
again (adverb),"əˈɡen
one more time."
against (preposition),"əˈɡenst
disagreeing with a plan or activity."
age (noun),"eɪdʒ
the period of time someone has been alive or something has existed."
age (verb),"eɪdʒ
If someone ages or something ages them, they look older."
aged (adjective),"ˈeɪ.dʒɪd
of the age of."
aged (noun),"ˈeɪ.dʒɪd
old people when considered as a group."
agency (noun),"ˈeɪ.dʒən.si
a business that represents one group of people when dealing with another group."
agenda (noun),"əˈdʒen.də
a list of matters to be discussed at a meeting."
agent (noun),"ˈeɪ.dʒənt
a person who acts for or represents another."
aggression (noun),"əˈɡreʃ.ən
spoken or physical behaviour that is threatening or involves harm to someone or something."
aggressive (adjective),"əˈɡres.ɪv
showing anger and a willingness to attack other people."
ago (adverb),"əˈɡəʊ
back in time from the present."
agree (verb),"əˈɡriː
to have the same opinion."
agreement (noun),"əˈɡriː.mənt
the situation in which people have the same opinion, or in which they approve of or accept something."
agricultural (adjective),"ˌæɡ.rɪˈkʌl.tʃər.əl
used for farming or relating to farming."
agriculture (noun),"ˈæɡ.rɪ.kʌl.tʃər
farming."
ah (exclamation),"ɑː
used to express understanding, pleasure, pain, surprise, or the fact that you have noticed something."
ahead (adverb),"əˈhed
in front."
aid (noun),"eɪd
help or support."
aid (verb),"eɪd
to help."
aide (noun),"eɪd
a person whose job is to help someone important, such as a member of a government or a military officer of high rank."
aids (noun),"eɪdz
abbreviation for Acquired Immune Deficiency Syndromea serious disease caused by a virus that destroys the body's natural protection from infection."
aim (noun),"eɪm
a result that your plans or actions are intended to achieve."
aim (verb),"eɪm
to intend."
air (noun),"eər
the mixture of gases that surrounds the earth and that we breathe."
air (verb),"eər
to make opinions or complaints known to other people."
aircraft (noun),"ˈeə.krɑːft
any vehicle, with or without an engine, that can fly, such as a plane or helicopter."
airline (noun),"ˈeə.laɪn
a business that operates regular services for carrying passengers and/or goods by aircraft."
airport (noun),"ˈeə.pɔːt
a place where aircraft regularly take off and land, with buildings for passengers to wait in."
alarm (noun),"əˈlɑːm
a warning of danger, usually a loud noise or flashing light."
alarm (verb),"əˈlɑːm
to make someone worried or frightened."
albeit (conjunction),"ɔːlˈbiː.ɪt
although."
album (noun),"ˈæl.bəm
a collection of several pieces of music, made available as a single item on a CD, the internet, etc.."
alcohol (noun),"ˈæl.kə.hɒl
a clear liquid that can make you drunk, also used as a solvent (= a substance that dissolves another) and in fuel and medicines."
alcoholic (adjective),"ˌæl.kəˈhɒl.ɪk
containing alcohol."
alcoholic (noun),"ˌæl.kəˈhɒl.ɪk
a person who is unable to give up the habit of drinking alcohol very often and in large amounts."
alert (adjective),"əˈlɜːt
quick to see, understand, and act in a particular situation."
alert (noun),"əˈlɜːt
a warning to people to be prepared to deal with something dangerous."
alert (verb),"əˈlɜːt
to warn someone of a possibly dangerous situation."
alien (adjective),"ˈeɪ.li.ən
relating to creatures from another planet."
alien (noun),"ˈeɪ.li.ən
a creature from a different planet."
align (verb),"əˈlaɪn
to put two or more things into a straight line, or to form a straight line."
alignment (noun),"əˈlaɪn.mənt
an arrangement in which two or more things are positioned in a straight line or parallel to each other."
alike (adjective),"əˈlaɪk
similar to each other."
alike (adverb),"əˈlaɪk
in a similar way."
alive (adjective),"əˈlaɪv
living, not dead."
all (determiner),"ɔːl
every one (of), or the complete amount or number (of), or the whole (of)."
all (adverb),"ɔːl
completely."
all right (adjective),"ˌɔːl ˈraɪt
(in a way that is) satisfactory or reasonably good."
all right (exclamation),"ˌɔːl ˈraɪt
used to greet someone at the same time as asking if they are well."
allegation (noun),"ˌæl.əˈɡeɪ.ʃən
a statement, made without giving proof, that someone has done something wrong or illegal."
allege (verb),"əˈledʒ
to say that someone has done something illegal or wrong without giving proof."
allegedly (adverb),"əˈledʒ.ɪd.li
used when something illegal or wrong is said to have been done, but has not been proved."
alliance (noun),"əˈlaɪ.əns
a group of countries, political parties, or people who have agreed to work together because of shared interests or aims."
allocate (verb),"ˈæl.ə.keɪt
to give something to someone as their share of a total amount, to use in a particular way."
allocation (noun),"ˌæl.əˈkeɪ.ʃən
the process of giving someone their part of a total amount of something to use in a particular way."
allow (verb),"əˈlaʊ
to give permission for someone to do something, or to not prevent something from happening."
allowance (noun),"əˈlaʊ.əns
money that you are given regularly, especially to pay for a particular thing."
ally (noun),"ˈæl.aɪ
a country that has agreed officially to give help and support to another one, especially during a war."
almost (adverb),"ˈɔːl.məʊst
nearly."
alone (adjective),"əˈləʊn
without any others."
alone (adjective),"əˈləʊn
without other people."
along (preposition),"əˈlɒŋ
from one part of a road, river, etc. to another."
along (adverb),"əˈlɒŋ
moving forward."
alongside (preposition),"əˌlɒŋˈsaɪd
next to, or together with."
already (adverb),"ɔːlˈred.i
before the present time."
also (adverb),"ˈɔːl.səʊ
in addition."
alter (verb),"ˈɒl.tər
to change something, usually slightly, or to cause the characteristics of something to change."
alternative (adjective),"ɒlˈtɜː.nə.tɪv
An alternative plan or method is one that you can use if you do not want to use another one."
alternative (noun),"ɒlˈtɜː.nə.tɪv
something that is different from something else, especially from what is usual, and offering the possibility of choice."
although (conjunction),"ɔːlˈðəʊ
despite the fact that."
altogether (noun),"ˌɔːl.təˈɡeð.ər
to be naked."
altogether (adverb),"ˌɔːl.təˈɡeð.ər
in total."
aluminium (noun),"ˌæl.jəˈmɪn.i.əm
a chemical element that is a light, silver-coloured metal, used especially for making cooking equipment and aircraft parts."
always (adverb),"ˈɔːl.weɪz
every time or all the time."
amateur (noun),"ˈæm.ə.tər
a person who takes part in an activity for pleasure, not as a job."
amateur (adjective),"ˈæm.ə.tər
taking part in an activity for pleasure, not as a job."
amazed (adjective),"əˈmeɪzd
extremely surprised."
amazing (adjective),"əˈmeɪ.zɪŋ
extremely surprising."
ambassador (noun),"æmˈbæs.ə.dər
an important official who works in a foreign country representing his or her own country there, and who is officially accepted in this position by that country."
ambition (noun),"æmˈbɪʃ.ən
a strong wish to achieve something."
ambitious (adjective),"æmˈbɪʃ.əs
having a strong wish to be successful, powerful, or rich."
ambulance (noun),"ˈæm.bjə.ləns
a special vehicle used to take sick or injured people to hospital."
amend (verb),"əˈmend
to change the words of a text, especially a law or a legal document."
amendment (noun),"əˈmend.mənt
a change or changes made to the words of a text."
amid (preposition),"əˈmɪd
in the middle of or surrounded by."
among (preposition),"əˈmʌŋ
in the middle of or surrounded by other things."
amount (noun),"əˈmaʊnt
a collection or mass, especially of something that cannot be counted."
amusing (adjective),"əˈmjuː.zɪŋ
entertaining and funny."
analogy (noun),"əˈnæl.ə.dʒi
a comparison between things that have similar features, often used to help explain a principle or idea."
analyse (verb),"ˈæn.əl.aɪz
to study or examine something in detail in order to discover or understand more about it."
analysis (noun),"əˈnæl.ə.sɪs
the act of studying or examining something in detail, in order to discover or understand more about it, or your opinion and judgment after doing this."
analyst (noun),"ˈæn.ə.lɪst
someone whose job is to study or examine something in detail, in order to discover or understand more about it and often to make predictions (= statements about what will happen in the future) relating to it ."
ancestor (noun),"ˈæn.ses.tər
a person related to you who lived a long time ago."
anchor (noun),"ˈæŋ.kər
a heavy metal object, usually shaped like a cross with curved arms, on a strong rope or chain, that is dropped from a boat into the water to prevent the boat from moving away."
anchor (verb),"ˈæŋ.kər
to lower an anchor into the water in order to stop a boat from moving away."
ancient (adjective),"ˈeɪn.ʃənt
of or from a long time ago, having lasted for a very long time."
and (conjunction),"ænd
used to join two words, phrases, parts of sentences, or related statements together."
angel (noun),"ˈeɪn.dʒəl
a spiritual being in some religions who is believed to be a messenger of God, usually represented as having a human form with wings."
anger (verb),"ˈæŋ.ɡər
to make someone angry."
anger (noun),"ˈæŋ.ɡər
a strong feeling that makes you want to hurt someone or be unpleasant because of something unfair or unkind that has happened."
angle (verb),"ˈæŋ.ɡəl
to aim, turn, or position something in a direction that is not horizontal or vertical."
angle (noun),"ˈæŋ.ɡəl
the space between two lines or surfaces at the point at which they touch each other, measured in degrees."
angrily (adverb),"ˈæŋ.ɡrəl.i
in a way that shows that you feel angry with someone or about something."
angry (adjective),"ˈæŋ.ɡri
having a strong feeling against someone who has behaved badly, making you want to shout at them or hurt them."
animal (noun),"ˈæn.ɪ.məl
something that lives and moves but is not a human, bird, fish, or insect."
animal (adjective),"ˈæn.ɪ.məl
made or obtained from an animal or animals."
animation (noun),"ˌæn.ɪˈmeɪ.ʃən
enthusiasm and energy."
ankle (noun),"ˈæŋ.kəl
the joint (= place where two bones are connected) between the foot and the leg, or the thin part of the leg just above the foot."
anniversary (noun),"ˌæn.ɪˈvɜː.sər.i
the day on which an important event happened in a previous year."
announce (verb),"əˈnaʊns
to make something known or tell people about something officially."
announcement (noun),"əˈnaʊns.mənt
something that someone says officially, giving information about something."
annoy (verb),"əˈnɔɪ
to make someone angry."
annoyed (adjective),"əˈnɔɪd
angry."
annoying (adjective),"əˈnɔɪ.ɪŋ
making you feel slightly angry."
annual (adjective),"ˈæn.ju.əl
happening once every year."
annual (noun),"ˈæn.ju.əl
a book or magazine published once a year, especially for children, with the same title and style but different contents."
annually (adverb),"ˈæn.ju.ə.li
once every year."
anonymous (adjective),"əˈnɒn.ɪ.məs
made or done by someone whose name is not known or not made public."
another (determiner),"əˈnʌð.ər
one more person or thing or an extra amount."
answer (verb),"ˈɑːn.sər
to say, write, or do something as a reaction to a question, letter, etc.."
answer (noun),"ˈɑːn.sər
a reaction to a question, letter, phone call, etc.."
anticipate (verb),"ænˈtɪs.ɪ.peɪt
to imagine or expect that something will happen."
anxiety (noun),"æŋˈzaɪ.ə.ti
an uncomfortable feeling of nervousness or worry about something that is happening or might happen in the future."
anxious (adjective),"ˈæŋk.ʃəs
worried and nervous."
any (determiner),"ˈen.i
some, or even the smallest amount or number of."
any (adverb),"ˈen.i
at all or in the least."
any more (adverb),"ˌen.iˈmɔːr
If you do not do something or something does not happen anymore, you have stopped doing it or it does not now happen."
anybody (pronoun),"ˈen.iˌbɒd.i
→ 
anyone ."
anyone (pronoun),"ˈen.i.wʌn
used in questions and negatives to mean ""a person or people""."
anything (pronoun),"ˈen.i.θɪŋ
used in questions and negatives to mean ""something""."
anyway (adverb),"ˈen.i.weɪ
whatever else is happening, without considering other things."
anywhere (adverb),"ˈen.i.weər
in, to, or at any place."
apart (adverb),"əˈpɑːt
separated by a distance or by time."
apart (adjective),"əˈpɑːt
living or staying in a different place from the person that you are married to or have a close relationship with."
apartment (noun),"əˈpɑːt.mənt
a set of rooms for living in, especially on one floor of a building."
apologize (verb),"əˈpɒl.ə.dʒaɪz
to tell someone that you are sorry for having done something that has caused problems or unhappiness for them."
apology (noun),"əˈpɒl.ə.dʒi
an act of saying that you are sorry for something wrong you have done."
app (noun),"æp
abbreviation for applicationa computer program that is designed for a particular purpose."
apparatus (noun),"ˌæp.əˈreɪ.təs
a set of equipment or tools or a machine that is used for a particular purpose."
apparent (adjective),"əˈpær.ənt
able to be seen or understood."
apparently (adverb),"əˈpær.ənt.li
used to say you have read or been told something although you are not certain it is true."
appeal (noun),"əˈpiːl
a request to the public for money, information, or help."
appeal (verb),"əˈpiːl
to make a serious or formal request, especially to the public, for money, information, or help."
appealing (adjective),"əˈpiː.lɪŋ
attractive or interesting."
appear (verb),"əˈpɪər
to start to be seen or to be present."
appearance (noun),"əˈpɪə.rəns
an occasion when someone appears in public."
appetite (noun),"ˈæp.ə.taɪt
the feeling that you want to eat food."
applaud (verb),"əˈplɔːd
to show enjoyment or approval of something such as a performance or speech by clapping the hands repeatedly to make a noise."
apple (noun),"ˈæp.əl
a round fruit with firm, white flesh and a green, red, or yellow skin."
applicable (adjective),"əˈplɪk.ə.bəl
affecting or relating to a person or thing."
applicant (noun),"ˈæp.lɪ.kənt
a person who formally requests something, especially a job, or to study at a college or university."
application (noun),"ˌæp.lɪˈkeɪ.ʃən
an official request for something, usually in writing."
apply (verb),"əˈplaɪ
to request something, usually officially, especially in writing or by sending in a form."
appoint (verb),"əˈpɔɪnt
to choose someone officially for a job or responsibility."
appointment (noun),"əˈpɔɪnt.mənt
a formal arrangement to meet or visit someone at a particular time and place."
appreciate (verb),"əˈpriː.ʃi.eɪt
to recognize how good someone or something is and to value them or it."
appreciation (noun),"əˌpriː.ʃiˈeɪ.ʃən
the act of recognizing or understanding that something is valuable, important, or as described."
approach (noun),"əˈprəʊtʃ
a way of considering or doing something."
approach (verb),"əˈprəʊtʃ
to come near or nearer to something or someone in space, time, quality, or amount."
appropriate (verb),"əˈprəʊ.pri.eɪt
to take something for your own use, usually without permission."
appropriate (adjective),"əˈprəʊ.pri.ət
suitable or right for a particular situation or occasion."
appropriately (adverb),"əˈprəʊ.pri.ət.li
in a way that is suitable or right for a particular situation or occasion."
approval (noun),"əˈpruː.vəl
the feeling of having a positive opinion of someone or something."
approve (verb),"əˈpruːv
to have a positive opinion of someone or something."
approximately (adverb),"əˈprɒk.sɪ.mət.li
close to a particular number or time although not exactly that number or time."
april (noun),"ˈeɪ.prəl
the fourth month of the year, after March and before May."
arbitrary (adjective),"ˈɑː.bɪ.trər.i
based on chance rather than being planned or based on reason."
architect (noun),"ˈɑː.kɪ.tekt
a person whose job is to design new buildings and make certain that they are built correctly."
architectural (adjective),"ˌɑː.kɪˈtek.tʃər.əl
relating to architecture."
architecture (noun),"ˈɑː.kɪ.tek.tʃər
the art and practice of designing and making buildings."
archive (verb),"ˈɑː.kaɪv
to store historical records or documents in an archive."
archive (noun),"ˈɑː.kaɪv
a collection of historical records relating to a place, organization, or family."
area (noun),"ˈeə.ri.ə
a particular part of a place, piece of land, or country."
arena (noun),"əˈriː.nə
a large, flat area surrounded by seats used for sports or entertainment."
arguably (adverb),"ˈɑːɡ.ju.ə.bli
used when stating an opinion or belief that you think can be shown to be true."
argue (verb),"ˈɑːɡ.juː
to speak angrily to someone, telling that person that you disagree with them."
argument (noun),"ˈɑːɡ.jə.mənt
a disagreement, or the process of disagreeing."
arise (verb),"əˈraɪz
to start to happen or exist."
arm (verb),"ɑːm
to provide yourself or others with a weapon or weapons."
arm (noun),"ɑːm
either of the two long parts of the upper body that are attached to the shoulders and have the hands at the end."
armed (adjective),"ɑːmd
using or carrying weapons."
arms (noun),"ɑːmz
→ 
arm ."
army (noun),"ˈɑː.mi
a particular country's fighting force."
around (adverb),"əˈraʊnd
approximately."
around (preposition),"əˈraʊnd
in a position or direction surrounding, or in a direction going along the edge of or from one part to another (of)."
arrange (verb),"əˈreɪndʒ
to plan, prepare for, or organize something."
arrangement (noun),"əˈreɪndʒ.mənt
a plan for how something will happen."
array (verb),"əˈreɪ
to arrange a group of things in a particular way."
array (noun),"əˈreɪ
a large group of things or people, especially one that is attractive or causes admiration or has been positioned in a particular way."
arrest (noun),"əˈrest
the act of arresting someone."
arrest (verb),"əˈrest
If the police arrest someone, they take them away to ask them about a crime that they might have committed."
arrival (noun),"əˈraɪ.vəl
the fact of arriving somewhere."
arrive (verb),"əˈraɪv
to reach a place, especially at the end of a journey."
arrow (noun),"ˈær.əʊ
a weapon that is like a long, thin stick with a sharp point at one end and often feathers at the other, shot from a bow (= a long, thin piece of wood bent into a curve by a piece of string)."
art (noun),"ɑːt
the making of objects, images, music, etc. that are beautiful or that express feelings."
art (verb),"ɑːt
in the past, the second person singular of the present tense of ""be""."
article (noun),"ˈɑː.tɪ.kəl
a piece of writing on a particular subject in a newspaper or magazine, or on the internet."
articulate (verb),"ɑːˈtɪk.jə.leɪt
to express in words."
articulate (adjective),"ɑːˈtɪk.jə.lət
able to express thoughts and feelings easily and clearly, or showing this quality."
artificial (adjective),"ˌɑː.tɪˈfɪʃ.əl
made by people, often as a copy of something natural."
artist (noun),"ˈɑː.tɪst
someone who paints, draws, or makes sculptures."
artistic (adjective),"ɑːˈtɪs.tɪk
relating to art."
artwork (noun),"ˈɑːt.wɜːk
the pieces of art, such as drawings and photographs, that are used in books, newspapers, and magazines."
as (adverb),"æz
used in comparisons to refer to the degree of something."
as (preposition),"æz
used to describe the purpose or quality of someone or something."
as (conjunction),"æz
because."
ash (noun),"æʃ
the soft grey or black powder that is left after a substance, especially tobacco, coal, or wood, has burned."
ashamed (adjective),"əˈʃeɪmd
feeling guilty or embarrassed about something you have done or about a quality in your character."
aside (noun),"əˈsaɪd
a remark that someone makes in a quiet voice because they do not want everyone to hear it."
aside (adverb),"əˈsaɪd
on or to one side."
ask (verb),"ɑːsk
to put a question to someone, or to request an answer from someone."
asleep (adjective),"əˈsliːp
sleeping or not awake."
