word,answer
backup (noun),"ˈbæk.ʌp
(someone or something that provides) support or help, or something that you have arranged in case your main plans, equipment, etc. go wrong."
badge (noun),"bædʒ
a small piece of metal or plastic with words or a picture on it, that you carry with you or fasten to your clothing or something else, in order to show who you are, that you are a member of a group, etc.."
balance (noun),"ˈbæl.əns
a state where things are of equal weight or force."
balance (verb),"ˈbæl.əns
to be in a position where you will stand without falling to either side, or to put something in this position."
balanced (adjective),"ˈbæl.ənst
considering all sides or opinions equally."
ban (noun),"bæn
an official order that prevents something from happening."
ban (verb),"bæn
to forbid (= refuse to allow) something, especially officially."
bare (adjective),"beər
without any clothes or not covered by anything."
barely (adverb),"ˈbeə.li
by the smallest amount."
barrier (noun),"ˈbær.i.ər
a long pole, fence, wall, or natural feature, such as a mountain or sea, that stops people from going somewhere."
base (verb),"beɪs
to have a particular town or area, etc. as the main place that you live and work in, or where you do business from."
base (noun),"beɪs
the bottom part of an object, on which it rests, or the lowest part of something."
basement (noun),"ˈbeɪs.mənt
a part of a building consisting of rooms that are partly or completely below the level of the ground."
basically (adverb),"ˈbeɪ.sɪ.kəl.i
used when referring to the main or most important characteristic or feature of something."
beam (noun),"biːm
a line of light that shines from a bright object."
bear (verb),"beər
to accept, tolerate, or endure something, especially something unpleasant."
beat (noun),"biːt
a regular movement or sound, especially that made by your heart."
beg (verb),"beɡ
to make a very strong and urgent request."
behalf (noun),"bɪˈhɑːf
representing."
belief (noun),"bɪˈliːf
the feeling of being certain that something exists or is true."
belong (verb),"bɪˈlɒŋ
to be in the right place or a suitable place."
bench (noun),"bentʃ
a long, usually hard seat for two or more people, often found in public places."
bend (noun),"bend
a curved part of something."
bend (verb),"bend
to (cause to) curve."
beneath (preposition),"bɪˈniːθ
in or to a lower position than someone or something, under someone or something."
beneficial (adjective),"ˌben.ɪˈfɪʃ.əl
helpful, useful, or good."
benefit (verb),"ˈben.ɪ.fɪt
to be helped by something or to help someone."
betray (verb),"bɪˈtreɪ
to not be loyal to your country or a person, often by doing something harmful such as helping their enemies."
billion (number),"ˈbɪl.jən
the number 1,000,000,000."
biological (adjective),"ˌbaɪ.əˈlɒdʒ.ɪ.kəl
connected with the natural processes of living things."
bite (noun),"baɪt
the act of biting something."
bitter (adjective),"ˈbɪt.ər
Someone who is bitter is angry and unhappy because they cannot forget bad things that happened in the past."
bizarre (adjective),"bɪˈzɑːr
very strange and unusual."
blade (noun),"bleɪd
the flat part on a knife or similar tool or weapon, with a very thin edge used for cutting."
blame (noun),"bleɪm
the situation in which people say or think that someone or something did something wrong or is responsible for something bad happening."
block (verb),"blɒk
to prevent movement through something."
board (noun),"bɔːd
a thin, flat piece of cut wood or other hard material, often used for a particular purpose."
boast (verb),"bəʊst
to speak too proudly or happily about what you have done or what you own."
bold (adjective),"bəʊld
not frightened of danger."
bombing (noun),"ˈbɒm.ɪŋ
an attack or attacks on a place or area using bombs, or the activity of attacking in this way."
bond (noun),"bɒnd
a close connection joining two or more people."
bonus (noun),"ˈbəʊ.nəs
an extra amount of money that is given to you as a present or reward for good work as well as the money you were expecting."
boost (noun),"buːst
an occasion when something is improved or increased."
boost (verb),"buːst
to increase or improve something."
bother (verb),"ˈbɒð.ər
to make the effort to do something."
bound (adjective),"baʊnd
certain or extremely likely to happen."
branch (noun),"brɑːntʃ
a part of something larger."
brand (noun),"brænd
a type of product made by a particular company and sold under a particular name."
breakdown (noun),"ˈbreɪk.daʊn
a failure to work or be successful."
breakthrough (noun),"ˈbreɪk.θruː
an important discovery or event that helps to improve a situation or provide an answer to a problem."
breed (noun),"briːd
a particular type of animal or plant."
breed (verb),"briːd
to keep animals for the purpose of producing young animals in a controlled way."
brick (noun),"brɪk
a rectangular block of hard material used for building walls and houses."
brief (noun),"briːf
If something is said in brief, it is said in a very short form, with very few details."
broadband (noun),"ˈbrɔːd.bænd
a system that makes it possible for many messages or large amounts of information to be sent at the same time and very quickly between computers or other electronic devices."
broadcast (verb),"ˈbrɔːd.kɑːst
to send out a programme on television or radio."
browser (noun),"ˈbraʊ.zər
a computer program that makes it possible for you to read information on the internet."
brush (verb),"brʌʃ
to touch (something) quickly and lightly or carelessly."
budget (adjective),"ˈbʌdʒ.ɪt
very cheap."
budget (noun),"ˈbʌdʒ.ɪt
a plan to show how much money a person or organization will earn and how much they will need or be able to spend."
bullet (noun),"ˈbʊl.ɪt
a small, metal object that is shot from a gun."
burst (verb),"bɜːst
to break open or apart suddenly, or to make something do this."
bush (noun),"bʊʃ
a plant with many small branches growing either directly from the ground or from a hard stem, giving the plant a rounded shape."
cable (noun),"ˈkeɪ.bəl
a set of wires, covered by plastic, that carries electricity, phone signals, etc.."
calculate (verb),"ˈkæl.kjə.leɪt
to judge the number or amount of something by using the information that you already have, and adding, taking away, multiplying, or dividing numbers."
calculation (noun),"ˌkæl.kjəˈleɪ.ʃən
the process of using information you already have and adding, taking away, multiplying, or dividing numbers to judge the number or amount of something."
campus (noun),"ˈkæm.pəs
the buildings of a college or university and the land that surrounds them."
candidate (noun),"ˈkæn.dɪ.dət
a person who is competing to get a job or elected position."
capable (adjective),"ˈkeɪ.pə.bəl
able to do things effectively and skilfully, and to achieve results."
capacity (noun),"kəˈpæs.ə.ti
the total amount that can be contained or produced."
capture (verb),"ˈkæp.tʃər
to take someone as a prisoner, or to take something into your possession, especially by force."
carbon (noun),"ˈkɑː.bən
a chemical element that exists in its pure form as diamond or graphite, and is an important part of other substances such as coal and oil, as well as being contained in all plants and animals."
care (noun),"keər
the process of protecting someone or something and providing what that person or thing needs."
cast (noun),"kɑːst
the actors in a film, play, or show."
catalogue (noun),"ˈkæt.əl.ɒɡ
a book with a list of all the goods that you can buy from a shop."
category (noun),"ˈkæt.ə.ɡri
(in a system for dividing things according to appearance, quality, etc.) a type, or a group of things having some features that are the same."
cause (verb),"kɔːz
to make something happen, especially something bad."
cause (noun),"kɔːz
the reason why something, especially something bad, happens."
cautious (adjective),"ˈkɔː.ʃəs
Someone who is cautious avoids risks."
cease (verb),"siːs
to stop something."
cell (noun),"sel
the smallest basic unit of a plant or animal."
cemetery (noun),"ˈsem.ə.tri
an area of ground in which dead bodies are buried."
chaos (noun),"ˈkeɪ.ɒs
a state of total confusion with no order."
characteristic (noun),"ˌkær.ək.təˈrɪs.tɪk
a typical or noticeable quality of someone or something."
charm (noun),"tʃɑːm
a quality that makes you like or feel attracted to someone or something."
chart (noun),"tʃɑːt
a drawing that shows information in a simple way, often using lines and curves to show amounts."
chase (verb),"tʃeɪs
to hurry after someone or something in order to catch him, her, or it."
cheat (verb),"tʃiːt
to behave in a dishonest way in order to get what you want."
cheer (verb),"tʃɪər
to give a loud shout of approval or encouragement."
chemical (adjective),"ˈkem.ɪ.kəl
relating to chemicals."
chemical (noun),"ˈkem.ɪ.kəl
any basic substance that is used in or produced by a reaction involving changes to atoms or molecules."
chest (noun),"tʃest
the upper front part of the body of humans and some animals, between the stomach and the neck, containing the heart and lungs."
chief (noun),"tʃiːf
the person in charge of a group or organization, or the ruler of a tribe."
chief (adjective),"tʃiːf
most important or main."
choir (noun),"kwaɪər
a group of people who sing together."
chop (verb),"tʃɒp
to cut something into pieces with an axe, knife, or other sharp instrument."
circumstance (noun),"ˈsɜː.kəm.stɑːns
a fact or event that makes a situation the way it is."
citizen (noun),"ˈsɪt.ɪ.zən
a person who is a member of a particular country and who has rights because of being born there or because of being given rights, or a person who lives in a particular town or city."
civilization (noun),"ˌsɪv.əl.aɪˈzeɪ.ʃən
human society with its well developed social organizations, or the culture and way of life of a society or country at a particular period in time."
claim (verb),"kleɪm
to say that something is true or is a fact, although you cannot prove it and other people might not believe it."
classic (adjective),"ˈklæs.ɪk
having a high quality or standard against which other things are judged."
classic (noun),"ˈklæs.ɪk
a piece of writing, a musical recording, or a film that is well known and of a high standard and lasting value."
client (noun),"ˈklaɪ.ənt
a customer or someone who receives services."
climb (verb),"klaɪm
to go up, or to go towards the top of something."
closely (adverb),"ˈkləʊs.li
in a way that is directly connected or has a strong relationship."
cloth (noun),"klɒθ
(a type of) woven material."
clothing (noun),"ˈkləʊ.ðɪŋ
clothes, especially clothes of a particular type or those worn in a particular situation."
clue (noun),"kluː
a sign or some information that helps you to find the answer to a problem, question, or mystery."
coach (verb),"kəʊtʃ
to give special classes in sports or a school subject, especially privately, to one person or a small group."
coastal (adjective),"ˈkəʊ.stəl
positioned on, or relating to the coast."
code (noun),"kəʊd
a system of words, letters, or signs used to represent a message in secret form, or a system of numbers, letters, or signals used to represent something in a shorter or more convenient form."
coincidence (noun),"kəʊˈɪn.sɪ.dəns
an occasion when two or more similar things happen at the same time, especially in a way that is unlikely and surprising."
collapse (verb),"kəˈlæps
to fall down suddenly because of pressure or having no strength or support."
collapse (noun),"kəˈlæps
the sudden failure of a system, organization, business, etc.."
collector (noun),"kəˈlek.tər
someone who collects objects because they are beautiful, valuable, or interesting."
column (noun),"ˈkɒl.əm
one of several vertical blocks of print into which a page of a newspaper or magazine is divided."
combination (noun),"ˌkɒm.bɪˈneɪ.ʃən
the mixture you get when two or more things are combined."
combine (verb),"kəmˈbaɪn
to (cause to) exist together, or join together to make a single thing or group."
command (noun),"kəˈmɑːnd
an order, especially one given by a soldier."
comment (verb),"ˈkɒm.ent
to make a comment."
commerce (noun),"ˈkɒm.ɜːs
the activities involved in buying and selling things."
commercial (adjective),"kəˈmɜː.ʃəl
related to making money by buying and selling things."
commit (verb),"kəˈmɪt
to do something illegal or something that is considered wrong."
committee (noun),"kəˈmɪt.i
a small group of people chosen to represent a larger organization and either make decisions or collect information for it."
community (noun),"kəˈmjuː.nə.ti
the people living in one particular area or people who are considered as a unit because of their common interests, social group, or nationality."
companion (noun),"kəmˈpæn.jən
a person you spend a lot of time with often because you are friends or because you are travelling together."
comparison (noun),"kəmˈpær.ɪ.sən
the act of comparing two or more people or things."
compete (verb),"kəmˈpiːt
to try to be more successful than someone or something else."
competition (noun),"ˌkɒm.pəˈtɪʃ.ən
a situation in which someone is trying to win something or be more successful than someone else."
competitive (adjective),"kəmˈpet.ɪ.tɪv
involving competition."
complex (adjective),"ˈkɒm.pleks
involving a lot of different but related parts."
compose (verb),"kəmˈpəʊz
to produce music, poetry, or formal writing."
composer (noun),"kəmˈpəʊ.zər
a person who writes music."
composition (noun),"ˌkɒm.pəˈzɪʃ.ən
a piece of music that someone has written."
compromise (verb),"ˈkɒm.prə.maɪz
to accept that you will reduce your demands or change your opinion in order to reach an agreement with someone."
compromise (noun),"ˈkɒm.prə.maɪz
an agreement in an argument in which the people involved reduce their demands or change their opinion in order to agree."
compulsory (adjective),"kəmˈpʌl.sər.i
If something is compulsory, you must do it because of a rule or law."
concentration (noun),"ˌkɒn.sənˈtreɪ.ʃən
the ability to think carefully about something you are doing and nothing else."
concept (noun),"ˈkɒn.sept
a principle or idea."
concern (noun),"kənˈsɜːn
a worried or nervous feeling about something, or something that makes you feel worried."
concerned (adjective),"kənˈsɜːnd
worried."
concrete (noun),"ˈkɒŋ.kriːt
a very hard building material made by mixing together cement, sand, small stones, and water."
conduct (verb),"kənˈdʌkt
to organize and perform a particular activity."
confess (verb),"kənˈfes
to admit that you have done something wrong or something that you feel guilty or bad about."
confession (noun),"kənˈfeʃ.ən
the act of admitting that you have done something wrong or illegal."
confidence (noun),"ˈkɒn.fɪ.dəns
the quality of being certain of your abilities or of having trust in people, plans, or the future."
confirmation (noun),"ˌkɒn.fəˈmeɪ.ʃən
a statement, often written, that an arrangement or meeting is certain."
conflict (noun),"ˈkɒn.flɪkt
an active disagreement between people with opposing opinions or principles."
confuse (verb),"kənˈfjuːz
to mix up someone's mind or ideas, or to make something difficult to understand."
confusion (noun),"kənˈfjuː.ʒən
a situation in which people do not understand what is happening, what they should do or who someone or something is."
congratulate (verb),"kənˈɡrætʃ.ə.leɪt
to praise someone and say that you approve of or are pleased about a special or unusual achievement."
connection (noun),"kəˈnek.ʃən
the state of being related to someone or something else."
conscious (adjective),"ˈkɒn.ʃəs
to notice that a particular thing or person exists or is present."
consequence (noun),"ˈkɒn.sɪ.kwəns
a result of a particular action or situation, often one that is bad or not convenient."
consequently (adverb),"ˈkɒn.sɪ.kwənt.li
as a result."
conservation (noun),"ˌkɒn.səˈveɪ.ʃən
the protection of plants and animals, natural areas, and interesting and important structures and buildings, especially from the damaging effects of human activity."
considerable (adjective),"kənˈsɪd.ər.ə.bəl
large or of noticeable importance."
considerably (adverb),"kənˈsɪd.ər.ə.bli
to a large, noticeable, or important degree."
consideration (noun),"kənˌsɪd.əˈreɪ.ʃən
the act of thinking about something carefully."
constant (adjective),"ˈkɒn.stənt
happening a lot or all the time."
constantly (adverb),"ˈkɒn.stənt.li
all the time or often."
construct (verb),"kənˈstrʌkt
to build something or put together different parts to form something whole."
construction (noun),"kənˈstrʌk.ʃən
the work of building or making something, especially buildings, bridges, etc.."
consultant (noun),"kənˈsʌl.tənt
someone who advises people on a particular subject."
consumer (noun),"kənˈsjuː.mər
a person who buys goods or services for their own use."
container (noun),"kənˈteɪ.nər
a hollow object, such as a box or a bottle, that can be used for holding something, especially to carry or store it."
contemporary (adjective),"kənˈtem.pər.ər.i
existing or happening now, and therefore seeming modern."
content (adjective),"kənˈtent
pleased with your situation and not hoping for change or improvement."
context (noun),"ˈkɒn.tekst
the situation within which something exists or happens, and that can help explain it."
continuous (adjective),"kənˈtɪn.ju.əs
without a pause or interruption."
contrast (noun),"ˈkɒn.trɑːst
an obvious difference between two or more things."
contribute (verb),"kənˈtrɪb.juːt
to give something, especially money, in order to provide or achieve something together with other people."
contribution (noun),"ˌkɒn.trɪˈbjuː.ʃən
something that you contribute or do to help produce or achieve something together with other people, or to help make something successful."
control (noun),"kənˈtrəʊl
the act of controlling something or someone, or the power to do this."
controversial (adjective),"ˌkɒn.trəˈvɜː.ʃəl
causing disagreement or discussion."
convenience (noun),"kənˈviː.ni.əns
the state of being convenient."
conventional (adjective),"kənˈven.ʃən.əl
traditional and ordinary."
convert (verb),"kənˈvɜːt
to (cause something or someone to) change in form or character."
convinced (adjective),"kənˈvɪnst
certain."
cool (verb),"kuːl
to become or cause something to become slightly colder."
cooperate (verb),"kəʊˈɒp.ər.eɪt
to act or work together for a particular purpose, or to be helpful by doing what someone asks you to do."
cooperative (adjective),"kəʊˈɒp.ər.ə.tɪv
willing to help or do what people ask."
cope (verb),"kəʊp
to deal successfully with a difficult situation."
copper (noun),"ˈkɒp.ər
a chemical element that is a reddish-brown metal, used especially for making wire and coins."
corporation (noun),"ˌkɔː.pərˈeɪ.ʃən
a large company or group of companies that is controlled together as a single organization."
correct (verb),"kəˈrekt
to show or tell someone that something is wrong and to make it right."
correspond (verb),"ˌkɒr.ɪˈspɒnd
to match or be similar or equal."
corridor (noun),"ˈkɒr.ɪ.dɔːr
a long passage in a building or train, especially with rooms on either side."
costume (noun),"ˈkɒs.tʃuːm
the set of clothes typical of a particular country or period of history, or suitable for a particular activity."
counter (noun),"ˈkaʊn.tər
a long, flat, narrow surface or table in a shop, bank, restaurant, etc. at which people are served."
county (noun),"ˈkaʊn.ti
a political division of the UK or Ireland, forming the largest unit of local government, or the largest political division of a state in the US."
courage (noun),"ˈkʌr.ɪdʒ
the ability to control your fear in a dangerous or difficult situation."
court (noun),"kɔːt
a place where trials and other legal cases happen, or the people present in such a place, especially the officials and those deciding if someone is guilty."
courtesy (noun),"ˈkɜː.tə.si
polite behaviour, or a polite action or remark."
crack (verb),"kræk
to break something so that it does not separate, but very thin lines appear on its surface, or to become broken in this way."
craft (noun),"krɑːft
skill and experience, especially in relation to making objects; a job or activity that needs skill and experience, or something produced using skill and experience."
crawl (verb),"krɔːl
to move along on hands and knees or with your body stretched out along a surface."
creation (noun),"kriˈeɪ.ʃən
the act of creating something, or the thing that is created."
creativity (noun),"ˌkriː.eɪˈtɪv.ə.ti
the ability to produce or use original and unusual ideas."
credit (noun),"ˈkred.ɪt
praise, approval, or honour."
criminal (adjective),"ˈkrɪm.ɪ.nəl
relating to crime."
crisis (noun),"ˈkraɪ.sɪs
a time of great disagreement, confusion, or suffering."
critical (adjective),"ˈkrɪt.ɪ.kəl
saying that someone or something is bad or wrong."
critically (adverb),"ˈkrɪt.ɪ.kəl.i
in a way that is very bad or serious."
criticism (noun),"ˈkrɪt.ɪ.sɪ.zəm
the act of saying that something or someone is bad."
criticize (verb),"ˈkrɪt.ɪ.saɪz
to express disapproval of someone or something."
crucial (adjective),"ˈkruː.ʃəl
extremely important or necessary."
cruise (verb),"kruːz
(of a ship or person) to sail around for pleasure."
cure (noun),"kjʊər
something that makes someone who is sick healthy again."
cure (verb),"kjʊər
to make someone with an illness healthy again."
curiosity (noun),"ˌkjʊə.riˈɒs.ə.ti
an eager wish to know or learn about something."
current (adjective),"ˈkʌr.ənt
of the present time."
currently (adverb),"ˈkʌr.ənt.li
at the present time."
curve (noun),"kɜːv
a line that bends continuously and has no straight parts."
cycle (noun),"ˈsaɪ.kəl
a bicycle."
dairy (adjective),"ˈdeə.ri
used to refer to cows that are used for producing milk, rather than meat, or to foods that are made from milk, such as cream, butter, and cheese."
dare (verb),"deər
to be brave enough to do something difficult or dangerous, or to be rude or silly enough to do something that you have no right to do."
darkness (noun),"ˈdɑːk.nəs
the quality of being without light, or a situation in which there is little or no light."
data (noun),"ˈdeɪ.tə
information, especially facts or numbers, collected to be examined and considered and used to help decision-making, or information in an electronic form that can be stored and used by a computer."
database (noun),"ˈdeɪ.tə.beɪs
a large amount of information stored in a computer system in such a way that it can be easily looked at or changed."
dawn (noun),"dɔːn
the period in the day when light from the sun begins to appear in the sky."
deadline (noun),"ˈded.laɪn
a time or day by which something must be done."
deadly (adjective),"ˈded.li
likely to cause death."
deal (noun),"diːl
an agreement or an arrangement, especially in business."
dealer (noun),"ˈdiː.lər
a person who trades in something."
dear (adjective),"dɪər
loved or liked very much."
debate (noun),"dɪˈbeɪt
(a) serious discussion of a subject in which many people take part."
debt (noun),"det
something, especially money, that is owed to someone else, or the state of owing something."
decade (noun),"ˈdek.eɪd
a period of ten years, especially a period such as 2010 to 2019."
decent (adjective),"ˈdiː.sənt
socially acceptable or good."
decisive (adjective),"dɪˈsaɪ.sɪv
able to make decisions quickly and confidently, or showing this quality."
deck (noun),"dek
a flat area for walking on, built across the space between the sides of a boat."
declare (verb),"dɪˈkleər
to announce something clearly, firmly, publicly, or officially."
decline (verb),"dɪˈklaɪn
to gradually become less, worse, or lower."
decline (noun),"dɪˈklaɪn
when something becomes less in amount, importance, quality, or strength."
decoration (noun),"ˌdek.əˈreɪ.ʃən
the activity of making something look more attractive by putting things on it or around it, or something that you use to do this."
deeply (adverb),"ˈdiːp.li
extremely or strongly."
define (verb),"dɪˈfaɪn
to say what the meaning of something, especially a word, is."
definite (adjective),"ˈdef.ɪ.nət
fixed, certain, or clear."
definition (noun),"ˌdef.ɪˈnɪʃ.ən
a statement that explains the meaning of a word or phrase."
degree (noun),"dɪˈɡriː
(an) amount or level of something."
deliberate (adjective),"dɪˈlɪb.ər.ət
(often of something bad) intentional or planned."
deliberately (adverb),"dɪˈlɪb.ər.ət.li
intentionally."
delicate (adjective),"ˈdel.ɪ.kət
needing careful treatment, especially because easily damaged."
delight (noun),"dɪˈlaɪt
(something or someone that gives) great pleasure, satisfaction, or happiness."
democracy (noun),"dɪˈmɒk.rə.si
the belief in freedom and equality between people, or a system of government based on this belief, in which power is either held by elected representatives or directly by the people themselves."
democratic (adjective),"ˌdem.əˈkræt.ɪk
based on the principles of democracy."
demonstrate (verb),"ˈdem.ən.streɪt
to show or make something clear."
dense (adjective),"dens
having parts that are close together so that it is difficult to go or see through."
deny (verb),"dɪˈnaɪ
to say that something is not true."
dependent (adjective),"dɪˈpen.dənt
needing the support of something or someone in order to continue existing or operating."
depressing (adjective),"dɪˈpres.ɪŋ
making you feel unhappy and without hope for the future."
depression (noun),"dɪˈpreʃ.ən
the state of feeling very unhappy and without hope for the future."
deprive (verb),"dɪˈpraɪv
to take something, especially something necessary or pleasant, away from someone."
descend (verb),"dɪˈsend
to go or come down."
designer (adjective),"dɪˈzaɪ.nər
made by a famous or fashionable designer."
desirable (adjective),"dɪˈzaɪə.rə.bəl
worth having and wanted by most people."
desire (noun),"dɪˈzaɪər
a strong feeling that you want something."
desktop (noun),"ˈdesk.tɒp
a view on a computer screen that contains icons (= small symbols or pictures) representing files, programs, and other features of the computer."
desperately (adverb),"ˈdes.pər.ət.li
extremely or very much."
destruction (noun),"dɪˈstrʌk.ʃən
the act of destroying something, or the fact of being destroyed."
detailed (adjective),"ˈdiː.teɪld
giving a lot of information with many details."
determination (noun),"dɪˌtɜː.mɪˈneɪ.ʃən
the ability to continue trying to do something, although it is very difficult."
