,vocab,sound,pos,cefr_level,definition
32,across,əˈkrɒs,preposition,A2,on the opposite side of.
33,act,ækt,verb,none,to behave in the stated way.
34,act,ækt,noun,B2,something that you do.
35,action,ˈæk.ʃən,noun,B2,"the process of doing something, especially when dealing with a problem or difficulty."
36,action,ˈæk.ʃən,verb,none,to do something to deal with a particular problem or matter.
37,active,ˈæk.tɪv,adjective,B1,busy with a particular activity.
38,active,ˈæk.tɪv,noun,none,"→ 
the active voice ."
39,activity,ækˈtɪv.ə.ti,noun,B2,the situation in which a lot of things are happening or people are moving around.
40,actor,ˈæk.tər,noun,A2,"someone who pretends to be someone else while performing in a film, play, or television or radio programme."
41,actress,ˈæk.trəs,noun,none,"a woman who pretends to be someone else while performing in a film, play, or television programme."
42,actual,ˈæk.tʃu.əl,adjective,B2,existing in fact.
43,actually,ˈæk.tʃu.ə.li,adverb,A2,in fact or really.
44,ad,æd,noun,A1,informal for an advertisement.
45,adapt,əˈdæpt,verb,B2,"to change, or to change something, to suit different conditions or uses."
46,add,æd,verb,A2,to put two or more numbers or amounts together to get a total.
47,addition,əˈdɪʃ.ən,noun,B2,the process of adding numbers or amounts together.
48,additional,əˈdɪʃ.ən.əl,adjective,B2,extra.
49,address,əˈdres,noun,A1,"the number of the house, name of the road, and name of the town where a person lives or works, and where letters can be sent."
50,address,əˈdres,verb,C2,to speak or write to someone.
51,administration,ədˌmɪn.ɪˈstreɪ.ʃən,noun,C1,the arrangements and tasks needed to control the operation of a plan or organization.
52,admire,ədˈmaɪər,verb,B1,to find someone or something attractive and pleasant to look at.
53,admit,ədˈmɪt,verb,B1,"to agree that something is true, especially unwillingly."
54,adopt,əˈdɒpt,verb,B2,to legally take another person's child into your own family and take care of him or her as your own child.
55,adult,ˈæd.ʌlt,noun,A1,a person or animal that has grown to full size and strength.
56,adult,ˈæd.ʌlt,adjective,A2,grown to full size and strength.
57,advance,ədˈvɑːns,verb,none,"to go or move something forward, or to develop or improve something."
58,advance,ədˈvɑːns,noun,B2,"the forward movement of something, or an improvement or development in something."
59,advance,ədˈvɑːns,adjective,none,"happening, done, or ready before an event."
60,advanced,ədˈvɑːnst,adjective,B1,modern and well developed.
61,advantage,ədˈvɑːn.tɪdʒ,noun,B1,a condition giving a greater chance of success.
62,advantage,ədˈvɑːn.tɪdʒ,verb,none,to make someone or something more likely to be successful by creating a situation that helps them.
63,adventure,ədˈven.tʃər,noun,A2,"an unusual, exciting, and possibly dangerous activity, such as a trip or experience, or the excitement produced by such an activity."
64,advertise,ˈæd.və.taɪz,verb,B1,"to make something known generally or in public, especially in order to sell it."
65,advertisement,ədˈvɜː.tɪs.mənt,noun,A2,"a picture, short film, song, etc. that tries to persuade people to buy a product or service."
66,advertising,ˈæd.və.taɪ.zɪŋ,noun,B2,the business of trying to persuade people to buy products or services.
67,advice,ədˈvaɪs,noun,A2,an opinion that someone offers you about what you should do or how you should act in a particular situation.
68,advise,ədˈvaɪz,verb,B1,to give someone advice.
69,affair,əˈfeər,noun,B2,a situation or subject that is being dealt with or considered.
70,affect,əˈfekt,verb,B2,"to have an influence on someone or something, or to cause a change in someone or something."
71,afford,əˈfɔːd,verb,B1,to be able to buy or do something because you have enough money or time.
72,afraid,əˈfreɪd,adjective,A2,"feeling fear, or feeling worry about the possible results of a particular situation."
73,after,ˈɑːf.tər,preposition,A1,"following in time, place, or order."
74,after,ˈɑːf.tər,adverb,A2,later than someone or something else.
75,after,ˈɑːf.tər,conjunction,B1,at a time that is later than another event.
76,afternoon,ˌɑːf.təˈnuːn,noun,A1,the period that starts at about twelve o'clock or after the meal in the middle of the day and ends at about six o'clock or when the sun goes down.
77,afternoon,ˌɑːf.təˈnuːn,exclamation,none,a friendly way of greeting someone when you meet them in the afternoon.
78,afterwards,ˈɑːf.tə.wədz,adverb,A2,after the time mentioned.
79,again,əˈɡen,adverb,A1,one more time.
80,against,əˈɡenst,preposition,A2,disagreeing with a plan or activity.
81,age,eɪdʒ,noun,A1,the period of time someone has been alive or something has existed.
82,age,eɪdʒ,verb,none,"If someone ages or something ages them, they look older."
83,aged,ˈeɪ.dʒɪd,adjective,A2,of the age of.
84,aged,ˈeɪ.dʒɪd,noun,none,old people when considered as a group.
85,agency,ˈeɪ.dʒən.si,noun,B1,a business that represents one group of people when dealing with another group.
86,agenda,əˈdʒen.də,noun,C1,a list of matters to be discussed at a meeting.
87,agent,ˈeɪ.dʒənt,noun,B2,a person who acts for or represents another.
88,aggressive,əˈɡres.ɪv,adjective,B2,showing anger and a willingness to attack other people.
89,ago,əˈɡəʊ,adverb,A2,back in time from the present.
90,agree,əˈɡriː,verb,A2,to have the same opinion.
91,agreement,əˈɡriː.mənt,noun,B2,"the situation in which people have the same opinion, or in which they approve of or accept something."
92,ah,ɑː,exclamation,none,"used to express understanding, pleasure, pain, surprise, or the fact that you have noticed something."
93,ahead,əˈhed,adverb,B1,in front.
94,aid,eɪd,noun,none,help or support.
95,aid,eɪd,verb,C1,to help.
96,aim,eɪm,noun,B1,a result that your plans or actions are intended to achieve.
97,aim,eɪm,verb,B1,to intend.
98,air,eər,noun,A2,the mixture of gases that surrounds the earth and that we breathe.
99,air,eər,verb,none,to make opinions or complaints known to other people.
100,aircraft,ˈeə.krɑːft,noun,B2,"any vehicle, with or without an engine, that can fly, such as a plane or helicopter."
101,airline,ˈeə.laɪn,noun,B1,a business that operates regular services for carrying passengers and/or goods by aircraft.
102,airport,ˈeə.pɔːt,noun,A2,"a place where aircraft regularly take off and land, with buildings for passengers to wait in."
103,alarm,əˈlɑːm,noun,none,"a warning of danger, usually a loud noise or flashing light."
104,alarm,əˈlɑːm,verb,C1,to make someone worried or frightened.
105,album,ˈæl.bəm,noun,A2,"a collection of several pieces of music, made available as a single item on a CD, the internet, etc.."
106,alcohol,ˈæl.kə.hɒl,noun,A2,"a clear liquid that can make you drunk, also used as a solvent (= a substance that dissolves another) and in fuel and medicines."
107,alcoholic,ˌæl.kəˈhɒl.ɪk,adjective,B1,containing alcohol.
108,alcoholic,ˌæl.kəˈhɒl.ɪk,noun,C2,a person who is unable to give up the habit of drinking alcohol very often and in large amounts.
109,alive,əˈlaɪv,adjective,B1,"living, not dead."
110,all,ɔːl,determiner,A1,"every one (of), or the complete amount or number (of), or the whole (of)."
111,all,ɔːl,adverb,A2,completely.
112,all right,ˌɔːl ˈraɪt,adjective,A1,(in a way that is) satisfactory or reasonably good.
113,all right,ˌɔːl ˈraɪt,exclamation,none,used to greet someone at the same time as asking if they are well.
114,allow,əˈlaʊ,verb,B1,"to give permission for someone to do something, or to not prevent something from happening."
115,almost,ˈɔːl.məʊst,adverb,A2,nearly.
116,alone,əˈləʊn,adjective,A2,without other people.
117,alone,əˈləʊn,adjective,C2,without any others.
118,along,əˈlɒŋ,preposition,A2,"from one part of a road, river, etc. to another."
119,along,əˈlɒŋ,adverb,B1,moving forward.
120,already,ɔːlˈred.i,adverb,A2,before the present time.
121,also,ˈɔːl.səʊ,adverb,A1,in addition.
122,alter,ˈɒl.tər,verb,B2,"to change something, usually slightly, or to cause the characteristics of something to change."
123,alternative,ɒlˈtɜː.nə.tɪv,adjective,B2,An alternative plan or method is one that you can use if you do not want to use another one.
124,alternative,ɒlˈtɜː.nə.tɪv,noun,B2,"something that is different from something else, especially from what is usual, and offering the possibility of choice."
125,although,ɔːlˈðəʊ,conjunction,B1,despite the fact that.
126,always,ˈɔːl.weɪz,adverb,A1,every time or all the time.
127,amazed,əˈmeɪzd,adjective,B1,extremely surprised.
128,amazing,əˈmeɪ.zɪŋ,adjective,B1,extremely surprising.
129,ambition,æmˈbɪʃ.ən,noun,B1,a strong wish to achieve something.
130,ambitious,æmˈbɪʃ.əs,adjective,B2,"having a strong wish to be successful, powerful, or rich."
131,among,əˈmʌŋ,preposition,B1,in the middle of or surrounded by other things.
132,amount,əˈmaʊnt,noun,B1,"a collection or mass, especially of something that cannot be counted."
133,analyse,ˈæn.əl.aɪz,verb,none,to study or examine something in detail in order to discover or understand more about it.
134,analysis,əˈnæl.ə.sɪs,noun,B2,"the act of studying or examining something in detail, in order to discover or understand more about it, or your opinion and judgment after doing this."
135,ancient,ˈeɪn.ʃənt,adjective,B1,"of or from a long time ago, having lasted for a very long time."
136,and,ænd,conjunction,A1,"used to join two words, phrases, parts of sentences, or related statements together."
137,anger,ˈæŋ.ɡər,noun,B2,a strong feeling that makes you want to hurt someone or be unpleasant because of something unfair or unkind that has happened.
138,anger,ˈæŋ.ɡər,verb,none,to make someone angry.
139,angle,ˈæŋ.ɡəl,noun,C1,"the space between two lines or surfaces at the point at which they touch each other, measured in degrees."
140,angle,ˈæŋ.ɡəl,verb,none,"to aim, turn, or position something in a direction that is not horizontal or vertical."
141,angrily,ˈæŋ.ɡrəl.i,adverb,B1,in a way that shows that you feel angry with someone or about something.
142,angry,ˈæŋ.ɡri,adjective,A2,"having a strong feeling against someone who has behaved badly, making you want to shout at them or hurt them."
143,animal,ˈæn.ɪ.məl,noun,A1,"something that lives and moves but is not a human, bird, fish, or insect."
144,animal,ˈæn.ɪ.məl,adjective,none,made or obtained from an animal or animals.
145,ankle,ˈæŋ.kəl,noun,B1,"the joint (= place where two bones are connected) between the foot and the leg, or the thin part of the leg just above the foot."
146,anniversary,ˌæn.ɪˈvɜː.sər.i,noun,B1,the day on which an important event happened in a previous year.
147,announce,əˈnaʊns,verb,B1,to make something known or tell people about something officially.
148,announcement,əˈnaʊns.mənt,noun,B1,"something that someone says officially, giving information about something."
149,annoy,əˈnɔɪ,verb,B1,to make someone angry.
150,annoyed,əˈnɔɪd,adjective,B1,angry.
151,annoying,əˈnɔɪ.ɪŋ,adjective,B1,making you feel slightly angry.
152,annual,ˈæn.ju.əl,adjective,B1,happening once every year.
153,annual,ˈæn.ju.əl,noun,none,"a book or magazine published once a year, especially for children, with the same title and style but different contents."
154,another,əˈnʌð.ər,determiner,A2,one more person or thing or an extra amount.
155,answer,ˈɑːn.sər,noun,A1,"a reaction to a question, letter, phone call, etc.."
156,answer,ˈɑːn.sər,verb,A1,"to say, write, or do something as a reaction to a question, letter, etc.."
157,anxious,ˈæŋk.ʃəs,adjective,B1,worried and nervous.
158,any,ˈen.i,determiner,A1,"some, or even the smallest amount or number of."
159,any,ˈen.i,adverb,B1,at all or in the least.
160,any more,ˌen.iˈmɔːr,adverb,A2,"If you do not do something or something does not happen anymore, you have stopped doing it or it does not now happen."
161,anybody,ˈen.iˌbɒd.i,pronoun,none,"→ 
anyone ."
162,anyone,ˈen.i.wʌn,pronoun,A2,"used in questions and negatives to mean ""a person or people""."
163,anything,ˈen.i.θɪŋ,pronoun,A1,"used in questions and negatives to mean ""something""."
164,anyway,ˈen.i.weɪ,adverb,A2,"whatever else is happening, without considering other things."
165,anywhere,ˈen.i.weər,adverb,A2,"in, to, or at any place."
166,apart,əˈpɑːt,adverb,B1,separated by a distance or by time.
167,apart,əˈpɑːt,adjective,B2,living or staying in a different place from the person that you are married to or have a close relationship with.
168,apartment,əˈpɑːt.mənt,noun,A2,"a set of rooms for living in, especially on one floor of a building."
169,apologize,əˈpɒl.ə.dʒaɪz,verb,B1,to tell someone that you are sorry for having done something that has caused problems or unhappiness for them.
170,app,æp,noun,none,abbreviation for applicationa computer program that is designed for a particular purpose.
171,apparent,əˈpær.ənt,adjective,B2,able to be seen or understood.
172,apparently,əˈpær.ənt.li,adverb,B2,used to say you have read or been told something although you are not certain it is true.
173,appeal,əˈpiːl,noun,C1,"a request to the public for money, information, or help."
174,appeal,əˈpiːl,verb,C1,"to make a serious or formal request, especially to the public, for money, information, or help."
175,appear,əˈpɪər,verb,B1,to start to be seen or to be present.
176,appearance,əˈpɪə.rəns,noun,B2,an occasion when someone appears in public.
177,apple,ˈæp.əl,noun,A1,"a round fruit with firm, white flesh and a green, red, or yellow skin."
178,application,ˌæp.lɪˈkeɪ.ʃən,noun,B1,"an official request for something, usually in writing."
179,apply,əˈplaɪ,verb,B1,"to request something, usually officially, especially in writing or by sending in a form."
180,appointment,əˈpɔɪnt.mənt,noun,A2,a formal arrangement to meet or visit someone at a particular time and place.
181,appreciate,əˈpriː.ʃi.eɪt,verb,B2,to recognize how good someone or something is and to value them or it.
182,approach,əˈprəʊtʃ,verb,B1,"to come near or nearer to something or someone in space, time, quality, or amount."
183,approach,əˈprəʊtʃ,noun,B2,a way of considering or doing something.
184,appropriate,əˈprəʊ.pri.ət,adjective,B2,suitable or right for a particular situation or occasion.
185,appropriate,əˈprəʊ.pri.eɪt,verb,none,"to take something for your own use, usually without permission."
186,approval,əˈpruː.vəl,noun,B2,the feeling of having a positive opinion of someone or something.
187,approve,əˈpruːv,verb,B2,to have a positive opinion of someone or something.
188,approximately,əˈprɒk.sɪ.mət.li,adverb,B1,close to a particular number or time although not exactly that number or time.
189,april,ˈeɪ.prəl,noun,A1,"the fourth month of the year, after March and before May."
190,architect,ˈɑː.kɪ.tekt,noun,B1,a person whose job is to design new buildings and make certain that they are built correctly.
191,architecture,ˈɑː.kɪ.tek.tʃər,noun,B1,the art and practice of designing and making buildings.
192,area,ˈeə.ri.ə,noun,B1,"a particular part of a place, piece of land, or country."
193,argue,ˈɑːɡ.juː,verb,B1,"to speak angrily to someone, telling that person that you disagree with them."
194,argument,ˈɑːɡ.jə.mənt,noun,B1,"a disagreement, or the process of disagreeing."
195,arise,əˈraɪz,verb,C1,to start to happen or exist.
196,arm,ɑːm,noun,A1,either of the two long parts of the upper body that are attached to the shoulders and have the hands at the end.
197,arm,ɑːm,verb,none,to provide yourself or others with a weapon or weapons.
198,armed,ɑːmd,adjective,B2,using or carrying weapons.
199,arms,ɑːmz,noun,none,"→ 
arm ."
200,army,ˈɑː.mi,noun,B1,a particular country's fighting force.
201,around,əˈraʊnd,preposition,A2,"in a position or direction surrounding, or in a direction going along the edge of or from one part to another (of)."
202,around,əˈraʊnd,adverb,A2,approximately.
203,arrange,əˈreɪndʒ,verb,B1,"to plan, prepare for, or organize something."
204,arrangement,əˈreɪndʒ.mənt,noun,B1,a plan for how something will happen.
205,arrest,əˈrest,verb,B1,"If the police arrest someone, they take them away to ask them about a crime that they might have committed."
206,arrest,əˈrest,noun,B2,the act of arresting someone.
207,arrival,əˈraɪ.vəl,noun,B1,the fact of arriving somewhere.
208,arrive,əˈraɪv,verb,A2,"to reach a place, especially at the end of a journey."
209,art,ɑːt,noun,A2,"the making of objects, images, music, etc. that are beautiful or that express feelings."
210,art,ɑːt,verb,none,"in the past, the second person singular of the present tense of ""be""."
211,article,ˈɑː.tɪ.kəl,noun,B1,"a piece of writing on a particular subject in a newspaper or magazine, or on the internet."
212,artificial,ˌɑː.tɪˈfɪʃ.əl,adjective,B2,"made by people, often as a copy of something natural."
213,artist,ˈɑː.tɪst,noun,A2,"someone who paints, draws, or makes sculptures."
214,artistic,ɑːˈtɪs.tɪk,adjective,B2,relating to art.
215,as,æz,adverb,A2,used in comparisons to refer to the degree of something.
216,as,æz,preposition,A1,used to describe the purpose or quality of someone or something.
217,as,æz,conjunction,A2,because.
218,ashamed,əˈʃeɪmd,adjective,B1,feeling guilty or embarrassed about something you have done or about a quality in your character.
219,ask,ɑːsk,verb,B1,"to put a question to someone, or to request an answer from someone."
220,asleep,əˈsliːp,adjective,B1,sleeping or not awake.
221,aspect,ˈæs.pekt,noun,B2,"one part of a situation, problem, subject, etc.."
222,assess,əˈses,verb,B2,"to judge or decide the amount, value, quality, or importance of something."
223,assessment,əˈses.mənt,noun,B2,"the act of judging or deciding the amount, value, quality, or importance of something, or the judgment or decision that is made."
224,assignment,əˈsaɪn.mənt,noun,B1,"a piece of work given to someone, typically as part of their studies or job."
225,assist,əˈsɪst,verb,B2,to help.
226,assist,əˈsɪst,noun,none,"in ball sports, an occasion when a player touches the ball and this leads to another player on the same team scoring a goal or point."
227,assistant,əˈsɪs.tənt,noun,B1,someone who helps someone else to do a job.
228,associate,əˈsəʊ.si.eɪt,verb,C1,to connect someone or something in your mind with someone or something else.
229,associate,əˈsəʊ.ʃi.ət,noun,none,"someone who is closely connected to another person as a companion, friend, or business partner."
230,associate,əˈsəʊ.si.ət,adjective,none,used in the title of a person whose rank is slightly lower or less complete than the full official position described.
231,associated,əˈsəʊ.si.eɪ.tɪd,adjective,none,connected.
232,association,əˌsəʊ.siˈeɪ.ʃən,noun,B2,a group of people who work together in a single organization for a particular purpose.
233,assume,əˈsjuːm,verb,B2,to accept something to be true without question or proof.
234,at,æt,preposition,A1,used to show an exact position or particular place.
235,athlete,ˈæθ.liːt,noun,B1,"a person who is very good at sports or physical exercise, especially one who competes in organized events."
236,atmosphere,ˈæt.mə.sfɪər,noun,none,the mixture of gases around the earth.
237,attach,əˈtætʃ,verb,B1,"to fasten, join, or connect something."
238,attack,əˈtæk,verb,B1,to try to hurt or defeat using violence.
239,attack,əˈtæk,noun,B1,a violent act intended to hurt or damage someone or something.
240,attempt,əˈtempt,verb,B1,"to try to do something, especially something difficult."
241,attempt,əˈtempt,noun,B2,"the act of trying to do something, especially something difficult."
242,attend,əˈtend,verb,B1,"to go to an event, place, etc.."
243,attention,əˈten.ʃən,noun,B1,"notice, thought, or interest."
244,attention,əˈten.ʃən,exclamation,none,"in the armed forces, an instruction to stand to attention (= not moving, with your feet together, arms by your sides, head up, and shoulders back)."
245,attitude,ˈæt.ɪ.tʃuːd,noun,B1,"a feeling or opinion about something or someone, or a way of behaving that is caused by this."
246,attract,əˈtrækt,verb,B1,"(of people, things, places, etc.) to pull or draw someone or something towards them, by the qualities they have, especially good ones."
247,attraction,əˈtræk.ʃən,noun,B1,something that makes people want to go to a place or do a particular thing.
248,attractive,əˈtræk.tɪv,adjective,A2,very pleasing in appearance or sound.
249,audience,ˈɔː.di.əns,noun,B1,"the group of people together in one place to watch or listen to a play, film, someone speaking, etc.."
250,august,ˈɔː.ɡəst,noun,A1,"the eighth month of the year, after July and before September."
251,aunt,ɑːnt,noun,A2,"the sister of someone's father or mother, or the wife of someone's uncle or aunt."
252,author,ˈɔː.θər,noun,B1,"the writer of a book, article, play, etc.."
253,author,ˈɔː.θər,verb,none,"to write a book, article, etc.."
254,authority,ɔːˈθɒr.ə.ti,noun,B2,the moral or legal right or ability to control.
255,autumn,ˈɔː.təm,noun,A2,"the season of the year between summer and winter, lasting from September to November north of the equator and from March to May south of the equator, when fruits and crops become ready to eat and are picked, and leaves fall."
256,available,əˈveɪ.lə.bəl,adjective,A2,able to be bought or used.
257,average,ˈæv.ər.ɪdʒ,noun,B1,the result you get by adding two or more amounts together and dividing the total by the number of amounts.
258,average,ˈæv.ər.ɪdʒ,verb,none,to reach a particular amount as an average.
259,average,ˈæv.ər.ɪdʒ,adjective,B1,An average number is the number you get by adding two or more amounts together and dividing the total by the number of amounts.
260,avoid,əˈvɔɪd,verb,B1,to stay away from someone or something.
261,award,əˈwɔːd,verb,B2,to give money or a prize following an official decision.
262,award,əˈwɔːd,noun,B2,a prize or an amount of money that is given to someone following an official decision.
263,aware,əˈweər,adjective,B2,"knowing that something exists, or having knowledge or experience of a particular thing."
264,away,əˈweɪ,adverb,A2,"somewhere else, or to or in a different place, position, or situation."
265,away,əˈweɪ,adjective,C1,An away match or game is played at an opposing team's sports ground.
266,awful,ˈɔː.fəl,adjective,A2,extremely bad or unpleasant.
267,baby,ˈbeɪ.bi,noun,A1,"a very young child, especially one that has not yet begun to walk or talk."
268,baby,ˈbeɪ.bi,verb,none,to treat an older child as if he or she were a much younger child.
269,back,bæk,adverb,B2,"in, into, or towards a previous place or condition, or an earlier time."
270,back,bæk,noun,A2,"the inside or outside part of an object, vehicle, building, etc. that is furthest from the front."
271,back,bæk,verb,C2,to give support to someone or something with money or words.
272,back,bæk,adjective,none,at or near the back of something.
273,background,ˈbæk.ɡraʊnd,noun,B2,the things that can be seen behind the main things or people in a picture.
274,background,ˈbæk.ɡraʊnd,adjective,none,"used to refer to something that is done before, and in preparation for, something else."
275,backwards,ˈbæk.wədz,adverb,B1,towards the direction that is opposite to the one in which you are facing or opposite to the usual direction.
276,bacteria,bækˈtɪə.ri.ə,noun,none,"plural of
bacterium ."
277,bad,bæd,adjective,A1,unpleasant and causing difficulties.
278,bad,bæd,adverb,none,informal for badly (= very much).
279,bad,bæd,noun,none,things or events that are not good or that are morally wrong.
280,badly,ˈbæd.li,adverb,A2,in a severe and harmful way.
281,bag,bæɡ,noun,A1,"a soft container made out of paper or thin plastic, and open at the top, used to hold foods and other goods."
282,bag,bæɡ,verb,none,to put something in a bag.
283,bake,beɪk,verb,A2,"to cook inside an oven, without using added liquid or fat."
284,bake,beɪk,noun,none,a savoury (= not sweet) dish made from a mixture of foods that is baked in the oven.
285,balance,ˈbæl.əns,noun,B2,a state where things are of equal weight or force.
286,balance,ˈbæl.əns,verb,B2,"to be in a position where you will stand without falling to either side, or to put something in this position."
287,ball,bɔːl,noun,A1,"any object in the shape of a sphere, especially one used as a toy by children or in various sports such as tennis and football."
288,ball,bɔːl,verb,none,to make something form a closed round shape.
289,ban,bæn,verb,B2,"to forbid (= refuse to allow) something, especially officially."
290,ban,bæn,noun,B2,an official order that prevents something from happening.
291,banana,bəˈnɑː.nə,noun,A1,"a long, curved fruit with a yellow skin and soft, sweet, white flesh inside."
292,band,bænd,noun,A1,a group of musicians who play modern music together.
293,band,bænd,verb,none,"to put a band on something, especially an animal."
294,bank,bæŋk,noun,A1,"an organization where people and businesses can invest or borrow money, change it to foreign money, etc., or a building where these services are offered."
295,bank,bæŋk,verb,none,"to keep your money in a particular bank, or to put money into a bank."
296,bar,bɑːr,noun,A1,"a place where drinks, especially alcoholic drinks, are sold and drunk, or the area in such a place where the person serving the drinks stands."
297,bar,bɑːr,verb,none,"to prevent something or someone from doing something or going somewhere, or to not allow something."
298,bar,bɑːr,preposition,none,except.
299,barrier,ˈbær.i.ər,noun,B2,"a long pole, fence, wall, or natural feature, such as a mountain or sea, that stops people from going somewhere."
300,barrier,ˈbær.i.ər,adjective,none,used to describe methods of preventing pregnancy that work by physically blocking sperm from coming into contact with an egg.
301,base,beɪs,noun,B2,"the bottom part of an object, on which it rests, or the lowest part of something."
302,base,beɪs,adjective,none,not showing any honour and having no morals.
303,base,beɪs,verb,B2,"to have a particular town or area, etc. as the main place that you live and work in, or where you do business from."
304,baseball,ˈbeɪs.bɔːl,noun,A1,"a game played especially in North America by two teams of nine players, in which a player hits a ball with a bat (= stick) and tries to run around four bases on a large field before the other team returns the ball."
305,based, -beɪst,suffix,none,"used to form adjectives showing the main place or area in which something or someone works, lives, or does business."
306,basic,ˈbeɪ.sɪk,adjective,B1,"simple and not complicated, so able to provide the base or starting point from which something can develop."
307,basically,ˈbeɪ.sɪ.kəl.i,adverb,B2,used when referring to the main or most important characteristic or feature of something.
308,basis,ˈbeɪ.sɪs,noun,C1,"the most important facts, ideas, etc. from which something is developed."
309,basketball,ˈbɑː.skɪt.bɔːl,noun,A1,a game played by two teams of five players who score points by throwing a large ball through an open net hanging from a metal ring.
310,bath,bɑːθ,noun,A1,"a long plastic, metal, or ceramic container that is filled with water so that you can sit or lie in it to wash your whole body."
311,bath,bɑːθ,verb,none,to wash in a bath or to wash someone in a bath.
312,bathroom,ˈbɑːθ.ruːm,noun,A1,a room with a bath and/or shower and often a toilet.
313,battery,ˈbæt.ər.i,noun,A2,"a device that produces electricity to provide power for radios, cars, etc.."
314,battery,ˈbæt.ər.i,adjective,none,using a system of producing a large number of eggs cheaply by keeping a lot of chickens in rows of small cages (= boxes made of wire).
315,battle,ˈbæt.əl,noun,B1,a fight between armed forces.
316,battle,ˈbæt.əl,verb,none,to fight.
317,be,biː,verb,A1,"used to say something about a person, thing, or state, to show a permanent or temporary quality, state, job, etc.."
318,be,biː,auxiliary verb,A2,used with the present participle of other verbs to describe actions that are or were still continuing.
319,beach,biːtʃ,noun,A1,an area of sand or small stones near the sea or another area of water such as a lake.
320,beach,biːtʃ,verb,none,"to pull or force a boat, etc. out of the water onto the land."
321,bean,biːn,noun,A1,"a seed, or the pod containing seeds, of various climbing plants, eaten as a vegetable."
322,bean,biːn,verb,none,to hit a person in the head with an object.
323,bear,beər,verb,B2,"to accept, tolerate, or endure something, especially something unpleasant."
324,bear,beər,noun,A2,"a large, strong wild mammal with a thick fur coat that lives especially in colder parts of Europe, Asia, and North America."
325,beat,biːt,verb,B1,to defeat or do better than.
326,beat,biːt,adjective,none,extremely tired.
327,beat,biːt,noun,B2,"a regular movement or sound, especially that made by your heart."
328,beautiful,ˈbjuː.tɪ.fəl,adjective,A1,very attractive.
329,beauty,ˈbjuː.ti,noun,B1,"the quality of being pleasing and attractive, especially to look at."
330,because,bɪˈkəz,conjunction,A1,for the reason that.
331,because,bɪˈkəz,preposition,none,"used before giving a short reason or explanation, especially when you think the reason or explanation is obvious or you do not want to explain more."
332,become,bɪˈkʌm,verb,A2,to start to be.
333,bed,bed,noun,A1,"a large, rectangular piece of furniture, often with four legs, used for sleeping on."
334,bed,bed,verb,none,to put something firmly into a substance or into the ground.
335,bedroom,ˈbed.ruːm,noun,A1,a room used for sleeping in.
336,bedroom,ˈbed.ruːm,adjective,none,relating to sexual activity.
